Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
46:31.8,-0.21,0.93,0.27,-1,32.4,1.337,0
46:31.8,-0.19,0.58,0.47,-1,32.6,1.337,0
46:31.8,-0.15,0.64,0.43,-1,32.4,1.337,0
46:31.9,-0.14,0.75,0.37,-1,32.6,1.337,0
46:31.9,-0.13,0.88,0.39,-1,32.6,1.337,0
46:31.9,-0.12,0.73,0.38,-1,32.6,1.337,0
46:32.0,-0.11,0.66,0.41,-1,32.6,1.337,0
46:32.0,-0.12,0.66,0.4,-1,32.6,1.337,0
46:32.0,-0.07,0.4,0.44,-1,32.6,1.337,0
46:32.1,0,0.32,0.44,-1,32.6,1.34,0
46:32.1,0.1,0.35,0.27,-1,32.6,1.348,0
46:32.1,-0.4,-0.7,1.69,-1,32.6,1.348,0
46:32.2,0.69,0.99,1.87,-1,32.6,1.351,0
46:32.2,-0.13,0.1,0.89,-1,32.6,1.358,0
46:32.2,-0.05,0.03,0.76,-1,32.4,1.358,0
46:32.3,0,0.8,0.69,-1,32.6,1.358,0
46:32.3,0.06,0.62,0.79,-1,32.6,1.358,0
46:32.3,0.06,0.44,0.89,-1,32.6,1.358,0
46:32.3,0.07,0.5,0.92,-1,32.6,1.351,0
46:32.4,0.08,0.57,0.87,-1,32.6,1.351,0
46:32.4,0.08,0.51,0.88,-1,32.6,1.351,0
46:32.4,0.06,0.53,0.94,-1,32.6,1.351,0
46:32.5,0.07,0.71,0.94,-1,32.6,1.348,0
46:32.5,0,0.61,0.96,-1,32.6,1.348,0
46:32.5,-0.03,0.64,1,-1,32.6,1.348,0
46:32.6,-0.06,0.62,0.89,-1,32.6,1.348,0
46:32.6,-0.07,0.53,0.79,-1,32.9,1.352,0
46:32.6,-0.09,0.49,0.77,-1,32.9,1.345,0
46:32.7,-0.1,0.46,0.7,-1,32.9,1.345,0
46:32.7,-0.13,0.46,0.67,-1,32.9,1.345,0
46:32.7,-0.13,0.44,0.68,-1,32.9,1.337,0
46:32.7,-0.16,0.42,0.65,-1,32.9,1.337,0
46:32.8,-0.17,0.42,0.66,-1,32.9,1.34,0
46:32.8,-0.16,0.4,0.59,-1,32.9,1.337,0
46:32.8,-0.09,0.32,0.57,-1,32.9,1.34,0
46:32.9,-0.08,0.3,0.38,-1,32.9,1.34,0
46:32.9,0,0.23,0.26,-1,32.9,1.348,0
46:32.9,0.05,0.08,0.4,-1,32.9,1.348,0
46:33.0,0.62,3.32,2.84,-1,32.9,1.351,0
46:33.0,-0.11,0.62,1.46,-1,32.9,1.362,0
46:33.0,-0.14,-0.12,0.4,-1,32.9,1.362,0
46:33.1,-0.08,0.21,0.63,-1,32.9,1.354,0
46:33.1,0.01,0.72,0.91,-1,32.9,1.362,0
46:33.1,0.05,0.72,1,-1,32.9,1.362,0
46:33.2,0,0.53,0.92,-1,32.9,1.362,0
46:33.2,0,0.5,0.81,-1,32.6,1.351,0
46:33.2,0.01,0.51,0.75,-1,32.9,1.351,0
46:33.3,0,0.59,0.82,-1,32.6,1.347,0
46:33.3,0,0.59,0.81,-1,32.6,1.351,0
46:33.3,0,0.71,0.71,-1,32.6,1.351,0
46:33.3,-0.01,0.68,0.76,-1,32.6,1.351,0
46:33.4,-0.01,0.7,0.75,-1,32.6,1.348,0
46:33.4,-0.04,0.7,0.66,-1,32.6,1.348,0
46:33.4,-0.03,0.76,0.6,-1,32.6,1.348,0
46:33.5,-0.06,0.71,0.56,-1,32.6,1.348,0
46:33.5,-0.08,0.71,0.49,-1,32.6,1.348,0
46:33.5,-0.09,0.8,0.42,-1,32.6,1.34,0
46:33.6,-0.12,0.76,0.37,-1,32.6,1.34,0
46:33.6,-0.15,0.83,0.25,-1,32.6,1.348,0
46:33.6,-0.17,0.91,0.13,-1,32.6,1.348,0
46:33.7,-0.16,0.89,0.11,-1,32.6,1.348,0
46:33.7,-0.18,0.89,0.02,-1,32.6,1.348,0
46:33.7,-0.2,0.95,-0.1,-1,32.6,1.348,0
46:33.8,-0.2,0.91,-0.11,-1,32.6,1.348,0
46:33.8,-0.2,0.84,-0.18,-1,32.6,1.348,0
46:33.8,-0.21,0.84,-0.24,-1,32.6,1.351,0
46:33.8,-0.21,0.88,-0.2,-1,32.6,1.351,0
46:33.9,-0.22,1,-0.34,-1,32.4,1.351,0
46:33.9,-0.21,0.81,-0.32,-1,32.4,1.351,0
46:33.9,-0.19,0.73,-0.33,-1,32.6,1.351,0
46:34.0,-0.18,0.75,-0.38,-1,32.6,1.351,0
46:34.0,-0.17,0.75,-0.4,-1,32.6,1.351,0
46:34.0,-0.18,0.79,-0.47,-1,32.6,1.351,0
46:34.1,-0.19,0.78,-0.53,-1,32.6,1.351,0
46:34.1,-0.22,0.77,-0.65,-1,32.6,1.351,0
46:34.1,-0.19,0.66,-0.56,-1,32.6,1.351,0
46:34.2,-0.17,0.73,-0.51,-1,32.6,1.351,0
46:34.2,-0.19,0.76,-0.5,-1,32.6,1.351,0
46:34.2,-0.2,0.76,-0.5,-1,32.6,1.351,0
46:34.3,-0.2,0.78,-0.49,-1,32.6,1.351,0
46:34.3,-0.18,0.75,-0.5,-1,32.6,1.351,0
46:34.3,-0.19,0.72,-0.51,-1,32.6,1.351,0
46:34.3,-0.18,0.72,-0.51,-1,32.6,1.351,0
46:34.4,-0.18,0.75,-0.5,-1,32.6,1.351,0
46:34.4,-0.18,0.75,-0.5,-1,32.6,1.351,0
46:34.4,-0.19,0.75,-0.5,-1,32.6,1.351,0
46:34.5,-0.19,0.75,-0.49,-1,32.6,1.351,0
46:34.5,-0.18,0.77,-0.49,-1,32.6,1.358,0
46:34.5,-0.19,0.73,-0.5,-1,32.6,1.351,0
46:34.6,-0.18,0.72,-0.5,-1,32.6,1.351,0
46:34.6,-0.18,0.73,-0.5,-1,32.6,1.351,0
46:34.6,-0.18,0.75,-0.5,-1,32.6,1.351,0
46:34.7,-0.17,0.77,-0.49,-1,32.6,1.351,0
46:34.7,-0.19,0.76,-0.5,-1,32.4,1.351,0
46:34.7,-0.17,0.75,-0.5,-1,32.6,1.351,0
46:34.8,-0.19,0.73,-0.5,-1,32.6,1.351,0
46:34.8,-0.19,0.73,-0.5,-1,32.4,1.351,0
46:34.8,-0.18,0.76,-0.5,-1,32.6,1.348,0
46:34.8,-0.18,0.74,-0.5,-1,32.6,1.348,0
46:34.9,-0.19,0.72,-0.5,-1,32.6,1.351,0
46:34.9,-0.18,0.74,-0.5,-1,32.6,1.351,0
46:34.9,-0.19,0.74,-0.5,-1,32.6,1.348,0
46:35.0,-0.18,0.75,-0.5,-1,32.6,1.351,0
46:35.0,-0.19,0.75,-0.5,-1,32.6,1.351,0
46:35.0,-0.18,0.75,-0.5,-1,32.6,1.351,0
46:35.1,-0.19,0.75,-0.5,-1,32.6,1.348,0
46:35.1,-0.18,0.74,-0.5,-1,32.6,1.348,0
46:35.1,-0.19,0.74,-0.5,-1,32.6,1.351,0
46:35.2,-0.18,0.74,-0.5,-1,32.6,1.348,0
46:35.2,-0.18,0.74,-0.5,-1,32.6,1.348,0
46:35.2,-0.18,0.76,-0.5,-1,32.6,1.348,0
46:35.3,-0.18,0.73,-0.5,-1,32.6,1.348,0
46:35.3,-0.18,0.74,-0.5,-1,32.6,1.348,0
46:35.3,-0.19,0.75,-0.5,-1,32.6,1.348,0
46:35.3,-0.19,0.75,-0.5,-1,32.6,1.348,0
46:35.4,-0.18,0.74,-0.5,-1,32.6,1.348,0
46:35.4,-0.19,0.73,-0.5,-1,32.6,1.348,0
46:35.4,-0.18,0.75,-0.5,-1,32.6,1.34,0
46:35.5,-0.19,0.75,-0.5,-1,32.6,1.348,0
46:35.5,-0.19,0.74,-0.5,-1,32.6,1.348,0
46:35.5,-0.19,0.73,-0.5,-1,32.6,1.348,0
46:35.6,-0.18,0.74,-0.5,-1,32.6,1.34,0
46:35.6,-0.19,0.74,-0.5,-1,32.6,1.337,0
46:35.6,-0.19,0.75,-0.5,-1,32.6,1.34,0
46:35.7,-0.18,0.74,-0.5,-1,32.6,1.337,0
46:35.7,-0.19,0.74,-0.5,-1,32.6,1.337,0
46:35.7,-0.19,0.74,-0.5,-1,32.6,1.337,0
46:35.8,-0.19,0.74,-0.5,-1,32.6,1.337,0
46:35.8,-0.18,0.74,-0.5,-1,32.6,1.337,0
46:35.8,-0.19,0.74,-0.5,-1,32.6,1.337,0
46:35.8,-0.2,0.73,-0.5,-1,32.6,1.337,0
46:35.9,-0.2,0.72,-0.5,-1,32.6,1.337,0
46:35.9,-0.18,0.78,-0.51,-1,32.6,1.337,0
