Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
47:41.3,-0.54,0.5,-0.55,-1,32.9,1.638,0
47:41.4,-0.54,0.52,-0.55,-1,32.9,1.638,0
47:41.4,-0.55,0.5,-0.56,-1,32.9,1.638,0
47:41.4,-0.56,0.5,-0.56,-1,32.9,1.638,0
47:41.5,-0.56,0.47,-0.56,-1,32.9,1.638,0
47:41.5,-0.56,0.49,-0.56,-1,32.9,1.638,0
47:41.5,-0.57,0.46,-0.57,-1,32.9,1.638,0
47:41.6,-0.56,0.48,-0.56,-1,32.9,1.642,0
47:41.6,-0.56,0.5,-0.56,-1,32.9,1.642,0
47:41.6,-0.57,0.48,-0.58,-1,32.9,1.642,0
47:41.7,-0.57,0.46,-0.58,-1,32.9,1.642,0
47:41.7,-0.56,0.51,-0.56,-1,32.9,1.642,0
47:41.7,-0.57,0.47,-0.58,-1,32.9,1.642,0
47:41.8,-0.55,0.5,-0.58,-1,32.9,1.651,0
47:41.8,-0.54,0.51,-0.58,-1,33.1,1.651,0
47:41.8,-0.53,0.49,-0.57,-1,32.9,1.651,0
47:41.8,-0.53,0.5,-0.57,-1,32.9,1.655,0
47:41.9,-0.52,0.5,-0.57,-1,32.9,1.655,0
47:41.9,-0.52,0.52,-0.57,-1,32.9,1.655,0
47:41.9,-0.52,0.48,-0.58,-1,32.9,1.655,0
47:42.0,-0.53,0.48,-0.57,-1,32.9,1.655,0
47:42.0,-0.52,0.51,-0.55,-1,32.9,1.655,0
47:42.0,-0.52,0.56,-0.55,-1,32.9,1.655,0
47:42.1,-0.53,0.52,-0.55,-1,32.9,1.655,0
47:42.1,-0.5,0.54,-0.54,-1,32.9,1.655,0
47:42.1,-0.48,0.57,-0.54,-1,32.9,1.651,0
47:42.2,-0.49,0.6,-0.57,-1,32.9,1.651,0
47:42.2,-0.51,0.53,-0.53,-1,32.9,1.651,0
47:42.2,-0.49,0.63,-0.51,-1,32.9,1.642,0
47:42.3,-0.48,0.58,-0.53,-1,32.9,1.642,0
47:42.3,-0.45,0.63,-0.5,-1,32.9,1.638,0
47:42.3,-0.42,0.65,-0.5,-1,32.9,1.638,0
47:42.3,-0.38,0.64,-0.5,-1,32.9,1.638,0
47:42.4,-0.31,0.69,-0.45,-1,32.9,1.638,0
47:42.4,-0.31,0.66,-0.43,-1,32.9,1.629,0
47:42.4,-0.34,0.7,-0.42,-1,32.9,1.629,0
47:42.5,-0.33,0.77,-0.38,-1,32.9,1.629,0
47:42.5,-0.31,0.83,-0.33,-1,32.9,1.629,0
47:42.5,-0.32,0.83,-0.37,-1,32.9,1.626,0
47:42.6,-0.22,0.89,-0.37,-1,32.9,1.626,0
47:42.6,-0.1,1.09,-0.21,-1,32.9,1.617,0
47:42.6,-0.08,2.73,-0.03,-1,32.9,1.617,0
47:42.7,-0.87,3.62,0.88,-1,32.9,1.613,0
47:42.7,-0.86,1.48,-0.03,-1,32.9,1.601,0
47:42.7,1.38,-4.9,0.3,-1,32.9,1.592,0
47:42.8,3.61,-4.94,-0.1,-1,32.9,1.592,0
47:42.8,-0.31,4.38,-0.64,-1,32.9,1.601,0
47:42.8,1.32,-1.61,1.81,-1,32.9,1.557,0
47:42.8,-0.38,-0.97,1.29,-1,32.9,1.49,0
47:42.9,0.03,2.88,-0.47,-1,32.9,1.436,0
47:42.9,0.15,1.86,-0.5,-1,32.9,1.413,0
47:42.9,0.34,1.52,-0.86,-1,32.9,1.402,0
47:43.0,0.46,-0.25,-0.47,-1,32.9,1.416,0
47:43.0,0.7,-2.85,0.46,-1,32.9,1.439,0
47:43.0,1.41,-4.92,1.5,-1,32.9,1.476,0
47:43.1,2.96,-2.77,-0.16,-1,32.9,1.508,0
47:43.1,-1.11,-4.75,4.29,-1,32.9,1.508,0
47:43.1,0.24,-1.6,0.95,-1,32.9,1.481,0
47:43.2,0.11,1.48,-0.6,-1,32.9,1.47,0
47:43.2,0.08,1.99,-0.15,-1,32.9,1.473,0
