Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
43:21.0,-0.68,0.62,0.2
43:21.0,-0.68,0.63,0.22
43:21.1,-0.68,0.62,0.19
43:21.1,-0.66,0.62,0.19
43:21.1,-0.69,0.59,0.2
43:21.2,-0.68,0.65,0.2
43:21.2,-0.66,0.67,0.18
43:21.2,-0.66,0.58,0.17
43:21.3,-0.68,0.61,0.17
43:21.3,-0.67,0.67,0.21
43:21.3,-0.7,0.62,0.2
43:21.3,-0.68,0.61,0.19
43:21.4,-0.68,0.64,0.21
43:21.4,-0.67,0.63,0.19
43:21.4,-0.65,0.61,0.2
43:21.5,-0.66,0.63,0.19
43:21.5,-0.69,0.64,0.24
43:21.5,-0.67,0.65,0.26
43:21.6,-0.66,0.65,0.24
43:21.6,-0.68,0.61,0.25
43:21.6,-0.69,0.62,0.26
43:21.7,-0.69,0.64,0.26
43:21.7,-0.68,0.6,0.25
43:21.7,-0.65,0.57,0.25
43:21.8,-0.61,0.64,0.23
43:21.8,-0.6,0.62,0.26
43:21.8,-0.61,0.59,0.3
43:21.8,-0.64,0.61,0.31
43:21.9,-0.64,0.62,0.33
43:21.9,-0.6,0.61,0.37
43:21.9,-0.58,0.61,0.37
43:22.0,-0.57,0.61,0.39
43:22.0,-0.55,0.62,0.4
43:22.0,-0.53,0.6,0.42
43:22.1,-0.54,0.53,0.45
43:22.1,-0.55,0.64,0.53
43:22.1,-0.53,0.7,0.51
43:22.2,-0.49,0.73,0.53
43:22.2,-0.45,0.59,0.62
43:22.2,-0.38,0.73,0.73
43:22.2,-0.37,0.67,0.81
43:22.3,-0.32,0.5,0.74
43:22.3,-0.26,0.51,0.74
43:22.3,-0.23,0.51,0.81
43:22.4,-0.18,0.53,0.84
43:22.4,-0.13,0.53,0.87
43:22.4,-0.08,0.54,0.86
43:22.5,-0.07,0.5,0.89
43:22.5,-0.06,0.48,0.91
43:22.5,-0.05,0.49,0.95
43:22.6,-0.07,0.48,0.92
43:22.6,-0.08,0.44,0.92
43:22.6,-0.09,0.49,0.95
43:22.7,-0.1,0.51,0.93
43:22.7,-0.1,0.48,0.9
43:22.7,-0.12,0.45,0.88
43:22.7,-0.17,0.44,0.85
43:22.8,-0.19,0.37,0.79
43:22.8,-0.2,0.34,0.77
43:22.8,-0.19,0.33,0.75
43:22.9,-0.17,0.33,0.82
43:22.9,-0.14,0.35,0.83
43:22.9,-0.11,0.39,0.89
43:23.0,-0.1,0.42,0.93
43:23.0,-0.08,0.39,0.95
43:23.0,-0.06,0.5,1
43:23.1,-0.03,0.47,1
43:23.1,-0.03,0.39,1.02
43:23.1,-0.01,0.37,0.95
43:23.2,0,0.27,0.91
43:23.2,0.03,0.36,0.92
43:23.2,0.06,0.34,0.95
43:23.3,0.06,0.26,0.91
43:23.3,0.06,0.34,0.98
43:23.3,0.05,0.32,1.01
43:23.3,0.05,0.26,0.93
43:23.4,0.05,0.36,1.06
43:23.4,0.02,0.43,1.02
43:23.4,0.08,0.43,1.45
43:23.5,0,0.42,0.69
43:23.5,0.02,0.13,0.84
43:23.5,0.05,0.28,0.91
43:23.6,0.02,0.37,1
43:23.6,0.02,0.3,0.95
43:23.6,0,0.29,0.89
43:23.7,0,0.32,0.96
43:23.7,0,0.32,0.94
43:23.7,0,0.34,0.92
43:23.7,0.08,0.53,1.34
43:23.8,-0.01,0.3,0.96
43:23.8,0.01,0.12,0.77
43:23.8,-0.01,0.31,0.92
43:23.9,0,0.39,1.03
43:23.9,0,0.3,0.92
43:23.9,0,0.29,0.83
43:24.0,0.01,0.38,1.03
43:24.0,0,0.39,0.94
43:24.0,0,0.36,1
43:24.1,-0.03,0.43,1.09
43:24.1,-0.07,0.35,0.77
43:24.1,0.16,0.61,1.35
43:24.2,-0.07,0.38,0.94
43:24.2,0.02,0.12,0.77
43:24.2,0.01,0.36,0.76
43:24.3,0.02,0.44,0.98
43:24.3,0.02,0.43,0.95
43:24.3,0,0.43,0.95
43:24.3,-0.03,0.38,0.93
43:24.4,-0.04,0.38,0.93
43:24.4,-0.05,0.38,0.94
43:24.4,-0.06,0.38,0.91
43:24.5,-0.09,0.33,0.85
43:24.5,-0.08,0.46,0.91
43:24.5,-0.04,0.43,0.98
43:24.6,-0.05,0.44,0.87
43:24.6,-0.06,0.45,0.93
43:24.6,-0.06,0.45,0.97
43:24.7,-0.11,0.29,0.84
