Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS)
42:06.6,-0.24,0.19,-0.92,-1,33.5,1.01
42:06.6,-0.22,0.22,-0.89,-1,33.5,1.014
42:06.6,-0.22,0.23,-0.88,-1,33.5,1.014
42:06.7,-0.22,0.23,-0.91,-1,33.5,1.02
42:06.7,-0.18,0.23,-0.89,-1,33.5,1.014
42:06.7,-0.18,0.27,-0.87,-1,33.5,1.02
42:06.7,-0.18,0.25,-0.85,-1,33.5,1.014
42:06.8,-0.2,0.26,-0.84,-1,33.5,1.014
42:06.8,-0.19,0.29,-0.86,-1,33.5,1.014
42:06.8,-0.15,0.27,-0.88,-1,33.5,1.014
42:06.9,-0.14,0.26,-0.94,-1,33.5,1.02
42:06.9,-0.12,0.29,-0.97,-1,33.5,1.02
42:06.9,-0.12,0.29,-0.95,-1,33.5,1.014
42:07.0,-0.1,0.31,-0.89,-1,33.5,1.02
42:07.0,-0.1,0.29,-0.88,-1,33.5,1.02
42:07.0,-0.06,0.3,-0.91,-1,33.5,1.01
42:07.1,-0.02,0.26,-0.86,-1,33.5,1.02
42:07.1,0,0.27,-0.86,-1,33.5,1.014
42:07.1,0.01,0.26,-0.85,-1,33.5,1.01
42:07.2,0.03,0.27,-0.77,-1,33.5,1.01
42:07.2,0.06,0.31,-0.78,-1,33.5,1.01
42:07.2,0.05,0.32,-0.73,-1,33.5,1.01
42:07.3,0.03,0.36,-0.72,-1,33.5,1.014
42:07.3,0.03,0.4,-0.82,-1,33.5,1.01
42:07.3,0,0.33,-0.83,-1,33.5,1.01
42:07.3,0,0.31,-0.79,-1,33.5,1.014
42:07.4,-0.01,0.31,-0.77,-1,33.5,1.02
42:07.4,-0.06,0.29,-0.75,-1,33.5,1.02
42:07.4,-0.09,0.3,-0.75,-1,33.5,1.02
42:07.5,-0.08,0.38,-0.84,-1,33.5,1.014
42:07.5,-0.03,0.39,-0.89,-1,33.5,1.014
42:07.5,0,0.36,-0.84,-1,33.5,1.014
42:07.6,0.06,0.45,-0.97,-1,33.5,1.01
42:07.6,0.1,0.42,-1,-1,33.5,1.01
42:07.6,0.17,0.36,-1.01,-1,33.5,1.01
42:07.7,0.16,0.36,-1,-1,33.5,1.004
42:07.7,0.1,0.35,-0.91,-1,33.5,1.004
42:07.7,0.05,0.32,-0.88,-1,33.5,1.004
42:07.8,0.04,0.36,-0.99,-1,33.5,1.004
42:07.8,0.07,0.31,-1.01,-1,33.5,1.004
42:07.8,0.13,0.31,-1.05,-1,33.5,1.004
42:07.8,0.14,0.21,-1.02,-1,33.5,1.002
42:07.9,0.11,0.16,-0.85,-1,33.5,1.004
42:07.9,0.07,0.14,-0.62,-1,33.5,1.002
42:07.9,0.07,0.13,-0.47,-1,33.5,1.004
42:08.0,0.16,0.29,-0.56,-1,33.5,1.004
42:08.0,0.29,0.25,-0.48,-1,33.5,1.004
42:08.0,0.48,0.4,-0.47,-1,33.5,1.004
42:08.1,0.6,0.62,-0.49,-1,33.5,1.004
42:08.1,0.72,0.72,-0.5,-1,33.5,1.01
42:08.1,0.75,0.49,-0.28,-1,33.5,1.01
42:08.2,0.75,0.55,-0.17,-1,33.5,1.01
42:08.2,0.8,0.56,-0.23,-1,33.5,1.01
42:08.2,0.88,0.48,-0.25,-1,33.5,1.01
42:08.3,0.97,0.56,-0.2,-1,33.5,1.014
42:08.3,1,0.48,-0.16,-1,33.5,1.014
42:08.3,1,0.37,-0.16,-1,33.5,1.02
42:08.3,1.06,0.35,-0.1,-1,33.5,1.02
42:08.4,1.19,0.41,0.01,-1,33.5,1.02
42:08.4,1.27,0.52,0.12,-1,33.5,1.02
42:08.4,1.33,0.6,0.15,-1,33.5,1.02
42:08.5,1.42,0.6,0.15,-1,33.5,1.022
42:08.5,1.39,0.55,0.24,-1,33.5,1.022
42:08.5,1.21,0.51,0.25,-1,33.5,1.022
42:08.6,0.95,0.4,0.28,-1,33.5,1.022
42:08.6,0.82,0.22,0.22,-1,33.5,1.028
42:08.6,0.78,0.1,0.19,-1,33.5,1.031
42:08.7,0.85,0.17,0.18,-1,33.5,1.031
42:08.7,0.85,0.23,0.2,-1,33.5,1.031
42:08.7,0.83,0.19,0.21,-1,33.5,1.031
42:08.8,0.78,0.16,0.21,-1,33.5,1.031
42:08.8,0.78,0.17,0.22,-1,33.5,1.031
42:08.8,0.81,0.2,0.22,-1,33.5,1.031
42:08.8,0.86,0.2,0.22,-1,33.5,1.031
42:08.9,0.9,0.2,0.19,-1,33.5,1.031
42:08.9,0.95,0.1,0.25,-1,33.5,1.037
42:08.9,0.96,0.29,0.34,-1,33.5,1.037
42:09.0,0.93,0.33,0.3,-1,33.5,1.031
42:09.0,0.92,0.23,0.35,-1,33.5,1.037
42:09.0,0.96,0.22,0.37,-1,33.5,1.031
42:09.1,1.07,0.27,0.39,-1,33.5,1.037
42:09.1,1.11,0.34,0.4,-1,33.5,1.037
42:09.1,1.3,0.36,0.35,-1,33.5,1.037
42:09.2,1.43,0.39,0.38,-1,33.5,1.037
42:09.2,1.21,0.43,0.31,-1,33.5,1.037
42:09.2,1.17,0.33,0.25,-1,33.5,1.037
42:09.3,1.24,0.33,0.29,-1,33.5,1.037
