Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
17:08:08,-0.12,0.03,0.88,-1,34.5,0.064,0
17:08:08,-0.1,0.06,0.77,-1,34.5,0.062,0
17:08:08,-0.05,-0.01,0.77,-1,34.5,0.062,0
17:08:08,0.05,0.04,1.08,-1,34.5,0.062,0
17:08:08,0.06,0.36,1.23,-1,34.5,0.062,0
17:08:08,-0.03,0.37,1.51,-1,34.3,0.062,0
17:08:08,-0.31,-0.13,0.51,-1,34.5,0.062,0
17:08:08,0.28,0.97,1.2,-1,34.5,0.062,0
17:08:08,-0.05,-0.18,0.84,-1,34.5,0.062,0
17:08:08,-0.03,-0.19,0.8,-1,34.5,0.062,0
17:08:08,0.04,0.28,0.88,-1,34.5,0.062,0
17:08:08,0.11,0.23,1.3,-1,34.5,0.062,0
17:08:08,0,-0.07,0.78,-1,34.5,0.062,0
17:08:08,0.21,0.74,1.35,-1,34.5,0.062,0
17:08:08,-0.04,0.17,0.9,-1,34.5,0.062,0
17:08:08,-0.06,-0.26,0.9,-1,34.5,0.062,0
17:08:09,0.02,0.22,0.9,-1,34.5,0.064,0
17:08:09,0.08,0.2,1.23,-1,34.5,0.062,0
17:08:09,-0.01,-0.23,0.49,-1,34.5,0.062,0
17:08:09,0.29,1,1.07,-1,34.3,0.064,0
17:08:09,0,0.06,0.91,-1,34.5,0.062,0
17:08:09,-0.03,-0.2,0.88,-1,34.5,0.064,0
17:08:09,0.14,0.34,1.13,-1,34.5,0.064,0
17:08:09,-0.06,-0.03,0.95,-1,34.5,0.062,0
17:08:09,-0.55,-0.36,2.14,-1,34.5,0.062,0
17:08:09,-0.07,0.33,1.02,-1,34.5,0.062,0
17:08:09,0.06,-0.01,0.87,-1,34.5,0.062,0
17:08:09,0.06,0.1,0.82,-1,34.5,0.064,0
17:08:09,0.05,0.22,0.95,-1,34.5,0.064,0
17:08:09,0,0.17,1,-1,34.5,0.064,0
