Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
17:08:23,-0.12,0.03,1,-1,34.3,0.078,0
17:08:23,-0.16,-0.03,0.98,-1,34.3,0.078,0
17:08:23,-0.16,0,0.93,-1,34.3,0.078,0
17:08:23,-0.15,0.05,0.88,-1,34.3,0.078,0
17:08:23,-0.19,0.01,0.82,-1,34.3,0.078,0
17:08:23,-0.2,0,0.71,-1,34.3,0.078,0
17:08:23,-0.18,0,0.55,-1,34.3,0.078,0
17:08:23,-0.06,-0.08,0.41,-1,34.3,0.074,0
17:08:23,0.16,0.03,0.71,-1,34.3,0.072,0
17:08:23,0.36,0.22,1.42,-1,34.3,0.07,0
17:08:23,0.2,0.3,0.25,-1,34.3,0.07,0
17:08:23,1.13,1.5,2.32,-1,34.3,0.066,0
17:08:23,0.07,-0.34,1.66,-1,34.3,0.07,0
17:08:23,0.14,0.05,0.68,-1,34.3,0.072,0
17:08:23,0.15,0.11,0.76,-1,34.3,0.074,0
17:08:23,0.11,0.08,0.85,-1,34.3,0.074,0
17:08:23,0.03,0.09,0.49,-1,34.3,0.076,0
17:08:23,0,-0.15,0.29,-1,34.3,0.076,0
17:08:23,0.37,0.1,0.9,-1,34.3,0.076,0
17:08:23,0.19,0.12,0.49,-1,34.3,0.076,0
17:08:23,1.4,0.57,2.97,-1,34.3,0.068,0
17:08:23,0.21,0.26,1.8,-1,34.3,0.07,0
17:08:23,0.13,-0.14,0.97,-1,34.3,0.072,0
17:08:23,0.2,0.12,0.73,-1,34.3,0.072,0
17:08:23,0.19,0.21,0.66,-1,34.3,0.072,0
17:08:23,0.04,0.18,0.63,-1,34.3,0.072,0
17:08:23,-0.03,-0.15,0.32,-1,34.3,0.074,0
17:08:23,0,-0.41,0.59,-1,34.3,0.074,0
17:08:24,0.5,0.51,0.84,-1,34.3,0.072,0
17:08:24,-1.08,-2.04,4.17,-1,34.3,0.068,0
17:08:24,0.37,0.77,1.82,-1,34.3,0.058,0
17:08:24,0.04,-0.18,0.54,-1,34.3,0.062,0
17:08:24,0.19,-0.25,0.54,-1,34.3,0.07,0
17:08:24,0.2,0.16,0.79,-1,34.3,0.07,0
17:08:24,0.18,0.22,1.12,-1,34.3,0.074,0
17:08:24,0.15,0.15,1.22,-1,34.3,0.074,0
17:08:24,0.15,0.04,1.05,-1,34.3,0.076,0
