Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
17:08:30,-0.14,0.18,0.99,-1,34.3,0.083,0
17:08:30,-0.13,0.23,0.94,-1,34.3,0.083,0
17:08:30,-0.13,0.16,1.03,-1,34.3,0.083,0
17:08:30,-0.16,0.25,1.07,-1,34.3,0.083,0
17:08:30,-0.17,0.27,1.03,-1,34.1,0.083,0
17:08:30,-0.1,0.11,0.84,-1,34.3,0.083,0
17:08:30,-0.08,0.13,0.92,-1,34.3,0.083,0
17:08:30,-0.2,0.47,0.95,-1,34.3,0.083,0
17:08:30,-0.12,0.19,0.91,-1,34.3,0.083,0
17:08:30,-0.13,0.18,0.95,-1,34.3,0.083,0
17:08:30,-0.17,0.19,0.96,-1,34.3,0.083,0
17:08:30,-0.16,0.17,1,-1,34.3,0.083,0
17:08:30,-0.17,0.26,1.16,-1,34.3,0.083,0
17:08:31,-0.16,0.27,1.13,-1,34.3,0.083,0
17:08:31,-0.19,0.16,0.82,-1,34.3,0.083,0
17:08:31,-0.11,0.09,0.91,-1,34.3,0.083,0
17:08:31,-0.15,0.29,1.11,-1,34.3,0.083,0
17:08:31,-0.14,0.34,1.01,-1,34.3,0.083,0
17:08:31,-0.14,0.18,1.01,-1,34.3,0.083,0
17:08:31,-0.17,0.22,1,-1,34.3,0.083,0
17:08:31,-0.18,0.21,1,-1,34.3,0.083,0
17:08:31,-0.18,0.22,0.99,-1,34.3,0.083,0
17:08:31,-0.18,0.21,1,-1,34.3,0.083,0
17:08:31,-0.2,0.19,0.97,-1,34.3,0.083,0
17:08:31,-0.21,0.18,0.97,-1,34.3,0.083,0
17:08:31,-0.21,0.17,0.98,-1,34.3,0.083,0
17:08:31,-0.22,0.17,0.97,-1,34.3,0.083,0
17:08:31,-0.22,0.19,0.98,-1,34.3,0.085,0
17:08:31,-0.23,0.17,0.9,-1,34.3,0.083,0
17:08:31,-0.23,0.16,0.91,-1,34.3,0.083,0
17:08:31,-0.24,0.15,0.97,-1,34.3,0.085,0
17:08:31,-0.25,0.15,0.97,-1,34.3,0.083,0
17:08:31,-0.25,0.15,0.91,-1,34.3,0.084,0
17:08:31,-0.25,0.14,0.97,-1,34.3,0.083,0
17:08:31,-0.26,0.19,0.97,-1,34.3,0.083,0
17:08:31,-0.27,0.16,0.98,-1,34.3,0.083,0
17:08:31,-0.27,0.16,0.97,-1,34.3,0.083,0
17:08:31,-0.26,0.15,0.97,-1,34.3,0.083,0
17:08:31,-0.26,0.16,0.96,-1,34.3,0.083,0
17:08:31,-0.26,0.16,0.97,-1,34.3,0.083,0
17:08:31,-0.27,0.16,1,-1,34.3,0.083,0
