Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
17:07:39,-0.17,0.14,0.89,-1,34.7,0.044,0
17:07:39,-0.13,0.22,0.9,-1,34.7,0.042,0
17:07:39,-0.14,0.16,0.89,-1,34.7,0.042,0
17:07:39,-0.11,0.33,0.98,-1,34.7,0.042,0
17:07:39,-0.07,0.31,1.32,-1,34.9,0.042,0
17:07:39,-0.15,0.2,0.76,-1,34.7,0.044,0
17:07:39,0.03,0.18,1.46,-1,34.7,0.046,0
17:07:39,-0.12,0.33,1.07,-1,34.7,0.046,0
17:07:39,-0.12,0.1,1.02,-1,34.7,0.046,0
17:07:39,-0.11,0.19,1,-1,34.7,0.044,0
17:07:39,-0.11,0.19,0.95,-1,34.7,0.046,0
17:07:39,-0.11,0.12,0.85,-1,34.7,0.044,0
17:07:39,-0.1,0.16,0.82,-1,34.7,0.046,0
17:07:39,-0.12,0.18,0.89,-1,34.7,0.044,0
17:07:39,-0.09,0.32,1.22,-1,34.7,0.042,0
17:07:39,-0.13,0.16,0.88,-1,34.9,0.044,0
17:07:39,0,0.4,1.36,-1,34.7,0.046,0
17:07:39,-0.1,0.28,1.03,-1,34.7,0.044,0
17:07:39,-0.09,0.21,0.93,-1,34.7,0.044,0
17:07:39,-0.13,0.26,0.97,-1,34.7,0.044,0
17:07:40,-0.17,0.21,1.02,-1,34.7,0.046,0
17:07:40,-0.16,0.15,0.89,-1,34.7,0.044,0
17:07:40,-0.12,0.18,0.86,-1,34.7,0.046,0
17:07:40,-0.15,0.33,0.94,-1,34.7,0.044,0
17:07:40,-0.08,0.22,1.26,-1,34.7,0.046,0
17:07:40,-0.08,0.12,0.64,-1,34.7,0.046,0
17:07:40,-0.05,0.69,1.19,-1,34.7,0.044,0
17:07:40,-0.04,0.28,1.09,-1,34.7,0.046,0
17:07:40,-0.07,0.29,0.85,-1,34.7,0.046,0
17:07:40,-0.06,0.35,0.96,-1,34.7,0.046,0
17:07:40,-0.11,0.37,1.06,-1,34.7,0.046,0
17:07:40,-0.13,0.43,1,-1,34.7,0.046,0
