Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
17:07:52,-0.25,0.22,0.86,-1,34.5,0.05,0
17:07:52,-0.22,0.31,0.92,-1,34.5,0.05,0
17:07:52,-0.22,0.28,0.97,-1,34.5,0.05,0
17:07:52,-0.21,0.3,0.93,-1,34.7,0.05,0
17:07:52,-0.22,0.29,0.93,-1,34.5,0.05,0
17:07:52,-0.2,0.29,0.98,-1,34.7,0.05,0
17:07:52,-0.2,0.3,1.07,-1,34.5,0.05,0
17:07:52,-0.21,0.23,0.64,-1,34.5,0.05,0
17:07:52,-0.18,0.27,1.28,-1,34.5,0.05,0
17:07:52,-0.16,0.35,1.08,-1,34.5,0.05,0
17:07:52,-0.22,0.08,0.91,-1,34.5,0.05,0
17:07:52,-0.15,0.34,0.78,-1,34.5,0.05,0
17:07:52,-0.2,0.21,0.95,-1,34.5,0.05,0
17:07:52,-0.22,0.28,0.92,-1,34.5,0.05,0
17:07:52,-0.22,0.19,0.92,-1,34.7,0.05,0
17:07:52,-0.19,0.31,1.01,-1,34.7,0.05,0
17:07:52,-0.21,0.29,1.11,-1,34.5,0.05,0
17:07:52,-0.26,0.17,0.69,-1,34.7,0.05,0
17:07:53,-0.27,0.37,1.25,-1,34.5,0.05,0
17:07:53,-0.18,0.34,1.13,-1,34.5,0.05,0
17:07:53,-0.2,0.12,0.94,-1,34.7,0.05,0
17:07:53,-0.15,0.29,0.77,-1,34.5,0.05,0
17:07:53,-0.18,0.21,0.95,-1,34.7,0.05,0
17:07:53,-0.21,0.32,0.98,-1,34.5,0.05,0
17:07:53,-0.23,0.2,0.9,-1,34.7,0.05,0
17:07:53,-0.21,0.21,0.88,-1,34.5,0.05,0
17:07:53,-0.18,0.4,1.14,-1,34.5,0.05,0
17:07:53,-0.25,0.19,1,-1,34.7,0.05,0
17:07:53,-0.39,0.07,0.53,-1,34.5,0.05,0
17:07:53,-0.01,0.64,1.13,-1,34.7,0.05,0
17:07:53,-0.21,0.16,1.1,-1,34.7,0.05,0
17:07:53,-0.19,0.18,0.88,-1,34.5,0.05,0
17:07:53,-0.17,0.23,0.87,-1,34.7,0.05,0
17:07:53,-0.17,0.3,0.94,-1,34.5,0.05,0
17:07:53,-0.19,0.29,0.98,-1,34.5,0.05,0
17:07:53,-0.2,0.25,0.99,-1,34.5,0.05,0
