Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
16:38:08.875,-0.12,0.11,-0.85,-1,27.4,0.372,0
16:38:08.906,-0.12,0.11,-0.86,-1,27.4,0.372,0
16:38:08.937,-0.12,0.16,-0.85,-1,27.4,0.372,0
16:38:08.968,-0.1,0.16,-0.81,-1,27.4,0.372,0
16:38:09.000,-0.11,0.14,-0.86,-1,27.4,0.372,0
16:38:09.031,-0.08,0.19,-0.93,-1,27.4,0.372,0
16:38:09.062,-0.05,0.11,-0.91,-1,27.4,0.372,0
16:38:09.093,0.04,0.12,-1,-1,27.4,0.372,0
16:38:09.125,-0.01,0.28,-1.31,-1,27.4,0.372,0
16:38:09.156,-0.13,0.23,-0.97,-1,27.4,0.372,0
16:38:09.187,-0.08,0.15,-0.82,-1,27.4,0.372,0
16:38:09.218,0.01,0.11,-0.89,-1,27.4,0.372,0
16:38:09.250,-0.17,0.03,-1,-1,27.4,0.372,0
16:38:09.281,-0.15,0.18,-0.76,-1,27.4,0.372,0
16:38:09.312,-0.1,0.22,-0.76,-1,27.4,0.372,0
16:38:09.343,-0.13,0.15,-0.87,-1,27.4,0.372,0
16:38:09.375,-0.06,0.14,-1,-1,27.4,0.372,0
16:38:09.406,0.1,0,-1.09,-1,27.4,0.372,0
16:38:09.437,-0.07,0.24,-1.07,-1,27.4,0.372,0
16:38:09.468,-0.08,0.24,-0.96,-1,27.4,0.375,0
16:38:09.500,-0.08,0.15,-0.88,-1,27.4,0.372,0
16:38:09.531,-0.11,0.14,-0.97,-1,27.4,0.372,0
16:38:09.562,-0.14,0.16,-0.96,-1,27.4,0.375,0
16:38:09.593,-0.15,0.22,-0.88,-1,27.4,0.372,0
16:38:09.625,-0.14,0.18,-0.88,-1,27.4,0.372,0
16:38:09.656,-0.14,0.14,-0.9,-1,27.4,0.372,0
16:38:09.687,-0.15,0.15,-0.88,-1,27.4,0.372,0
16:38:09.718,-0.14,0.15,-0.86,-1,27.4,0.372,0
16:38:09.750,-0.14,0.17,-0.88,-1,27.4,0.375,0
