Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
16:38:13.531,-0.11,0,0.09,-1,27.6,0.378,0
16:38:13.562,-0.12,-0.03,0.26,-1,27.6,0.378,0
16:38:13.593,-0.15,0.08,-0.21,-1,27.6,0.378,0
16:38:13.625,-0.01,0.75,0.57,-1,27.4,0.378,0
16:38:13.656,-2.51,-0.97,-0.87,-1,27.6,0.378,0
16:38:13.687,-0.25,0.03,-0.87,-1,27.4,0.378,0
16:38:13.718,-0.09,0.47,-1.44,-1,27.6,0.378,0
16:38:13.750,-0.09,0.36,-1.12,-1,27.6,0.378,0
16:38:13.781,-0.29,-0.19,-0.61,-1,27.4,0.378,0
16:38:13.812,-0.34,0.26,-0.15,-1,27.6,0.378,0
16:38:13.843,-0.36,0.16,0.11,-1,27.6,0.378,0
