Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
16:38:13.875,-0.25,-0.34,0.55,-1,27.6,0.378,0,
16:38:13.906,-0.07,-0.15,0.38,-1,27.6,0.378,0,
16:38:13.937,-0.09,0.19,-0.63,-1,27.6,0.378,0,
16:38:13.968,2.66,0.61,-3.99,-1,27.6,0.38,0,
16:38:14.000,0.2,1.66,-1.34,-1,27.6,0.38,0,
16:38:14.031,-0.11,-0.65,0.2,-1,27.6,0.378,0,
16:38:14.062,-0.07,0.68,-1.39,-1,27.6,0.378,0,
16:38:14.093,-0.15,0.5,-1.08,-1,27.6,0.38,0,
16:38:14.125,-0.26,-0.01,-0.55,-1,27.6,0.38,0,
16:38:14.156,-0.51,-0.06,-0.79,-1,27.6,0.38,0,
16:38:14.187,-0.3,0.37,-0.51,-1,27.6,0.38,0,
16:38:14.218,-0.11,-0.04,0.22,-1,27.6,0.383,0,0
