Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
16:38:20.625,-0.42,0.12,-0.34,-1,27.6,0.433,0
16:38:20.656,-0.19,0.58,-0.59,-1,27.6,0.433,0
16:38:20.687,0.51,0.21,-1.61,-1,27.9,0.433,0
16:38:20.718,0.02,0.16,-1.27,-1,27.6,0.433,0
16:38:20.750,-0.08,0.46,-1.17,-1,27.6,0.433,0
16:38:20.781,-0.17,0.32,-1.27,-1,27.9,0.433,0
16:38:20.812,-0.35,0.18,-0.86,-1,27.9,0.433,0
16:38:20.843,-0.36,0.2,-0.57,-1,27.6,0.433,0
16:38:20.875,-0.29,0.25,-0.63,-1,27.6,0.433,0
16:38:20.906,-0.31,0.12,-0.48,-1,27.6,0.435,0
