Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
16:37:53.375,-0.24,0.08,-0.72,-1,27,0.351,0
16:37:53.406,-0.24,0.07,-0.8,-1,27,0.348,0
16:37:53.437,-0.19,0.11,-0.68,-1,27,0.351,0
16:37:53.468,-0.16,0.08,-0.7,-1,27,0.348,0
16:37:53.500,-0.13,0.05,-0.84,-1,27,0.351,0
16:37:53.531,-0.09,0.04,-1,-1,27,0.351,0
16:37:53.562,-0.11,0.07,-1.13,-1,27,0.348,0
16:37:53.593,0,0.11,-1.15,-1,27,0.348,0
16:37:53.625,-0.06,0,-2.02,-1,27,0.348,0
16:37:53.656,-0.35,0.09,-1.1,-1,27,0.348,0
16:37:53.687,-0.09,0.29,-0.7,-1,27,0.351,0
16:37:53.718,0,0.12,-0.96,-1,27,0.351,0
16:37:53.750,0,0.05,-1.05,-1,27,0.348,0
16:37:53.781,-0.07,0.07,-0.98,-1,27,0.348,0
16:37:53.812,-0.15,0.04,-1,-1,27,0.351,0
16:37:53.843,-0.14,0.02,-0.86,-1,27,0.351,0
16:37:53.875,-0.12,0.09,-0.71,-1,27,0.348,0
16:37:53.906,-0.17,0.05,-0.73,-1,27,0.348,0
16:37:53.937,-0.25,0.07,-0.7,-1,27,0.348,0
