Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
16:38:01.093,-0.18,0.1,-0.83,-1,27.2,0.367,0
16:38:01.125,-0.2,0.11,-0.76,-1,27.2,0.367,0
16:38:01.156,-0.2,0.08,-0.75,-1,27.2,0.367,0
16:38:01.187,-0.19,0.12,-0.81,-1,27.2,0.367,0
16:38:01.218,-0.18,0.07,-0.71,-1,27.2,0.367,0
16:38:01.250,-0.17,0.03,-0.64,-1,27.4,0.367,0
16:38:01.281,-0.19,-0.13,-0.99,-1,27.2,0.367,0
16:38:01.312,-0.16,0.37,-1.05,-1,27.2,0.367,0
16:38:01.343,0.15,0.28,-0.78,-1,27.2,0.367,0
16:38:01.375,-0.32,0.26,-1.63,-1,27.2,0.367,0
16:38:01.406,-0.11,0.02,-0.95,-1,27.2,0.367,0
16:38:01.437,-0.08,0.23,-0.94,-1,27.2,0.367,0
16:38:01.468,-0.09,0.11,-0.97,-1,27.2,0.367,0
16:38:01.500,-0.05,0.16,-0.96,-1,27.2,0.367,0
16:38:01.531,-0.05,0.09,-0.88,-1,27.2,0.367,0
16:38:01.562,-0.04,0.05,-0.92,-1,27.2,0.367,0
16:38:01.593,-0.06,0.06,-0.98,-1,27.2,0.367,0
16:38:01.625,-0.07,0.08,-0.96,-1,27.2,0.367,0
16:38:01.656,-0.07,0.1,-0.98,-1,27.2,0.367,0
