Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
17:28:55,0.04,-0.31,1,-1,35.4,0.278,0
17:28:55,0.05,-0.31,1,-1,35.4,0.278,0
17:28:55,0.07,-0.33,1.08,-1,35.4,0.278,0
17:28:55,0.07,-0.28,1.06,-1,35.4,0.275,0
17:28:55,0.06,-0.4,1.08,-1,35.4,0.275,0
17:28:55,0.05,-0.31,0.85,-1,35.4,0.278,0
17:28:55,-0.02,-0.47,1.69,-1,35.4,0.278,0
17:28:55,-0.02,-0.37,0.9,-1,35.4,0.28,0
17:28:56,0.08,-0.11,0.65,-1,35.4,0.278,0
17:28:56,0.12,-0.23,0.82,-1,35.4,0.278,0
17:28:56,0.09,-0.26,1.16,-1,35.4,0.278,0
17:28:56,0.15,-0.29,1.11,-1,35.4,0.278,0
17:28:56,0.1,-0.3,1.15,-1,35.4,0.278,0
17:28:56,0.04,-0.33,0.95,-1,35.4,0.278,0
17:28:56,0.2,-0.16,1.37,-1,35.4,0.28,0
17:28:56,0.03,-0.21,0.88,-1,35.4,0.28,0
17:28:56,0.15,-0.14,0.78,-1,35.2,0.28,0
17:28:56,0.12,-0.25,1,-1,35.4,0.28,0
17:28:56,0.12,-0.33,1.26,-1,35.4,0.28,0
17:28:56,0.05,-0.3,1.03,-1,35.4,0.278,0
17:28:56,0.02,-0.3,0.99,-1,35.4,0.28,0
17:28:56,0.03,-0.29,1.05,-1,35.4,0.28,0
17:28:56,0.02,-0.31,1.04,-1,35.4,0.278,0
