Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
17:29:12,0,-0.3,0.86,-1,35.2,0.303,0
17:29:12,-0.05,-0.07,0.67,-1,35.2,0.303,0
17:29:12,0,-0.06,0.79,-1,35.2,0.3,0
17:29:12,0.17,-0.14,0.86,-1,35.2,0.3,0
17:29:12,2.77,-2.02,4.67,-1,34.9,0.3,0
17:29:12,0,-0.18,0.6,-1,35.2,0.3,0
17:29:12,0.14,-0.14,0.76,-1,35.2,0.298,0
17:29:12,0,-0.2,0.69,-1,35.2,0.295,0
17:29:12,0.06,-0.05,0.35,-1,34.9,0.295,0
17:29:12,0.38,0,0.91,-1,35.2,0.298,0
17:29:12,0.4,-0.25,-1.17,-1,34.9,0.298,0
17:29:12,-0.41,2.47,1.03,-1,35.2,0.3,0
17:29:12,0.06,0.45,0,-1,35.2,0.3,0
17:29:12,0.3,-0.45,0.85,-1,35.2,0.3,0
17:29:12,0.25,-0.05,1.11,-1,35.2,0.3,0
17:29:12,0.06,-0.16,0.39,-1,34.9,0.3,0
17:29:12,0.13,0.15,0.41,-1,34.9,0.303,0
17:29:12,2.14,-2.82,4.8,-1,34.9,0.303,0
17:29:12,-0.19,-1.93,1.57,-1,34.9,0.3,0
17:29:12,0.15,0.34,0.15,-1,35.2,0.3,0
17:29:12,0.2,-0.4,1.41,-1,34.9,0.3,0
17:29:12,0.25,-0.24,1.19,-1,35.2,0.3,0
17:29:12,0.12,-0.25,0.93,-1,35.2,0.303,0
