Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
17:29:21,0,-0.12,0.94,-1,34.9,0.318,0
17:29:21,0.12,-0.25,1.32,-1,34.9,0.318,0
17:29:21,0.14,-0.23,1.16,-1,34.9,0.318,0
17:29:21,0.2,-0.24,1.21,-1,34.9,0.318,0
17:29:21,0.14,-0.37,1.29,-1,34.9,0.318,0
17:29:22,0.03,-0.29,1.19,-1,34.9,0.318,0
17:29:22,-0.01,-0.16,1.09,-1,34.9,0.318,0
17:29:22,0.01,-0.16,0.99,-1,34.9,0.318,0
17:29:22,0,-0.1,0.83,-1,34.9,0.318,0
17:29:22,0.04,-0.08,0.91,-1,34.9,0.318,0
17:29:22,0.18,-0.26,1.26,-1,34.9,0.318,0
17:29:22,-0.02,-0.28,1.16,-1,34.9,0.318,0
17:29:22,0.05,0,0.43,-1,34.9,0.318,0
17:29:22,1.1,-1.76,3.27,-1,34.9,0.318,0
17:29:22,0.13,-1.11,1.36,-1,34.9,0.318,0
17:29:22,0.14,-0.03,0.64,-1,34.9,0.318,0
17:29:22,0.22,-0.17,0.82,-1,34.9,0.315,0
17:29:22,0.22,0,0.94,-1,34.9,0.315,0
17:29:22,0.26,-0.3,1.36,-1,34.9,0.318,0
17:29:22,0.08,-0.24,0.68,-1,34.9,0.318,0
17:29:22,0.05,-0.32,1.76,-1,34.9,0.318,0
17:29:22,0.16,-0.95,0.62,-1,34.9,0.318,0
17:29:22,0.06,-0.15,0.98,-1,34.9,0.318,0
17:29:22,0.54,-0.32,1.5,-1,34.9,0.318,0
17:29:22,-0.1,-0.3,0.38,-1,34.9,0.318,0
17:29:22,0.63,-1.74,2.75,-1,34.9,0.318,0
17:29:22,0.23,-1.01,0.91,-1,34.9,0.318,0
17:29:22,0.27,-0.15,1.11,-1,34.9,0.318,0
17:29:22,0.2,-0.21,1.07,-1,34.9,0.318,0
17:29:22,0.1,-0.3,1.11,-1,34.9,0.318,0
17:29:22,0.17,-0.29,1.52,-1,34.9,0.318,0
17:29:22,0.12,-0.31,1.07,-1,34.9,0.318,0
