Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
17:28:14,0.06,-0.21,1.11,-1,36.4,0.197,0
17:28:14,0.04,-0.3,0.99,-1,36.2,0.197,0
17:28:14,0.52,-0.08,2.52,-1,36.4,0.197,0
17:28:14,-0.02,-0.15,0.85,-1,36.4,0.2,0
17:28:14,0.11,0.12,0.68,-1,36.4,0.2,0
17:28:14,0.1,-0.16,0.72,-1,36.4,0.2,0
17:28:14,0.15,-0.14,1.01,-1,36.2,0.2,0
17:28:14,0.19,-0.24,1.11,-1,36.4,0.2,0
17:28:14,0.08,-0.28,0.94,-1,36.4,0.2,0
17:28:14,0.06,-0.24,1.14,-1,36.4,0.2,0
17:28:14,0.05,-0.27,1.18,-1,36.4,0.2,0
17:28:14,0.05,-0.23,1.14,-1,36.4,0.2,0
17:28:14,-0.02,-0.27,0.83,-1,36.4,0.2,0
17:28:14,0.58,-0.02,1.91,-1,36.2,0.2,0
17:28:14,0.07,0.05,0.96,-1,36.2,0.2,0
17:28:14,0.15,-0.15,0.85,-1,36.4,0.2,0
17:28:14,0.14,-0.21,0.71,-1,36.4,0.2,0
17:28:14,0.09,-0.23,1.01,-1,36.4,0.2,0
17:28:14,0.11,-0.27,1.06,-1,36.4,0.2,0
17:28:14,0.05,-0.23,1,-1,36.4,0.2,0
17:28:14,0.04,-0.25,1.05,-1,36.4,0.2,0
17:28:14,0.08,-0.23,1.11,-1,36.4,0.2,0
17:28:15,0.07,-0.28,1.22,-1,36.2,0.2,0
17:28:15,0,-0.32,0.81,-1,36.2,0.2,0
17:28:15,0,-0.75,1.68,-1,36.2,0.2,0
17:28:15,0,-0.25,0.93,-1,36.4,0.2,0
17:28:15,0.15,-0.05,0.83,-1,36.4,0.2,0
17:28:15,0.15,-0.2,0.85,-1,36.4,0.2,0
17:28:15,0.15,-0.26,1.14,-1,36.2,0.2,0
