Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
17:28:37,0,-0.3,1.05,-1,35.8,0.244,0
17:28:37,0,-0.28,1.04,-1,35.8,0.244,0
17:28:37,0,-0.27,1.01,-1,35.8,0.244,0
17:28:37,0.01,-0.26,1.02,-1,35.8,0.244,0
17:28:37,0.01,-0.26,1.16,-1,35.8,0.244,0
17:28:37,0.07,-0.39,0.9,-1,35.8,0.246,0
17:28:37,0.13,-0.9,1.76,-1,35.8,0.244,0
17:28:38,0.04,-0.17,0.89,-1,35.8,0.244,0
17:28:38,0.13,-0.06,0.65,-1,35.8,0.244,0
17:28:38,0.11,-0.21,0.73,-1,35.8,0.246,0
17:28:38,0.12,-0.33,1.12,-1,35.8,0.246,0
17:28:38,0.09,-0.28,1.03,-1,35.8,0.244,0
17:28:38,0.03,-0.25,1.04,-1,35.8,0.244,0
17:28:38,0.07,-0.26,1.09,-1,35.8,0.246,0
17:28:38,0.1,-0.3,1.2,-1,35.8,0.244,0
17:28:38,0.01,-0.34,0.94,-1,35.8,0.246,0
17:28:38,0.37,-0.25,1.33,-1,35.8,0.246,0
17:28:38,0.1,-0.08,1.16,-1,35.8,0.246,0
17:28:38,0.05,-0.25,1,-1,35.8,0.246,0
17:28:38,0.1,-0.22,0.95,-1,35.8,0.246,0
17:28:38,0.12,-0.24,0.99,-1,35.8,0.246,0
17:28:38,0.11,-0.3,1.09,-1,35.8,0.246,0
17:28:38,0.09,-0.26,1.07,-1,35.8,0.244,0
17:28:38,0.06,-0.32,1.05,-1,35.8,0.246,0
17:28:38,0.05,-0.28,1.02,-1,35.8,0.246,0
17:28:38,0.02,-0.31,1,-1,35.6,0.244,0
17:28:38,0,-0.3,1.01,-1,35.8,0.246,0
17:28:38,0,-0.32,1.04,-1,35.8,0.246,0
17:28:38,0,-0.34,1.05,-1,35.8,0.246,0
17:28:38,0,-0.33,1.01,-1,35.8,0.246,0
17:28:38,-0.01,-0.35,1.01,-1,35.8,0.244,0
17:28:38,-0.01,-0.33,0.99,-1,35.8,0.246,0
17:28:38,0,-0.32,0.98,-1,35.8,0.246,0
17:28:38,-0.01,-0.32,0.95,-1,35.8,0.246,0
17:28:38,-0.02,-0.33,0.98,-1,35.8,0.246,0
17:28:38,-0.01,-0.33,1,-1,35.8,0.246,0
