Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event,z^2,y^2,x^2,sum,Movement
59:04.8,-0.4,0.76,-0.38,-1,34.5,0.478,0,0.0000,0.0004,0.0001,0.0005,0.0224
59:04.8,-0.4,0.73,-0.39,-1,34.3,0.481,0,0.0000,0.0009,0.0001,0.0010,0.0316
59:04.8,-0.42,0.73,-0.39,-1,34.3,0.481,0,0.0004,0.0000,0.0000,0.0004,0.0200
59:04.9,-0.4,0.74,-0.35,-1,34.5,0.481,0,0.0004,0.0001,0.0016,0.0021,0.0458
59:04.9,-0.4,0.72,-0.38,-1,34.5,0.481,0,0.0000,0.0004,0.0009,0.0013,0.0361
59:04.9,-0.41,0.74,-0.4,-1,34.3,0.483,0,0.0001,0.0004,0.0004,0.0009,0.0300
59:05.0,-0.4,0.75,-0.35,-1,34.5,0.486,0,0.0001,0.0001,0.0025,0.0027,0.0520
59:05.0,-0.41,0.69,-0.32,-1,34.5,0.486,0,0.0001,0.0036,0.0009,0.0046,0.0678
59:05.0,-0.39,0.68,-0.28,-1,34.5,0.489,0,0.0004,0.0001,0.0016,0.0021,0.0458
59:05.1,-0.38,0.76,-0.2,-1,34.5,0.492,0,0.0001,0.0064,0.0064,0.0129,0.1136
59:05.1,-0.37,0.75,-0.07,-1,34.5,0.492,0,0.0001,0.0001,0.0169,0.0171,0.1308
59:05.1,-0.38,0.62,0.19,-1,34.5,0.492,0,0.0001,0.0169,0.0676,0.0846,0.2909
59:05.2,-0.32,0.75,0.42,-1,34.3,0.492,0,0.0036,0.0169,0.0529,0.0734,0.2709
59:05.2,-0.32,1.05,0.28,-1,34.5,0.492,0,0.0000,0.0900,0.0196,0.1096,0.3311
59:05.2,-0.29,0.79,0.41,-1,34.5,0.495,0,0.0009,0.0676,0.0169,0.0854,0.2922
59:05.3,-0.23,0.49,0.75,-1,34.5,0.498,0,0.0036,0.0900,0.1156,0.2092,0.4574
59:05.3,-0.26,0.78,0.68,-1,34.5,0.501,0,0.0009,0.0841,0.0049,0.0899,0.2998
59:05.3,-0.31,0.48,0.64,-1,34.5,0.504,0,0.0025,0.0900,0.0016,0.0941,0.3068
59:05.3,-0.2,0.47,0.69,-1,34.5,0.507,0,0.0121,0.0001,0.0025,0.0147,0.1212
59:05.4,-0.16,0.32,3.14,-1,34.5,0.51,0,0.0016,0.0225,6.0025,6.0266,2.4549
59:05.4,-0.06,-0.02,0.44,-1,34.3,0.51,0,0.0100,0.1156,7.2900,7.4156,2.7232
59:05.4,-0.09,0.52,1.01,-1,34.5,0.51,0,0.0009,0.2916,0.3249,0.6174,0.7857
59:05.5,-0.28,0.32,1.09,-1,34.3,0.51,0,0.0361,0.0400,0.0064,0.0825,0.2872
59:05.5,-0.19,0.5,1.13,-1,34.5,0.516,0,0.0081,0.0324,0.0016,0.0421,0.2052
59:05.5,-0.09,0.13,0.64,-1,34.5,0.516,0,0.0100,0.1369,0.2401,0.3870,0.6221
59:05.6,0.01,0.37,0.79,-1,34.3,0.52,0,0.0100,0.0576,0.0225,0.0901,0.3002
59:05.6,0.06,1.27,0.94,-1,34.5,0.522,0,0.0025,0.8100,0.0225,0.8350,0.9138
59:05.6,-0.11,0.18,0.74,-1,34.3,0.531,0,0.0289,1.1881,0.0400,1.2570,1.1212
59:05.7,-0.13,0.62,1.69,-1,34.5,0.531,0,0.0004,0.1936,0.9025,1.0965,1.0471
59:05.7,-0.08,0.24,0.69,-1,34.5,0.534,0,0.0025,0.1444,1.0000,1.1469,1.0709
59:05.7,0.04,0.23,0.7,-1,34.5,0.534,0,0.0144,0.0001,0.0001,0.0146,0.1208
59:05.7,-0.04,0.9,0.71,-1,34.5,0.534,0,0.0064,0.4489,0.0001,0.4554,0.6748
59:05.8,0.13,0.09,0.36,-1,34.5,0.538,0,0.0289,0.6561,0.1225,0.8075,0.8986
59:05.8,-0.17,0.83,2.28,-1,34.3,0.541,0,0.0900,0.5476,3.6864,4.3240,2.0794
59:05.8,-0.29,0.07,0.93,-1,34.5,0.537,0,0.0144,0.5776,1.8225,2.4145,1.5539
59:05.9,-0.03,-0.14,0.28,-1,34.3,0.534,0,0.0676,0.0441,0.4225,0.5342,0.7309
59:05.9,0.06,0.27,0.73,-1,34.3,0.514,0,0.0081,0.1681,0.2025,0.3787,0.6154
59:05.9,0.06,0,0.6,-1,34.5,0.51,0,0.0000,0.0729,0.0169,0.0898,0.2997
59:06.0,0.15,0.28,0.48,-1,34.5,0.516,0,0.0081,0.0784,0.0144,0.1009,0.3176
59:06.0,-0.09,0.95,1.63,-1,34.3,0.522,0,0.0576,0.4489,1.3225,1.8290,1.3524
59:06.0,-0.41,0.6,1.15,-1,34.5,0.528,0,0.1024,0.1225,0.2304,0.4553,0.6748
59:06.1,-0.16,0.21,0.72,-1,34.5,0.534,0,0.0625,0.1521,0.1849,0.3995,0.6321
59:06.1,-0.02,0.42,0.81,-1,34.5,0.534,0,0.0196,0.0441,0.0081,0.0718,0.2680
59:06.1,-0.05,0.64,0.56,-1,34.5,0.537,0,0.0009,0.0484,0.0625,0.1118,0.3344
59:06.2,-0.13,0.75,0.52,-1,34.3,0.537,0,0.0064,0.0121,0.0016,0.0201,0.1418
59:06.2,-0.18,0.73,0.53,-1,34.3,0.541,0,0.0025,0.0004,0.0001,0.0030,0.0548
59:06.2,-0.28,0.68,0.39,-1,34.5,0.543,0,0.0100,0.0025,0.0196,0.0321,0.1792
59:06.3,-0.33,0.85,0.26,-1,34.3,0.543,0,0.0025,0.0289,0.0169,0.0483,0.2198
59:06.3,-0.3,0.85,0.26,-1,34.3,0.547,0,0.0009,0.0000,0.0000,0.0009,0.0300
59:06.3,-0.28,0.77,0.29,-1,34.5,0.549,0,0.0004,0.0064,0.0009,0.0077,0.0877
59:06.3,-0.28,0.82,0.19,-1,34.3,0.549,0,0.0000,0.0025,0.0100,0.0125,0.1118
59:06.4,-0.24,0.87,0.28,-1,34.3,0.549,0,0.0016,0.0025,0.0081,0.0122,0.1105
