Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event,z^2,y^2,x^2,sum,Movement
59:24.7,-0.36,0.75,0.49,-1,34.1,1.069,0,0.0001,0.0004,0.0000,0.0005,0.0224
59:24.7,-0.34,0.72,0.5,-1,34.1,1.076,0,0.0004,0.0009,0.0001,0.0014,0.0374
59:24.8,-0.35,0.77,0.48,-1,34.1,1.085,0,0.0001,0.0025,0.0004,0.0030,0.0548
59:24.8,-0.35,0.76,0.49,-1,34.1,1.085,0,0.0000,0.0001,0.0001,0.0002,0.0141
59:24.8,-0.35,0.71,0.5,-1,34.1,1.094,0,0.0000,0.0025,0.0001,0.0026,0.0510
59:24.8,-0.34,0.74,0.48,-1,34.1,1.103,0,0.0001,0.0009,0.0004,0.0014,0.0374
59:24.9,-0.35,0.77,0.48,-1,34.1,1.115,0,0.0001,0.0009,0.0000,0.0010,0.0316
59:24.9,-0.34,0.76,0.48,-1,34.1,1.121,0,0.0001,0.0001,0.0000,0.0002,0.0141
59:24.9,-0.35,0.71,0.49,-1,34.1,1.124,0,0.0001,0.0025,0.0001,0.0027,0.0520
59:25.0,-0.37,0.77,0.45,-1,34.1,1.13,0,0.0004,0.0036,0.0016,0.0056,0.0748
59:25.0,-0.37,0.8,0.44,-1,34.1,1.133,0,0.0000,0.0009,0.0001,0.0010,0.0316
59:25.0,-0.38,0.78,0.46,-1,34.1,1.14,0,0.0001,0.0004,0.0004,0.0009,0.0300
59:25.1,-0.47,0.97,0.42,-1,34.1,1.14,0,0.0081,0.0361,0.0016,0.0458,0.2140
59:25.1,-0.46,0.99,0.55,-1,34.1,1.14,0,0.0001,0.0004,0.0169,0.0174,0.1319
59:25.1,-0.45,1.01,0.49,-1,34.1,1.149,0,0.0001,0.0004,0.0036,0.0041,0.0640
59:25.2,-0.49,1.06,0.36,-1,34.1,1.159,0,0.0016,0.0025,0.0169,0.0210,0.1449
59:25.2,-0.51,0.91,0.3,-1,34.1,1.168,0,0.0004,0.0225,0.0036,0.0265,0.1628
59:25.2,-0.47,0.76,0.3,-1,34.1,1.168,0,0.0016,0.0225,0.0000,0.0241,0.1552
59:25.3,-0.41,0.61,0.23,-1,34.1,1.178,0,0.0036,0.0225,0.0049,0.0310,0.1761
59:25.3,-0.35,0.4,0.23,-1,34.1,1.187,0,0.0036,0.0441,0.0000,0.0477,0.2184
59:25.3,-0.28,0.08,0.3,-1,34.1,1.19,0,0.0049,0.1024,0.0049,0.1122,0.3350
59:25.3,-0.24,-0.26,0.31,-1,34.3,1.197,0,0.0016,0.1156,0.0001,0.1173,0.3425
59:25.4,-0.12,-0.28,0.08,-1,34.1,1.197,0,0.0144,0.0004,0.0529,0.0677,0.2602
59:25.4,0.15,-0.34,0.24,-1,34.1,1.175,0,0.0729,0.0036,0.0256,0.1021,0.3195
59:25.4,0.81,0.43,-0.33,-1,34.1,1.115,0,0.4356,0.5929,0.3249,1.3534,1.1634
59:25.5,-1.25,4.12,-3.52,-1,34.1,1.004,0,4.2436,13.6161,10.1761,28.0358,5.2949
59:25.5,0.47,-0.72,0.65,-1,34.1,0.927,0,2.9584,23.4256,17.3889,43.7729,6.6161
59:25.5,0.05,1.61,-0.41,-1,34.1,0.853,0,0.1764,5.4289,1.1236,6.7289,2.5940
59:25.6,-0.04,0.81,0.09,-1,34.1,0.81,0,0.0081,0.6400,0.2500,0.8981,0.9477
59:25.6,-0.09,0.82,0.02,-1,34.1,0.805,0,0.0025,0.0001,0.0049,0.0075,0.0866
59:25.6,-0.11,0.62,0.05,-1,34.1,0.805,0,0.0004,0.0400,0.0009,0.0413,0.2032
59:25.7,-0.15,0.45,0.12,-1,34.1,0.823,0,0.0016,0.0289,0.0049,0.0354,0.1881
59:25.7,-0.2,0.26,0.1,-1,34.1,0.845,0,0.0025,0.0361,0.0004,0.0390,0.1975
59:25.7,-0.21,0.02,0.21,-1,34.1,0.869,0,0.0001,0.0576,0.0121,0.0698,0.2642
59:25.8,-0.2,-0.06,0.17,-1,34.1,0.884,0,0.0001,0.0064,0.0016,0.0081,0.0900
59:25.8,-0.05,-0.7,0.33,-1,34.1,0.89,0,0.0225,0.4096,0.0256,0.4577,0.6765
59:25.8,0.25,-0.46,0.05,-1,34.1,0.898,0,0.0900,0.0576,0.0784,0.2260,0.4754
59:25.8,-0.77,3.88,0.64,-1,34.1,0.887,0,1.0404,18.8356,0.3481,20.2241,4.4971
59:25.9,-1.16,1.07,0.69,-1,34.1,0.96,0,0.1521,7.8961,0.0025,8.0507,2.8374
59:25.9,-0.27,1.76,-0.52,-1,34.1,0.916,0,0.7921,0.4761,1.4641,2.7323,1.6530
59:25.9,-0.29,1.55,-0.32,-1,34.1,0.922,0,0.0004,0.0441,0.0400,0.0845,0.2907
59:26.0,-0.22,0.68,0.35,-1,34.1,0.925,0,0.0049,0.7569,0.4489,1.2107,1.1003
59:26.0,-0.24,0.55,0.22,-1,34.1,0.941,0,0.0004,0.0169,0.0169,0.0342,0.1849
59:26.0,-0.21,0.3,0.29,-1,34.1,0.957,0,0.0009,0.0625,0.0049,0.0683,0.2613
59:26.1,-0.22,0.23,0.22,-1,34.1,0.974,0,0.0001,0.0049,0.0049,0.0099,0.0995
59:26.1,-0.26,0,0.22,-1,34.1,0.988,0,0.0016,0.0529,0.0000,0.0545,0.2335
59:26.1,-0.27,-0.16,0.26,-1,34.1,1,0,0.0001,0.0256,0.0016,0.0273,0.1652
59:26.2,-0.2,-0.31,0.31,-1,34.1,1.008,0,0.0049,0.0225,0.0025,0.0299,0.1729
59:26.2,-0.03,-0.45,0.27,-1,34.1,1.014,0,0.0289,0.0196,0.0016,0.0501,0.2238
59:26.2,0.45,0.04,-0.21,-1,34.1,1.014,0,0.2304,0.2401,0.2304,0.7009,0.8372
59:26.3,0.59,4.79,-1.65,-1,34.1,1,0,0.0196,22.5625,2.0736,24.6557,4.9655
59:26.3,-1.18,0.97,1.28,-1,34.1,1.069,0,3.1329,14.5924,8.5849,26.3102,5.1293
59:26.3,-0.47,1.58,-0.27,-1,34.1,1.076,0,0.5041,0.3721,2.4025,3.2787,1.8107
59:26.3,-0.28,0.99,0.23,-1,34.1,1.085,0,0.0361,0.3481,0.2500,0.6342,0.7964
59:26.4,-0.19,0.71,0.39,-1,34.1,1.097,0,0.0081,0.0784,0.0256,0.1121,0.3348
59:26.4,-0.2,0.71,0.19,-1,34.1,1.097,0,0.0001,0.0000,0.0400,0.0401,0.2002
59:26.4,-0.21,0.42,0.29,-1,34.1,1.097,0,0.0001,0.0841,0.0100,0.0942,0.3069
59:26.5,-0.25,0.3,0.26,-1,34.1,1.103,0,0.0016,0.0144,0.0009,0.0169,0.1300
