Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event,z^2,y^2,x^2,sum,Movement
59:31.4,-0.18,0.52,0.85,-1,34.1,1.236,0,0.0000,0.0004,0.0001,0.0005,0.0224
59:31.4,-0.18,0.48,0.82,-1,34.1,1.23,0,0.0000,0.0016,0.0009,0.0025,0.0500
59:31.5,-0.19,0.5,0.82,-1,34.1,1.236,0,0.0001,0.0004,0.0000,0.0005,0.0224
59:31.5,-0.18,0.53,0.81,-1,34.1,1.236,0,0.0001,0.0009,0.0001,0.0011,0.0332
59:31.5,-0.19,0.47,0.82,-1,34.1,1.23,0,0.0001,0.0036,0.0001,0.0038,0.0616
59:31.6,-0.2,0.52,0.83,-1,34.1,1.236,0,0.0001,0.0025,0.0001,0.0027,0.0520
59:31.6,-0.17,0.54,0.83,-1,34.1,1.236,0,0.0009,0.0004,0.0000,0.0013,0.0361
59:31.6,-0.2,0.47,0.82,-1,34.1,1.236,0,0.0009,0.0049,0.0001,0.0059,0.0768
59:31.7,-0.21,0.49,0.82,-1,34.1,1.23,0,0.0001,0.0004,0.0000,0.0005,0.0224
59:31.7,-0.19,0.52,0.84,-1,34.1,1.236,0,0.0004,0.0009,0.0004,0.0017,0.0412
59:31.7,-0.2,0.5,0.81,-1,34.1,1.236,0,0.0001,0.0004,0.0009,0.0014,0.0374
59:31.8,-0.21,0.46,0.82,-1,34.1,1.236,0,0.0001,0.0016,0.0001,0.0018,0.0424
59:31.8,-0.21,0.5,0.85,-1,34.1,1.23,0,0.0000,0.0016,0.0009,0.0025,0.0500
59:31.8,-0.22,0.5,0.81,-1,34.1,1.23,0,0.0001,0.0000,0.0016,0.0017,0.0412
59:31.8,-0.21,0.5,0.84,-1,34.1,1.23,0,0.0001,0.0000,0.0009,0.0010,0.0316
59:31.9,-0.2,0.46,0.82,-1,34.1,1.236,0,0.0001,0.0016,0.0004,0.0021,0.0458
59:31.9,-0.21,0.44,0.77,-1,34.1,1.23,0,0.0001,0.0004,0.0025,0.0030,0.0548
59:31.9,-0.18,0.4,0.82,-1,34.1,1.236,0,0.0009,0.0016,0.0025,0.0050,0.0707
59:32.0,-0.17,0.34,0.82,-1,34.1,1.23,0,0.0001,0.0036,0.0000,0.0037,0.0608
59:32.0,-0.19,0.41,0.68,-1,34.1,1.23,0,0.0004,0.0049,0.0196,0.0249,0.1578
59:32.0,-0.17,0.35,0.88,-1,34.1,1.236,0,0.0004,0.0036,0.0400,0.0440,0.2098
59:32.1,-0.33,0.25,2.25,-1,34.1,1.236,0,0.0256,0.0100,1.8769,1.9125,1.3829
59:32.1,0.05,0.55,0.33,-1,34.1,1.23,0,0.1444,0.0900,3.6864,3.9208,1.9801
59:32.1,-0.11,0.67,1.1,-1,34.1,1.23,0,0.0256,0.0144,0.5929,0.6329,0.7956
59:32.2,-0.2,0.24,1,-1,34.1,1.23,0,0.0081,0.1849,0.0100,0.2030,0.4506
59:32.2,-0.14,0.5,0.87,-1,34.1,1.23,0,0.0036,0.0676,0.0169,0.0881,0.2968
59:32.2,-0.16,0.4,0.89,-1,33.9,1.23,0,0.0004,0.0100,0.0004,0.0108,0.1039
59:32.2,-0.13,0.18,0.83,-1,34.1,1.236,0,0.0009,0.0484,0.0036,0.0529,0.2300
59:32.3,-0.16,0.24,0.91,-1,34.1,1.236,0,0.0009,0.0036,0.0064,0.0109,0.1044
59:32.3,-0.16,0.25,0.85,-1,34.1,1.236,0,0.0000,0.0001,0.0036,0.0037,0.0608
59:32.3,-0.1,0.34,0.91,-1,34.1,1.236,0,0.0036,0.0081,0.0036,0.0153,0.1237
59:32.4,-0.1,0.33,0.9,-1,34.1,1.236,0,0.0000,0.0001,0.0001,0.0002,0.0141
59:32.4,-0.13,0.19,0.76,-1,34.1,1.246,0,0.0009,0.0196,0.0196,0.0401,0.2002
59:32.4,0.06,0.51,0.12,-1,34.1,1.236,0,0.0361,0.1024,0.4096,0.5481,0.7403
59:32.5,0.06,1.3,0.08,-1,34.1,1.236,0,0.0000,0.6241,0.0016,0.6257,0.7910
59:32.5,-0.05,0.5,1.07,-1,34.1,1.236,0,0.0121,0.6400,0.9801,1.6322,1.2776
59:32.5,-0.13,0.16,1.08,-1,34.1,1.236,0,0.0064,0.1156,0.0001,0.1221,0.3494
59:32.6,-0.17,0.4,0.85,-1,34.1,1.236,0,0.0016,0.0576,0.0529,0.1121,0.3348
59:32.6,-0.02,0.25,0.98,-1,34.1,1.243,0,0.0225,0.0225,0.0169,0.0619,0.2488
59:32.6,-0.01,0.04,0.66,-1,34.1,1.246,0,0.0001,0.0441,0.1024,0.1466,0.3829
59:32.7,-0.23,0.07,2.13,-1,34.1,1.246,0,0.0484,0.0009,2.1609,2.2102,1.4867
59:32.7,0.07,0.14,0.44,-1,34.1,1.236,0,0.0900,0.0049,2.8561,2.9510,1.7178
59:32.7,0.07,0.54,0.85,-1,34.1,1.236,0,0.0000,0.1600,0.1681,0.3281,0.5728
59:32.8,-0.17,0.51,1.28,-1,34.1,1.243,0,0.0576,0.0009,0.1849,0.2434,0.4934
59:32.8,-0.25,0.51,0.95,-1,34.1,1.24,0,0.0064,0.0000,0.1089,0.1153,0.3396
59:32.8,-0.18,0.29,0.9,-1,34.1,1.246,0,0.0049,0.0484,0.0025,0.0558,0.2362
59:32.8,-0.05,0.22,0.86,-1,34.1,1.246,0,0.0169,0.0049,0.0016,0.0234,0.1530
59:32.9,-0.1,0.21,0.72,-1,34.1,1.246,0,0.0025,0.0001,0.0196,0.0222,0.1490
59:32.9,-0.13,0.29,0.98,-1,34.1,1.246,0,0.0009,0.0064,0.0676,0.0749,0.2737
59:32.9,-0.15,0.27,0.91,-1,34.1,1.246,0,0.0004,0.0004,0.0049,0.0057,0.0755
59:33.0,-0.09,0.42,0.92,-1,33.9,1.246,0,0.0036,0.0225,0.0001,0.0262,0.1619
59:33.0,-0.14,0.27,0.84,-1,34.1,1.246,0,0.0025,0.0225,0.0064,0.0314,0.1772
59:33.0,-0.15,0.2,0.6,-1,34.1,1.246,0,0.0001,0.0049,0.0576,0.0626,0.2502
59:33.1,0.37,-0.05,3.22,-1,34.1,1.246,0,0.2704,0.0625,6.8644,7.1973,2.6828
59:33.1,-0.03,-0.75,0.43,-1,34.1,1.236,0,0.1600,0.4900,7.7841,8.4341,2.9042
59:33.1,0.05,0.37,0.94,-1,33.9,1.236,0,0.0064,1.2544,0.2601,1.5209,1.2332
59:33.2,-0.03,0.71,1.24,-1,33.9,1.236,0,0.0064,0.1156,0.0900,0.2120,0.4604
59:33.2,-0.13,0.27,0.86,-1,34.1,1.236,0,0.0100,0.1936,0.1444,0.3480,0.5899
59:33.2,-0.16,0.35,0.98,-1,34.1,1.236,0,0.0009,0.0064,0.0144,0.0217,0.1473
59:33.3,-0.12,0.36,0.94,-1,34.1,1.236,0,0.0016,0.0001,0.0016,0.0033,0.0574
59:33.3,-0.08,0.34,0.89,-1,34.1,1.236,0,0.0016,0.0004,0.0025,0.0045,0.0671
59:33.3,-0.08,0.38,0.92,-1,34.1,1.236,0,0.0000,0.0016,0.0009,0.0025,0.0500
59:33.3,-0.11,0.34,0.89,-1,33.9,1.236,0,0.0009,0.0016,0.0009,0.0034,0.0583
59:33.4,-0.13,0.41,0.93,-1,33.9,1.246,0,0.0004,0.0049,0.0016,0.0069,0.0831
