Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event,z^2,y^2,x^2,sum,Movement
58:31.1,-0.43,0.45,-0.68,-1,35.2,0.259,0,0.0001,0.0004,0.0001,0.0006,0.0245
58:31.1,-0.43,0.47,-0.67,-1,35.2,0.257,0,0.0000,0.0004,0.0001,0.0005,0.0224
58:31.1,-0.43,0.45,-0.66,-1,35.2,0.259,0,0.0000,0.0004,0.0001,0.0005,0.0224
58:31.2,-0.43,0.43,-0.65,-1,35.2,0.259,0,0.0000,0.0004,0.0001,0.0005,0.0224
58:31.2,-0.42,0.44,-0.64,-1,35.2,0.259,0,0.0001,0.0001,0.0001,0.0003,0.0173
58:31.2,-0.4,0.5,-0.53,-1,35.2,0.257,0,0.0004,0.0036,0.0121,0.0161,0.1269
58:31.3,-0.39,0.5,-0.37,-1,35.2,0.259,0,0.0001,0.0000,0.0256,0.0257,0.1603
58:31.3,-0.41,0.51,-0.04,-1,35.2,0.259,0,0.0004,0.0001,0.1089,0.1094,0.3308
58:31.3,-0.4,0.99,0.16,-1,35.2,0.259,0,0.0001,0.2304,0.0400,0.2705,0.5201
58:31.3,-0.41,1.19,0.37,-1,35.2,0.259,0,0.0001,0.0400,0.0441,0.0842,0.2902
58:31.4,-0.37,0.98,0.59,-1,35.2,0.259,0,0.0016,0.0441,0.0484,0.0941,0.3068
58:31.4,-0.38,0.74,0.75,-1,35.2,0.259,0,0.0001,0.0576,0.0256,0.0833,0.2886
58:31.4,-0.37,0.79,0.68,-1,35.2,0.262,0,0.0001,0.0025,0.0049,0.0075,0.0866
58:31.5,-0.32,0.33,0.8,-1,35.2,0.262,0,0.0025,0.2116,0.0144,0.2285,0.4780
58:31.5,-0.3,0.09,0.68,-1,35.2,0.262,0,0.0004,0.0576,0.0144,0.0724,0.2691
58:31.5,-0.32,0.34,0.76,-1,35.2,0.262,0,0.0004,0.0625,0.0064,0.0693,0.2632
58:31.6,-0.29,0.29,0.79,-1,35.2,0.262,0,0.0009,0.0025,0.0009,0.0043,0.0656
58:31.6,-0.31,0.22,0.81,-1,35.2,0.262,0,0.0004,0.0049,0.0004,0.0057,0.0755
58:31.6,-0.26,0.26,0.84,-1,35.2,0.262,0,0.0025,0.0016,0.0009,0.0050,0.0707
58:31.7,-0.23,0.24,0.92,-1,35.2,0.262,0,0.0009,0.0004,0.0064,0.0077,0.0877
58:31.7,-0.18,0.36,1.01,-1,35.2,0.262,0,0.0025,0.0144,0.0081,0.0250,0.1581
58:31.7,-0.14,0.38,1.01,-1,35.2,0.264,0,0.0016,0.0004,0.0000,0.0020,0.0447
58:31.8,-0.09,0.28,0.76,-1,35.2,0.262,0,0.0025,0.0100,0.0625,0.0750,0.2739
58:31.8,-0.08,0.57,2.67,-1,35.4,0.262,0,0.0001,0.0841,3.6481,3.7323,1.9319
