Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event,z^2,y^2,x^2,sum,Movement
58:40.7,-0.44,0.76,-0.29,-1,34.9,0.281,0,0,0.0004,0.0001,0.0005,0.0224
58:40.7,-0.44,0.78,-0.3,-1,34.9,0.281,0,0,0.0004,0.0001,0.0005,0.0224
58:40.7,-0.45,0.75,-0.27,-1,34.9,0.284,0,0.0001,0.0009,0.0009,0.0019,0.0436
58:40.8,-0.44,0.75,-0.25,-1,34.9,0.284,0,0.0001,0,0.0004,0.0005,0.0224
58:40.8,-0.44,0.78,-0.25,-1,34.9,0.281,0,0,0.0009,0,0.0009,0.03
58:40.8,-0.44,0.79,-0.23,-1,34.9,0.284,0,0,0.0001,0.0004,0.0005,0.0224
58:40.8,-0.44,0.79,-0.21,-1,34.9,0.284,0,0,0,0.0004,0.0004,0.02
58:40.9,-0.45,0.76,-0.17,-1,34.9,0.281,0,0.0001,0.0009,0.0016,0.0026,0.051
58:40.9,-0.41,0.78,-0.14,-1,34.9,0.281,0,0.0016,0.0004,0.0009,0.0029,0.0539
58:40.9,-0.39,0.71,-0.05,-1,34.9,0.284,0,0.0004,0.0049,0.0081,0.0134,0.1158
58:41.0,-0.43,0.66,0.11,-1,34.9,0.286,0,0.0016,0.0025,0.0256,0.0297,0.1723
58:41.0,-0.45,0.95,0.06,-1,34.9,0.286,0,0.0004,0.0841,0.0025,0.087,0.295
58:41.0,-0.4,0.96,0.11,-1,34.9,0.284,0,0.0025,0.0001,0.0025,0.0051,0.0714
58:41.1,-0.39,0.78,0.44,-1,34.9,0.286,0,0.0001,0.0324,0.1089,0.1414,0.376
58:41.1,-0.27,0.72,0.62,-1,34.9,0.284,0,0.0144,0.0036,0.0324,0.0504,0.2245
58:41.1,-0.33,0.71,0.67,-1,34.9,0.286,0,0.0036,0.0001,0.0025,0.0062,0.0787
58:41.2,-0.32,0.66,0.79,-1,34.9,0.286,0,0.0001,0.0025,0.0144,0.017,0.1304
58:41.2,-0.28,0.6,0.71,-1,34.9,0.286,0,0.0016,0.0036,0.0064,0.0116,0.1077
58:41.2,-0.24,0.35,0.82,-1,34.9,0.286,0,0.0016,0.0625,0.0121,0.0762,0.276
58:41.3,-0.2,0.37,0.83,-1,35.2,0.289,0,0.0016,0.0004,0.0001,0.0021,0.0458
58:41.3,-0.18,0.42,0.79,-1,34.9,0.289,0,0.0004,0.0025,0.0016,0.0045,0.0671
58:41.3,-0.16,0.42,0.84,-1,34.9,0.291,0,0.0004,0,0.0025,0.0029,0.0539
58:41.3,-0.17,0.45,0.88,-1,34.9,0.291,0,0.0001,0.0009,0.0016,0.0026,0.051
58:41.4,-0.19,0.41,0.94,-1,34.9,0.291,0,0.0004,0.0016,0.0036,0.0056,0.0748
58:41.4,-0.2,0.43,1,-1,34.9,0.291,0,0.0001,0.0004,0.0036,0.0041,0.064
58:41.4,-0.24,0.3,0.97,-1,34.9,0.291,0,0.0016,0.0169,0.0009,0.0194,0.1393
58:41.5,-0.27,0.27,0.95,-1,34.9,0.291,0,0.0009,0.0009,0.0004,0.0022,0.0469
58:41.5,-0.26,0.22,0.92,-1,34.9,0.291,0,0.0001,0.0025,0.0009,0.0035,0.0592
58:41.5,-0.26,0.23,0.93,-1,34.9,0.291,0,0,0.0001,0.0001,0.0002,0.0141
58:41.6,-0.25,0.27,0.93,-1,34.9,0.291,0,0.0001,0.0016,0,0.0017,0.0412
58:41.6,-0.24,0.34,0.98,-1,34.9,0.291,0,0.0001,0.0049,0.0025,0.0075,0.0866
58:41.6,-0.25,0.33,0.94,-1,34.9,0.291,0,0.0001,0.0001,0.0016,0.0018,0.0424
58:41.7,-0.26,0.33,0.91,-1,34.9,0.291,0,0.0001,0,0.0009,0.001,0.0316
58:41.7,-0.26,0.33,0.97,-1,34.9,0.291,0,0,0,0.0036,0.0036,0.06
58:41.7,-0.25,0.35,0.92,-1,34.9,0.291,0,0.0001,0.0004,0.0025,0.003,0.0548
58:41.8,-0.25,0.35,0.9,-1,34.9,0.291,0,0,0,0.0004,0.0004,0.02
58:41.8,-0.23,0.3,0.93,-1,34.9,0.291,0,0.0004,0.0025,0.0009,0.0038,0.0616
58:41.8,-0.25,0.31,0.94,-1,34.9,0.291,0,0.0004,0.0001,0.0001,0.0006,0.0245
58:41.8,-0.25,0.29,0.92,-1,34.9,0.296,0,0,0.0004,0.0004,0.0008,0.0283
58:41.9,-0.23,0.27,0.91,-1,34.9,0.296,0,0.0004,0.0004,0.0001,0.0009,0.03
58:41.9,-0.22,0.29,0.9,-1,34.9,0.296,0,0.0001,0.0004,0.0001,0.0006,0.0245
58:41.9,-0.23,0.31,0.92,-1,34.9,0.296,0,0.0001,0.0004,0.0004,0.0009,0.03
58:42.0,-0.23,0.27,0.9,-1,34.9,0.296,0,0,0.0016,0.0004,0.002,0.0447
58:42.0,-0.21,0.32,0.95,-1,34.9,0.296,0,0.0004,0.0025,0.0025,0.0054,0.0735
58:42.0,-0.21,0.31,0.93,-1,34.9,0.296,0,0,0.0001,0.0004,0.0005,0.0224
58:42.1,-0.19,0.16,0.69,-1,34.9,0.296,0,0.0004,0.0225,0.0576,0.0805,0.2837
58:42.1,-0.1,0.33,0.93,-1,34.9,0.296,0,0.0081,0.0289,0.0576,0.0946,0.3076
58:42.1,0.17,0.85,1.68,-1,34.9,0.296,0,0.0729,0.2704,0.5625,0.9058,0.9517
58:42.2,-0.17,0,0.62,-1,34.9,0.296,0,0.1156,0.7225,1.1236,1.9617,1.4006
58:42.2,-0.06,0.37,1.03,-1,34.9,0.296,0,0.0121,0.1369,0.1681,0.3171,0.5631
58:42.2,-0.05,0.5,0.95,-1,34.9,0.296,0,0.0001,0.0169,0.0064,0.0234,0.153
58:42.3,-0.09,0.38,0.99,-1,34.9,0.296,0,0.0016,0.0144,0.0016,0.0176,0.1327
58:42.3,-0.12,0.24,0.96,-1,34.9,0.296,0,0.0009,0.0196,0.0009,0.0214,0.1463
58:42.3,-0.13,0.31,0.99,-1,34.9,0.296,0,0.0001,0.0049,0.0009,0.0059,0.0768
58:42.3,-0.13,0.3,0.97,-1,34.9,0.296,0,0,0.0001,0.0004,0.0005,0.0224
58:42.4,-0.13,0.35,0.95,-1,34.9,0.296,0,0,0.0025,0.0004,0.0029,0.0539
58:42.4,-0.13,0.34,0.92,-1,34.9,0.296,0,0,0.0001,0.0009,0.001,0.0316
58:42.4,-0.14,0.34,0.91,-1,34.9,0.296,0,0.0001,0,0.0001,0.0002,0.0141
58:42.5,-0.14,0.33,0.91,-1,34.9,0.296,0,0,0.0001,0,0.0001,0.01
58:42.5,-0.16,0.34,0.91,-1,34.9,0.296,0,0.0004,0.0001,0,0.0005,0.0224
58:42.5,-0.16,0.32,0.96,-1,34.9,0.296,0,0,0.0004,0.0025,0.0029,0.0539
58:42.6,-0.16,0.3,0.94,-1,34.9,0.296,0,0,0.0004,0.0004,0.0008,0.0283
58:42.6,-0.15,0.33,0.92,-1,34.9,0.296,0,0.0001,0.0009,0.0004,0.0014,0.0374
58:42.6,-0.16,0.34,0.95,-1,34.9,0.296,0,0.0001,0.0001,0.0009,0.0011,0.0332
58:42.7,-0.17,0.34,0.94,-1,34.9,0.296,0,0.0001,0,0.0001,0.0002,0.0141
58:42.7,-0.16,0.37,0.92,-1,34.9,0.296,0,0.0001,0.0009,0.0004,0.0014,0.0374
58:42.7,-0.17,0.36,0.94,-1,34.9,0.296,0,0.0001,0.0001,0.0004,0.0006,0.0245
58:42.7,-0.18,0.29,0.92,-1,34.9,0.296,0,0.0001,0.0049,0.0004,0.0054,0.0735
