,Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
1260,17:11:24.343,-0.28,-0.76,0.07,-1.0,35.2,0.39,0.0
1261,17:11:24.375,-0.3,-0.67,0.06,-1.0,35.2,0.39,0.0
1262,17:11:24.406,-0.27,-0.8,0.09,-1.0,35.2,0.39,0.0
1263,17:11:24.437,-0.27,-0.76,0.09,-1.0,35.2,0.39,0.0
1264,17:11:24.468,-0.22,-0.65,0.14,-1.0,35.2,0.39299999999999996,0.0
1265,17:11:24.500,-0.25,-0.51,0.07,-1.0,35.2,0.39299999999999996,0.0
1266,17:11:24.531,-0.2,-0.52,0.32,-1.0,35.2,0.39299999999999996,0.0
1267,17:11:24.562,3.36,-1.76,-2.39,-1.0,35.2,0.39299999999999996,0.0
1268,17:11:24.593,0.04,-1.98,-0.65,-1.0,35.2,0.376,0.0
1269,17:11:24.625,0.48,-1.38,0.0,-1.0,35.2,0.373,0.0
