,Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
1425,17:11:29.500,0.03,-2.32,0.42,-1.0,35.2,0.45899999999999996,0.0
1426,17:11:29.531,0.0,-1.27,0.0,-1.0,35.2,0.478,0.0
1427,17:11:29.562,-0.03,-1.0,0.16,-1.0,35.2,0.52,0.0
1428,17:11:29.593,-0.06,-0.63,0.15,-1.0,35.2,0.55,0.0
1429,17:11:29.625,-0.27,-0.24,0.02,-1.0,35.2,0.573,0.0
1430,17:11:29.656,-0.3,-0.32,0.28,-1.0,35.2,0.585,0.0
1431,17:11:29.687,-0.34,-0.22,0.21,-1.0,35.2,0.604,0.0
1432,17:11:29.718,-0.39,-0.15,0.2,-1.0,35.2,0.617,0.0
1433,17:11:29.750,-0.32,-0.17,0.25,-1.0,35.2,0.628,0.0
1434,17:11:29.781,-0.18,0.0,0.14,-1.0,35.2,0.637,0.0
1435,17:11:29.812,-0.06,0.55,-0.1,-1.0,35.2,0.644,0.0
1436,17:11:29.843,0.42,0.72,0.07,-1.0,35.2,0.654,0.0
1437,17:11:29.875,0.47,0.23,-0.27,-1.0,35.2,0.6609999999999999,0.0
1438,17:11:29.906,2.65,-2.25,-3.23,-1.0,35.2,0.638,0.0
1439,17:11:29.937,-0.47,0.5,1.0,-1.0,35.2,0.63,0.0
1440,17:11:29.968,-0.21,-0.57,0.13,-1.0,35.2,0.664,0.0
1441,17:11:30.000,0.0,-0.98,0.01,-1.0,35.2,0.65,0.0
1442,17:11:30.031,0.11,-1.13,0.13,-1.0,35.2,0.684,0.0
1443,17:11:30.062,0.0,-1.0,0.28,-1.0,35.2,0.705,0.0
1444,17:11:30.093,0.0,-1.13,0.35,-1.0,35.2,0.7190000000000001,0.0
