,Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
1560,17:11:33.718,-0.4,-0.6,0.23,-1.0,35.2,0.81,0.0
1561,17:11:33.750,-0.39,-0.63,0.22,-1.0,35.2,0.813,0.0
1562,17:11:33.781,-0.37,-0.58,0.19,-1.0,35.2,0.813,0.0
1563,17:11:33.812,-0.3,-0.62,0.26,-1.0,35.2,0.813,0.0
1564,17:11:33.843,-0.21,-0.72,0.16,-1.0,35.2,0.813,0.0
1565,17:11:33.875,-0.18,-0.72,0.38,-1.0,35.2,0.818,0.0
1566,17:11:33.906,-0.83,-0.56,1.67,-1.0,35.2,0.818,0.0
1567,17:11:33.937,-1.41,-1.43,0.62,-1.0,35.2,0.805,0.0
1568,17:11:33.968,-0.38,-1.32,-0.19,-1.0,35.2,0.81,0.0
1569,17:11:34.000,-0.06,-0.65,0.58,-1.0,35.2,0.8029999999999999,0.0
1570,17:11:34.031,-0.02,-2.009,0.33,-1.0,35.2,0.8029999999999999,0.0
1571,17:11:34.062,-0.14,-1.13,-0.17,-1.0,35.2,0.8029999999999999,0.0
1572,17:11:34.093,-0.15,-1.16,-0.1,-1.0,35.2,0.81,0.0
1573,17:11:34.125,-0.09,-1.09,-0.03,-1.0,34.9,0.813,0.0
1574,17:11:34.156,-0.07,-1.16,0.05,-1.0,35.2,0.818,0.0
1575,17:11:34.187,-0.08,-1.21,0.0,-1.0,35.2,0.818,0.0
1576,17:11:34.218,-0.04,-1.25,-0.03,-1.0,35.2,0.825,0.0
1577,17:11:34.250,-0.05,-1.12,-0.08,-1.0,35.2,0.825,0.0
1578,17:11:34.281,-0.07,-1.08,-0.16,-1.0,35.2,0.833,0.0
1579,17:11:34.312,-0.13,-1.06,-0.1,-1.0,35.2,0.833,0.0
