,Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
1080,17:11:18.718,-0.14,-1.45,-0.09,-1.0,35.4,0.311,0.0
1081,17:11:18.750,0.0,-1.69,-0.22,-1.0,35.2,0.309,0.0
1082,17:11:18.781,-0.07,-1.74,-0.01,-1.0,35.4,0.306,0.0
1083,17:11:18.812,-0.18,-1.42,-0.05,-1.0,35.4,0.306,0.0
1084,17:11:18.843,-0.23,-1.09,-0.07,-1.0,35.4,0.306,0.0
1085,17:11:18.875,-0.27,-0.92,0.0,-1.0,35.4,0.306,0.0
1086,17:11:18.906,-0.28,-0.8,0.07,-1.0,35.4,0.306,0.0
1087,17:11:18.937,-0.31,-0.57,0.05,-1.0,35.4,0.306,0.0
1088,17:11:18.968,-0.34,-0.51,0.07,-1.0,35.4,0.309,0.0
1089,17:11:19.000,-0.34,-0.49,0.11,-1.0,35.4,0.306,0.0
1090,17:11:19.031,-0.37,-0.42,0.04,-1.0,35.2,0.306,0.0
1091,17:11:19.062,-0.41,-0.36,0.06,-1.0,35.2,0.306,0.0
1092,17:11:19.093,-0.41,-0.46,0.11,-1.0,35.4,0.306,0.0
1093,17:11:19.125,-0.44,-0.55,0.09,-1.0,35.4,0.309,0.0
1094,17:11:19.156,-0.43,-0.64,0.07,-1.0,35.4,0.306,0.0
1095,17:11:19.187,-0.37,-0.46,0.08,-1.0,35.4,0.306,0.0
1096,17:11:19.218,-0.27,-0.42,0.12,-1.0,35.2,0.309,0.0
1097,17:11:19.250,-0.09,-0.64,0.03,-1.0,35.4,0.306,0.0
1098,17:11:19.281,-0.01,-0.44,0.06,-1.0,35.4,0.309,0.0
1099,17:11:19.312,-0.32,-2.51,-0.59,-1.0,35.4,0.306,0.0
1100,17:11:19.343,0.21,-1.46,0.73,-1.0,35.4,0.289,0.0
1101,17:11:19.375,-0.6,-1.18,0.1,-1.0,35.4,0.29100000000000004,0.0
1102,17:11:19.406,-0.31,-0.98,0.14,-1.0,35.2,0.289,0.0
1103,17:11:19.437,0.0,-1.09,-0.12,-1.0,35.4,0.289,0.0
1104,17:11:19.468,-0.08,-1.08,-0.25,-1.0,35.4,0.29100000000000004,0.0
1105,17:11:19.500,-0.02,-1.14,-0.08,-1.0,35.2,0.298,0.0
1106,17:11:19.531,-0.04,-1.12,-0.1,-1.0,35.4,0.303,0.0
1107,17:11:19.562,-0.05,-1.09,-0.1,-1.0,35.2,0.306,0.0
1108,17:11:19.593,-0.05,-1.11,-0.04,-1.0,35.4,0.306,0.0
1109,17:11:19.625,-0.05,-1.13,0.01,-1.0,35.4,0.306,0.0
