Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
16:50:02.500,0.16,0.24,1.11,-1,34.9,0.083,0
16:50:02.531,0.13,0.18,1.06,-1,34.9,0.085,0
16:50:02.562,0.12,0.24,1.11,-1,34.9,0.092,0
16:50:02.593,0.12,0.2,1.07,-1,34.7,0.092,0
16:50:02.625,0.08,0.18,1.05,-1,34.9,0.092,0
16:50:02.656,0.07,0.19,1.03,-1,34.9,0.096,0
16:50:02.687,0.06,0.14,0.91,-1,34.7,0.096,0
16:50:02.718,0.06,0.29,0.93,-1,34.9,0.096,0
16:50:02.750,0.02,0.11,0.86,-1,34.9,0.094,0
16:50:02.781,-0.75,-0.85,2.58,-1,34.7,0.092,0
16:50:02.812,0.08,0.18,2.18,-1,34.9,0.073,0
16:50:02.843,-0.02,0.22,1.1,-1,34.9,0.064,0
16:50:02.875,0.09,0.05,1.24,-1,34.9,0.062,0
16:50:02.906,0.16,0.32,1.27,-1,34.9,0.068,0
16:50:02.937,0.18,0.34,0.93,-1,34.7,0.077,0
16:50:02.968,0.03,0.18,0.85,-1,34.7,0.079,0
16:50:03.000,0,0.24,0.88,-1,34.9,0.083,0
16:50:03.031,0.06,0.19,0.84,-1,34.7,0.088,0
16:50:03.062,0.08,0.22,0.77,-1,34.7,0.088,0
16:50:03.093,0,0.13,0.69,-1,34.9,0.088,0
16:50:03.125,0.04,0.17,0.57,-1,34.9,0.088,0
16:50:03.156,1.51,1.54,3.28,-1,34.7,0.081,0
16:50:03.187,-0.02,-0.11,1.93,-1,34.9,0.064,0
16:50:03.218,-0.08,0.14,1.24,-1,34.9,0.055,0
16:50:03.250,0.09,0.27,1.17,-1,34.7,0.059,0
16:50:03.281,0.16,0.4,0.87,-1,34.7,0.066,0
16:50:03.312,-0.01,0.09,0.68,-1,34.9,0.07,0
16:50:03.343,0.07,0.11,0.56,-1,34.9,0.077,0
16:50:03.375,0.13,-0.02,0.78,-1,34.7,0.077,0
16:50:03.406,-0.01,0.03,0.14,-1,34.7,0.064,0
16:50:03.437,2.6,0.6,4.71,-1,34.7,0.055,0
16:50:03.468,-0.14,-0.16,1.89,-1,34.7,0.043,0
16:50:03.500,-0.05,-0.09,1.03,-1,34.9,0.036,0
16:50:03.531,0.22,0.56,1.29,-1,34.7,0.038,0
16:50:03.562,0.25,0.26,0.66,-1,34.7,0.051,0
16:50:03.593,0.05,0.02,0.34,-1,34.7,0.062,0
16:50:03.625,0,0.09,0.2,-1,34.7,0.066,0
16:50:03.656,0.1,0.02,0.78,-1,34.7,0.064,0
16:50:03.687,0.13,0.31,0.19,-1,34.9,0.055,0
16:50:03.718,0.16,3.02,3.5,-1,34.7,0.047,0
16:50:03.750,-0.22,-0.11,1.31,-1,34.7,0.036,0
16:50:03.781,-0.1,-0.13,1,-1,34.7,0.03,0
16:50:03.812,0.1,0.46,1,-1,34.9,0.026,0
16:50:03.843,0.08,0.22,1,-1,34.7,0.022,0
16:50:03.875,0.17,0.24,1.18,-1,34.7,0.024,0
16:50:03.906,0.15,0.14,1.07,-1,34.7,0.024,0
16:50:03.937,0.14,0.18,1.06,-1,34.9,0.028,0
16:50:03.968,0.13,0.21,1.1,-1,34.7,0.032,0
16:50:04.000,0.11,0.29,1.16,-1,34.9,0.036,0
