Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
16:50:20.000,0.14,0.13,1.18,-1,34.5,0.119,0
16:50:20.031,0.14,0.11,1.21,-1,34.7,0.119,0
16:50:20.062,0.15,0.14,1.21,-1,34.5,0.119,0
16:50:20.093,0.15,0.12,1.22,-1,34.5,0.119,0
16:50:20.125,0.14,0.08,1.25,-1,34.5,0.119,0
16:50:20.156,0.15,0.1,1.29,-1,34.5,0.119,0
16:50:20.187,0.18,0.1,1.24,-1,34.5,0.121,0
16:50:20.218,0.15,0,1.32,-1,34.5,0.121,0
16:50:20.250,0.21,0.06,1.34,-1,34.5,0.123,0
16:50:20.281,0.23,0.16,1.24,-1,34.5,0.123,0
16:50:20.312,0.26,0.13,1.26,-1,34.5,0.128,0
16:50:20.343,0.2,0.07,1.03,-1,34.5,0.132,0
16:50:20.375,0.19,0.14,1,-1,34.5,0.135,0
16:50:20.406,0.16,0.09,0.82,-1,34.5,0.137,0
16:50:20.437,0.11,0.07,0.51,-1,34.5,0.137,0
16:50:20.468,0,-0.09,0.34,-1,34.5,0.137,0
16:50:20.500,0.09,0.17,0.64,-1,34.5,0.139,0
16:50:20.531,0.09,-0.07,0.7,-1,34.5,0.137,0
16:50:20.562,2.08,2.33,4.77,-1,34.5,0.128,0
16:50:20.593,0.05,-0.16,1.92,-1,34.5,0.121,0
16:50:20.625,0.03,-0.26,0.49,-1,34.5,0.123,0
16:50:20.656,0.1,0.04,0.93,-1,34.5,0.128,0
16:50:20.687,0.07,0.25,0.19,-1,34.5,0.128,0
16:50:20.718,0.03,-0.01,0.5,-1,34.7,0.128,0
16:50:20.750,0.14,-0.09,0.55,-1,34.5,0.123,0
16:50:20.781,0.38,0.22,0.03,-1,34.5,0.123,0
16:50:20.812,1.64,0.46,3.86,-1,34.5,0.126,0
16:50:20.843,0.28,0.47,0.5,-1,34.5,0.126,0
16:50:20.875,0.17,0.17,0.57,-1,34.5,0.126,0
16:50:20.906,-0.06,-0.3,0.59,-1,34.5,0.128,0
16:50:20.937,0.03,0.09,0.3,-1,34.5,0.126,0
16:50:20.968,0.23,-0.07,1.1,-1,34.5,0.126,0
16:50:21.000,-0.87,-0.93,4.07,-1,34.5,0.123,0
16:50:21.031,0.2,0.15,2.83,-1,34.5,0.121,0
16:50:21.062,0.14,0.27,0.8,-1,34.5,0.121,0
16:50:21.093,0.09,-0.14,0.34,-1,34.5,0.123,0
16:50:21.125,-0.05,-0.14,0.15,-1,34.5,0.123,0
16:50:21.156,0.06,0.12,0.51,-1,34.5,0.123,0
16:50:21.187,0.18,-0.02,0.74,-1,34.5,0.11,0
16:50:21.218,-1.45,-1.24,3.39,-1,34.5,0.112,0
16:50:21.250,0.38,0.31,2.5,-1,34.5,0.099,0
16:50:21.281,0.11,-0.09,1.1,-1,34.5,0.105,0
16:50:21.312,0.15,0.08,0.83,-1,34.5,0.105,0
16:50:21.343,0.21,0.07,1.11,-1,34.5,0.108,0
16:50:21.375,0.16,0,1.23,-1,34.5,0.11,0
16:50:21.406,0.19,0.05,1.3,-1,34.5,0.11,0
16:50:21.437,0.16,0.04,1.1,-1,34.5,0.114,0
16:50:21.468,0.18,0.1,1.06,-1,34.5,0.114,0
16:50:21.500,0.18,0.13,1.11,-1,34.5,0.114,0
