Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
16:50:41.000,0.09,0.02,0.77,-1,34.3,0.167,0
16:50:41.031,0.01,-0.01,0.46,-1,34.3,0.165,0
16:50:41.062,0.09,0,0.8,-1,34.3,0.167,0
16:50:41.093,0.3,0.19,1.46,-1,34.3,0.167,0
16:50:41.125,0.92,0.66,3.91,-1,34.3,0.165,0
16:50:41.156,0,-0.47,2.09,-1,34.3,0.158,0
16:50:41.187,0.12,-0.04,0.6,-1,34.3,0.158,0
16:50:41.218,-0.04,-0.15,0.3,-1,34.3,0.158,0
16:50:41.250,-0.17,-0.05,0.39,-1,34.3,0.158,0
16:50:41.281,0.27,0.35,1.43,-1,34.3,0.156,0
16:50:41.312,0.01,0,1.21,-1,34.3,0.144,0
16:50:41.343,0.77,1.49,2.75,-1,34.3,0.144,0
16:50:41.375,0.01,-0.18,1.02,-1,34.3,0.148,0
16:50:41.406,0.13,0.12,0.44,-1,34.3,0.154,0
16:50:41.437,-0.05,-0.1,0.43,-1,34.3,0.153,0
16:50:41.468,0.01,-0.06,0.61,-1,34.3,0.158,0
16:50:41.500,0.31,0.24,1.34,-1,34.3,0.158,0
16:50:41.531,0.74,0.58,3.6,-1,34.3,0.153,0
16:50:41.562,0.03,-0.07,2.08,-1,34.3,0.137,0
16:50:41.593,0.02,-0.17,0.63,-1,34.3,0.141,0
16:50:41.625,-0.08,-0.17,-0.09,-1,34.3,0.151,0
16:50:41.656,-0.32,-0.22,-0.03,-1,34.3,0.151,0
16:50:41.687,0.76,0.24,1.95,-1,34.3,0.144,0
16:50:41.718,-1.09,-0.67,2.13,-1,34.3,0.13,0
16:50:41.750,0.26,1.36,2.17,-1,34.3,0.123,0
16:50:41.781,0.01,-0.5,0.8,-1,34.3,0.13,0
16:50:41.812,0.13,0.19,0.11,-1,34.3,0.137,0
16:50:41.843,-0.15,-0.05,0.2,-1,34.3,0.146,0
16:50:41.875,0.05,0.33,0.83,-1,34.3,0.146,0
16:50:41.906,0.34,-0.23,1.35,-1,34.3,0.135,0
16:50:41.937,-1,-1.01,3.59,-1,34.3,0.132,0
16:50:41.968,0,-0.24,2.38,-1,34.3,0.115,0
16:50:42.000,0.11,0.17,1,-1,34.3,0.108,0
16:50:42.031,0.1,0.19,0.63,-1,34.3,0.116,0
16:50:42.062,0.17,0.16,0.85,-1,34.3,0.123,0
16:50:42.093,0.19,0.23,1.27,-1,34.3,0.128,0
16:50:42.125,0.14,0.04,1.4,-1,34.3,0.132,0
16:50:42.156,0.13,0.07,1.17,-1,34.3,0.137,0
16:50:42.187,0.16,0.11,1.1,-1,34.3,0.139,0
16:50:42.218,0.18,0.22,1.1,-1,34.3,0.139,0
16:50:42.250,0.16,0.22,1.14,-1,34.3,0.141,0
