Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
16:49:27.000,0.13,0.15,1.15,-1,35.4,0.119,0
16:49:27.031,0.13,0.15,1.17,-1,35.4,0.119,0
16:49:27.062,0.14,0.15,1.15,-1,35.4,0.119,0
16:49:27.093,0.14,0.15,1.15,-1,35.4,0.119,0
16:49:27.125,0.14,0.15,1.16,-1,35.4,0.119,0
16:49:27.156,0.14,0.15,1.16,-1,35.4,0.119,0
16:49:27.187,0.13,0.15,1.15,-1,35.4,0.119,0
16:49:27.218,0.14,0.14,1.15,-1,35.6,0.119,0
16:49:27.250,0.14,0.16,1.16,-1,35.4,0.119,0
16:49:27.281,0.13,0.15,1.15,-1,35.4,0.119,0
16:49:27.312,0.13,0.15,1.16,-1,35.4,0.119,0
16:49:27.343,0.13,0.14,1.15,-1,35.4,0.116,0
16:49:27.375,0.14,0.15,1.15,-1,35.4,0.119,0
16:49:27.406,0.15,0.14,1.15,-1,35.4,0.117,0
16:49:27.437,0.14,0.15,1.15,-1,35.4,0.119,0
16:49:27.468,0.13,0.14,1.16,-1,35.4,0.119,0
16:49:27.500,0.14,0.14,1.15,-1,35.4,0.117,0
16:49:27.531,0.13,0.14,1.16,-1,35.4,0.114,0
16:49:27.562,0.13,0.14,1.16,-1,35.4,0.114,0
16:49:27.593,0.13,0.15,1.17,-1,35.4,0.117,0
16:49:27.625,0.14,0.16,1.18,-1,35.4,0.114,0
16:49:27.656,0.14,0.14,1.2,-1,35.4,0.117,0
16:49:27.687,0.13,0.14,1.24,-1,35.4,0.114,0
16:49:27.718,0.13,0.13,1.27,-1,35.4,0.114,0
16:49:27.750,0.13,0.12,1.31,-1,35.4,0.114,0
16:49:27.781,0.17,0.13,1.33,-1,35.4,0.114,0
16:49:27.812,0.19,0.13,1.27,-1,35.4,0.114,0
16:49:27.843,0.18,0.09,1.26,-1,35.4,0.114,0
16:49:27.875,0.16,0.06,1.21,-1,35.4,0.114,0
16:49:27.906,0.16,0.05,1.15,-1,35.4,0.114,0
16:49:27.937,0.14,0.07,1.06,-1,35.4,0.114,0
16:49:27.968,0.14,0.14,0.95,-1,35.4,0.114,0
16:49:28.000,0.11,0.13,0.92,-1,35.4,0.114,0
16:49:28.031,0.06,0.14,0.92,-1,35.4,0.114,0
16:49:28.062,0,0.12,0.89,-1,35.4,0.114,0
16:49:28.093,0,0.12,0.9,-1,35.4,0.114,0
16:49:28.125,0,0.14,0.94,-1,35.4,0.114,0
16:49:28.156,0,0.13,1,-1,35.4,0.114,0
16:49:28.187,0,0.09,1.02,-1,35.4,0.114,0
16:49:28.218,0.02,0.11,0.99,-1,35.6,0.114,0
16:49:28.250,0.11,0.28,1.37,-1,35.4,0.114,0
16:49:28.281,0,0.07,1.3,-1,35.4,0.114,0
16:49:28.312,0.64,-0.03,2.5,-1,35.4,0.114,0
16:49:28.343,0.08,-0.06,1.94,-1,35.4,0.114,0
16:49:28.375,0.07,0.16,1.35,-1,35.4,0.114,0
16:49:28.406,0.11,0.21,1.1,-1,35.4,0.114,0
16:49:28.437,0.14,0.05,1.04,-1,35.4,0.114,0
16:49:28.468,0.14,0.19,1.01,-1,35.4,0.114,0
16:49:28.500,0.15,0.2,0.96,-1,35.4,0.114,0
16:49:28.531,0.12,0.21,0.83,-1,35.4,0.114,0
16:49:28.562,0.07,0.16,0.81,-1,35.4,0.114,0
16:49:28.593,0.05,0.1,0.87,-1,35.4,0.114,0
16:49:28.625,0.06,0.11,0.93,-1,35.4,0.114,0
16:49:28.656,0.06,0.2,1.22,-1,35.4,0.114,0
16:49:28.687,-0.33,-0.22,1.19,-1,35.4,0.114,0
16:49:28.718,0.47,0.62,2.13,-1,35.4,0.114,0
16:49:28.750,0,0.02,1.35,-1,35.4,0.114,0
16:49:28.781,0.05,0.11,1.16,-1,35.4,0.114,0
16:49:28.812,0.16,0.01,0.99,-1,35.4,0.114,0
16:49:28.843,0.11,0.15,0.94,-1,35.4,0.114,0
16:49:28.875,0.08,0.2,1,-1,35.4,0.114,0
