Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
16:49:57.000,0.11,0.18,1.26,-1,34.9,0.094,0
16:49:57.031,0.12,0.14,1.26,-1,34.9,0.092,0
16:49:57.062,0.14,0.23,1.12,-1,34.9,0.097,0
16:49:57.093,0.11,0.13,1.08,-1,34.9,0.096,0
16:49:57.125,0.1,0.14,1.07,-1,34.9,0.097,0
16:49:57.156,0.09,0.13,1.02,-1,34.9,0.097,0
16:49:57.187,0.06,0.15,0.92,-1,34.9,0.096,0
16:49:57.218,0.01,0.15,0.86,-1,34.9,0.099,0
16:49:57.250,0,0.14,0.81,-1,34.9,0.099,0
16:49:57.281,0,0.12,0.73,-1,34.9,0.097,0
16:49:57.312,0.04,0.09,0.7,-1,34.9,0.099,0
16:49:57.343,0.06,0.07,0.8,-1,34.9,0.099,0
16:49:57.375,0.29,-0.43,3.77,-1,34.9,0.094,0
16:49:57.406,0.26,0.21,2.36,-1,34.9,0.073,0
16:49:57.437,-0.09,0.04,0.99,-1,34.9,0.057,0
16:49:57.468,0.07,0,1.27,-1,34.9,0.051,0
16:49:57.500,0.16,0.38,1.58,-1,34.9,0.053,0
16:49:57.531,0.13,0.43,1.29,-1,34.9,0.062,0
16:49:57.562,0.14,0.14,1.06,-1,34.9,0.072,0
16:49:57.593,0.14,0.12,0.76,-1,34.9,0.079,0
16:49:57.625,0.07,0.1,0.67,-1,34.9,0.085,0
16:49:57.656,0.02,0.12,0.65,-1,34.9,0.09,0
16:49:57.687,0.04,0.02,0.68,-1,34.9,0.092,0
16:49:57.718,0.1,0.16,0.89,-1,34.9,0.092,0
16:49:57.750,0.11,0.06,0.59,-1,34.9,0.092,0
16:49:57.781,1.68,0.5,3.61,-1,34.9,0.088,0
16:49:57.812,0,-0.27,2.3,-1,34.9,0.068,0
16:49:57.843,-0.12,0.14,0.88,-1,34.9,0.055,0
16:49:57.875,0.09,0.16,1.22,-1,34.9,0.049,0
16:49:57.906,0.17,0.52,1.48,-1,34.9,0.049,0
16:49:57.937,0.14,0.48,1.34,-1,34.9,0.062,0
16:49:57.968,0.17,0.25,1,-1,34.9,0.072,0
16:49:58.000,0.15,0.02,0.67,-1,34.7,0.079,0
16:49:58.031,0.1,0.13,0.6,-1,34.9,0.083,0
16:49:58.062,0.03,0.12,0.62,-1,34.9,0.088,0
16:49:58.093,0,0.02,0.62,-1,34.9,0.092,0
16:49:58.125,0.07,0.24,0.85,-1,34.9,0.092,0
16:49:58.156,0.14,0.11,0.87,-1,34.9,0.092,0
16:49:58.187,1.62,1.03,3.91,-1,34.7,0.084,0
16:49:58.218,0.05,0.16,2.45,-1,34.9,0.064,0
16:49:58.250,-0.19,-0.02,0.87,-1,34.9,0.051,0
16:49:58.281,0.03,0,1.11,-1,34.9,0.045,0
16:49:58.312,0.19,0.5,1.4,-1,34.7,0.045,0
16:49:58.343,0.14,0.45,1.32,-1,34.9,0.051,0
16:49:58.375,0.14,0.3,1.14,-1,34.9,0.062,0
16:49:58.406,0.26,0.24,0.87,-1,34.9,0.07,0
16:49:58.437,0.21,0.07,0.67,-1,34.9,0.077,0
16:49:58.468,0.16,0.21,0.72,-1,34.7,0.083,0
16:49:58.500,0.06,0.2,0.72,-1,34.9,0.088,0
16:49:58.531,0.05,0.1,0.52,-1,34.9,0.088,0
16:49:58.562,0.11,0.23,0.89,-1,34.9,0.088,0
16:49:58.593,0.09,0.15,0.72,-1,34.9,0.088,0
16:49:58.625,1.61,0.81,3.56,-1,34.9,0.079,0
16:49:58.656,-0.13,-0.13,2.34,-1,34.9,0.062,0
16:49:58.687,-0.21,0.03,0.81,-1,34.9,0.049,0
16:49:58.718,0.06,0.22,0.93,-1,34.9,0.043,0
16:49:58.750,0.2,0.42,1.14,-1,34.9,0.036,0
16:49:58.781,0.16,0.2,1.13,-1,34.9,0.032,0
16:49:58.812,0.16,0.19,1.11,-1,34.7,0.028,0
16:49:58.843,0.15,0.17,1.08,-1,34.9,0.028,0
16:49:58.875,0.14,0.21,1.12,-1,34.9,0.028,0
16:49:58.906,0.12,0.27,1.18,-1,34.9,0.026,0
16:49:58.937,0.07,0.31,1.18,-1,34.9,0.028,0
16:49:58.968,0.08,0.28,1.14,-1,34.9,0.028,0
16:49:59.000,0.11,0.29,1.11,-1,34.9,0.028,0
