Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
17:15:48.125,-0.25,0.38,0.9,-1,34.1,0.197,0
17:15:48.156,-0.25,0.38,0.87,-1,34.1,0.2,0
17:15:48.187,-0.25,0.38,0.9,-1,34.1,0.2,0
17:15:48.218,-0.25,0.39,0.89,-1,34.1,0.197,0
17:15:48.250,-0.25,0.39,0.89,-1,34.1,0.2,0
17:15:48.281,-0.25,0.4,0.88,-1,34.1,0.197,0
17:15:48.312,-0.25,0.38,0.86,-1,34.1,0.2,0
17:15:48.343,-0.24,0.4,0.86,-1,34.1,0.2,0
17:15:48.375,-0.25,0.37,0.89,-1,34.1,0.2,0
17:15:48.406,-0.24,0.42,0.83,-1,34.1,0.2,0
17:15:48.437,-0.21,0.44,0.93,-1,34.1,0.195,0
17:15:48.468,-0.22,0.39,0.86,-1,33.9,0.197,0
17:15:48.500,-0.22,0.42,0.76,-1,34.1,0.197,0
17:15:48.531,-0.16,0.39,0.91,-1,34.1,0.197,0
17:15:48.562,-0.21,0.44,0.85,-1,34.1,0.195,0
17:15:48.593,-0.19,0.41,0.72,-1,34.1,0.195,0
17:15:48.625,-0.13,0.4,0.75,-1,34.1,0.195,0
17:15:48.656,-0.07,0.43,0.85,-1,33.9,0.191,0
17:15:48.687,-0.05,0.43,0.83,-1,33.9,0.191,0
17:15:48.718,-0.09,0.48,1.25,-1,33.9,0.191,0
17:15:48.750,-0.12,0.38,0.71,-1,33.9,0.191,0
17:15:48.781,0.52,0.03,1.7,-1,34.1,0.191,0
17:15:48.812,-0.31,-0.32,1.81,-1,34.1,0.191,0
17:15:48.843,0.03,0.3,0.28,-1,34.1,0.191,0
17:15:48.875,-0.07,0.29,0.66,-1,33.9,0.191,0
17:15:48.906,0.08,0.53,1.18,-1,34.1,0.191,0
17:15:48.937,0,0.52,0.78,-1,34.1,0.191,0
17:15:48.968,0.07,0.26,0.69,-1,34.1,0.188,0
17:15:49.000,-0.28,2.49,0.91,-1,33.9,0.191,0
17:15:49.031,0.04,0.54,0.38,-1,33.9,0.188,0
17:15:49.062,-0.06,0.04,0.54,-1,34.1,0.188,0
17:15:49.093,0,0.54,1.04,-1,33.9,0.188,0
17:15:49.125,0,0.93,1.1,-1,34.1,0.191,0
17:15:49.156,0.03,-0.31,0.72,-1,33.9,0.188,0
17:15:49.187,-0.49,2.76,0.71,-1,34.1,0.188,0
17:15:49.218,0.08,0.38,0.52,-1,34.1,0.188,0
17:15:49.250,-0.01,0.01,0.7,-1,33.9,0.188,0
17:15:49.281,-0.03,0.28,0.86,-1,34.1,0.188,0
17:15:49.312,0.14,1.01,1.21,-1,33.9,0.188,0
17:15:49.343,0.02,-0.23,0.65,-1,33.9,0.188,0
17:15:49.375,-0.53,2.2,0.87,-1,34.1,0.186,0
17:15:49.406,0.04,0.04,0.5,-1,34.1,0.186,0
17:15:49.437,-0.07,-0.07,0.91,-1,34.1,0.186,0
17:15:49.468,0.15,1.21,1.29,-1,34.1,0.186,0
17:15:49.500,-0.12,-0.06,0.72,-1,34.1,0.186,0
17:15:49.531,-0.65,0.25,1.5,-1,33.9,0.186,0
17:15:49.562,-0.06,-0.03,1.51,-1,33.9,0.186,0
17:15:49.593,0,0.33,0.58,-1,33.9,0.186,0
17:15:49.625,0.08,0.42,0.55,-1,34.1,0.184,0
17:15:49.656,0.07,0.75,0.83,-1,34.1,0.184,0
17:15:49.687,0.01,0.61,0.96,-1,33.9,0.186,0
17:15:49.718,-0.05,0.43,0.89,-1,33.9,0.186,0
17:15:49.750,-0.1,0.43,0.85,-1,33.9,0.188,0
17:15:49.781,-0.11,0.43,0.84,-1,33.9,0.188,0
17:15:49.812,-0.12,0.35,0.97,-1,33.9,0.188,0
17:15:49.843,-0.13,0.35,0.78,-1,33.9,0.188,0
17:15:49.875,-0.19,0.42,0.9,-1,34.1,0.188,0
17:15:49.906,-0.18,0.45,0.97,-1,33.9,0.188,0
17:15:49.937,-0.18,0.33,0.83,-1,33.9,0.188,0
17:15:49.968,-0.21,0.4,0.93,-1,34.1,0.188,0
17:15:50.000,-0.22,0.43,0.87,-1,33.9,0.188,0
17:15:50.031,-0.23,0.34,0.84,-1,33.9,0.188,0
17:15:50.062,-0.23,0.42,0.95,-1,34.1,0.188,0
17:15:50.093,-0.25,0.43,0.92,-1,34.1,0.188,0
17:15:50.125,-0.25,0.37,0.87,-1,33.9,0.186,0
