Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
17:16:06.187,-0.27,0.48,0.82,-1,33.7,0.195,0
17:16:06.218,-0.26,0.47,0.8,-1,33.7,0.195,0
17:16:06.250,-0.25,0.45,0.78,-1,33.9,0.195,0
17:16:06.281,-0.21,0.59,0.84,-1,33.9,0.195,0
17:16:06.312,-0.25,0.5,0.79,-1,33.7,0.195,0
17:16:06.343,-0.24,0.46,0.82,-1,33.9,0.195,0
17:16:06.375,-0.24,0.43,0.81,-1,33.7,0.191,0
17:16:06.406,-0.22,0.5,0.86,-1,33.9,0.193,0
17:16:06.437,-0.26,0.48,0.84,-1,33.7,0.191,0
17:16:06.468,-0.22,0.56,0.89,-1,33.7,0.191,0
17:16:06.500,-0.25,0.45,0.83,-1,33.9,0.191,0
17:16:06.531,-0.24,0.51,0.83,-1,33.7,0.191,0
17:16:06.562,-0.23,0.51,0.8,-1,33.9,0.191,0
17:16:06.593,-0.22,0.49,0.74,-1,33.9,0.191,0
17:16:06.625,-0.18,0.46,0.73,-1,33.9,0.191,0
17:16:06.656,-0.13,0.37,0.71,-1,33.9,0.191,0
17:16:06.687,-0.04,0.41,0.7,-1,33.7,0.188,0
17:16:06.718,-0.05,0.32,0.9,-1,33.9,0.188,0
17:16:06.750,-0.04,0.69,1.27,-1,33.7,0.186,0
17:16:06.781,-0.06,0.41,0.65,-1,33.9,0.188,0
17:16:06.812,-0.5,1.18,3.06,-1,33.9,0.186,0
17:16:06.843,0.07,0.74,1.11,-1,33.7,0.188,0
17:16:06.875,-0.07,0.46,0.58,-1,33.9,0.186,0
17:16:06.906,-0.16,-0.03,0.83,-1,33.9,0.186,0
17:16:06.937,0.13,0.83,1.33,-1,33.9,0.186,0
17:16:06.968,-0.03,0.14,0.71,-1,33.9,0.186,0
17:16:07.000,-0.03,0.62,-0.13,-1,33.7,0.186,0
17:16:07.031,0.39,1.15,0.75,-1,33.7,0.184,0
17:16:07.062,0.05,0.97,0.48,-1,33.9,0.186,0
17:16:07.093,-0.07,-0.02,0.98,-1,33.9,0.186,0
17:16:07.125,0.17,0.84,1.33,-1,33.7,0.186,0
17:16:07.156,0,0.02,0.61,-1,33.7,0.186,0
17:16:07.187,0.27,0.61,2.19,-1,33.9,0.186,0
17:16:07.218,-0.16,-1,1.23,-1,33.9,0.186,0
17:16:07.250,0.03,0.64,0.32,-1,33.7,0.186,0
17:16:07.281,0,0.08,1.02,-1,33.9,0.186,0
17:16:07.312,0.23,0.95,1.2,-1,33.7,0.186,0
17:16:07.343,-0.06,0.43,0.88,-1,33.9,0.186,0
17:16:07.375,0.17,0,0.33,-1,33.7,0.186,0
17:16:07.406,0.14,2.25,0.53,-1,33.9,0.186,0
17:16:07.437,0.16,0.69,0.43,-1,33.9,0.184,0
17:16:07.468,-0.04,0.06,0.74,-1,33.7,0.186,0
17:16:07.500,0,0.32,1.02,-1,33.7,0.186,0
17:16:07.531,0.03,0.93,1.03,-1,33.7,0.186,0
17:16:07.562,0.04,-0.27,0.66,-1,33.9,0.186,0
17:16:07.593,-0.2,2.29,0.81,-1,33.7,0.186,0
17:16:07.625,0,0.36,0.61,-1,33.9,0.182,0
17:16:07.656,0.04,0.27,0.6,-1,33.7,0.182,0
17:16:07.687,0.02,0.39,1.06,-1,33.7,0.182,0
17:16:07.718,0.11,0.88,1.03,-1,33.7,0.182,0
17:16:07.750,0.03,0.05,0.83,-1,33.7,0.182,0
17:16:07.781,0.25,0.69,1.92,-1,33.9,0.184,0
17:16:07.812,-0.14,-0.4,1.15,-1,33.7,0.182,0
17:16:07.843,0.09,0.44,0.22,-1,33.9,0.182,0
17:16:07.875,0.06,0.26,0.65,-1,33.7,0.182,0
17:16:07.906,0.2,0.79,1.28,-1,33.7,0.182,0
17:16:07.937,0,0.6,0.78,-1,33.9,0.182,0
17:16:07.968,0.1,0.1,0.41,-1,33.7,0.182,0
17:16:08.000,0.17,1.46,1.14,-1,33.9,0.18,0
17:16:08.031,-0.03,0.53,0.89,-1,33.9,0.179,0
17:16:08.062,0.03,0.4,0.64,-1,33.9,0.177,0
17:16:08.093,-0.03,0.45,0.66,-1,33.7,0.18,0
17:16:08.125,0.01,0.65,1,-1,33.7,0.179,0
17:16:08.156,-0.04,0.64,0.89,-1,33.7,0.179,0
17:16:08.187,-0.1,0.28,0.75,-1,33.7,0.182,0
