Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
17:16:26.062,-0.25,0.44,0.86,-1,33.5,0.214,0
17:16:26.093,-0.25,0.44,0.87,-1,33.7,0.214,0
17:16:26.125,-0.26,0.43,0.85,-1,33.7,0.214,0
17:16:26.156,-0.26,0.43,0.86,-1,33.7,0.214,0
17:16:26.187,-0.25,0.44,0.87,-1,33.7,0.214,0
17:16:26.218,-0.26,0.43,0.84,-1,33.7,0.214,0
17:16:26.250,-0.25,0.44,0.85,-1,33.7,0.214,0
17:16:26.281,-0.25,0.43,0.85,-1,33.7,0.214,0
17:16:26.312,-0.25,0.42,0.82,-1,33.7,0.214,0
17:16:26.343,-0.25,0.44,0.85,-1,33.7,0.214,0
17:16:26.375,-0.25,0.44,0.86,-1,33.7,0.214,0
17:16:26.406,-0.25,0.42,0.83,-1,33.7,0.214,0
17:16:26.437,-0.24,0.46,0.88,-1,33.7,0.214,0
17:16:26.468,-0.24,0.45,0.89,-1,33.7,0.214,0
17:16:26.500,-0.24,0.45,0.88,-1,33.7,0.214,0
17:16:26.531,-0.25,0.44,0.86,-1,33.7,0.214,0
17:16:26.562,-0.24,0.45,0.87,-1,33.5,0.214,0
17:16:26.593,-0.24,0.44,0.85,-1,33.7,0.214,0
17:16:26.625,-0.24,0.44,0.85,-1,33.7,0.214,0
17:16:26.656,-0.24,0.44,0.86,-1,33.7,0.216,0
17:16:26.687,-0.24,0.44,0.83,-1,33.7,0.216,0
17:16:26.718,-0.24,0.44,0.83,-1,33.5,0.214,0
17:16:26.750,-0.23,0.44,0.83,-1,33.5,0.214,0
17:16:26.781,-0.23,0.42,0.79,-1,33.7,0.216,0
17:16:26.812,-0.21,0.43,0.79,-1,33.7,0.216,0
17:16:26.843,-0.2,0.4,0.8,-1,33.7,0.214,0
17:16:26.875,-0.2,0.31,0.69,-1,33.7,0.216,0
17:16:26.906,-0.14,0.28,0.73,-1,33.7,0.216,0
17:16:26.937,0,0.61,0.94,-1,33.7,0.216,0
17:16:26.968,-0.06,0.54,0.97,-1,33.7,0.216,0
17:16:27.000,-0.1,0.53,1.28,-1,33.7,0.216,0
17:16:27.031,-0.02,0.27,0.66,-1,33.7,0.214,0
17:16:27.062,-0.89,0.57,2.5,-1,33.5,0.216,0
17:16:27.093,0.11,0.95,1.47,-1,33.5,0.216,0
17:16:27.125,0.03,0.56,0.31,-1,33.7,0.216,0
17:16:27.156,-0.04,0.31,0.39,-1,33.7,0.216,0
17:16:27.187,0.08,0.4,0.82,-1,33.5,0.218,0
17:16:27.218,0.02,0.4,1.08,-1,33.5,0.218,0
17:16:27.250,0.08,0.58,0.99,-1,33.7,0.218,0
17:16:27.281,0,0.55,1.07,-1,33.5,0.218,0
17:16:27.312,0.09,0.51,-0.01,-1,33.7,0.218,0
17:16:27.343,0.03,2.57,0.56,-1,33.5,0.218,0
17:16:27.375,0.05,0.19,0.37,-1,33.7,0.218,0
17:16:27.406,-0.03,0.17,0.6,-1,33.7,0.218,0
17:16:27.437,0.02,0.31,1,-1,33.7,0.218,0
17:16:27.468,0.03,0.53,0.89,-1,33.7,0.218,0
17:16:27.500,-0.03,0.28,0.9,-1,33.7,0.218,0
17:16:27.531,0,0.55,1.39,-1,33.7,0.218,0
17:16:27.562,0.15,0.28,0.8,-1,33.7,0.218,0
17:16:27.593,-0.5,2.73,1.26,-1,33.7,0.218,0
17:16:27.625,0,-0.24,1,-1,33.7,0.218,0
17:16:27.656,0,0.31,0.4,-1,33.7,0.218,0
17:16:27.687,0.04,0.46,0.45,-1,33.7,0.218,0
17:16:27.718,0,0.54,0.75,-1,33.7,0.216,0
17:16:27.750,-0.01,0.5,0.81,-1,33.7,0.216,0
17:16:27.781,-0.05,0.5,0.73,-1,33.7,0.218,0
17:16:27.812,-0.14,0.5,0.68,-1,33.7,0.218,0
17:16:27.843,-0.2,0.44,0.75,-1,33.7,0.218,0
17:16:27.875,-0.17,0.51,1,-1,33.5,0.218,0
17:16:27.906,-0.21,0.48,1,-1,33.7,0.218,0
17:16:27.937,-0.16,0.51,0.84,-1,33.7,0.218,0
17:16:27.968,-0.15,0.55,0.86,-1,33.7,0.216,0
17:16:28.000,-0.17,0.48,0.83,-1,33.7,0.216,0
17:16:28.031,-0.18,0.5,0.78,-1,33.5,0.216,0
17:16:28.062,-0.19,0.47,0.81,-1,33.5,0.216,0
