Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
17:15:19.000,-0.2,0.45,0.87,-1,34.3,0.127,0
17:15:19.031,-0.19,0.47,0.87,-1,34.3,0.127,0
17:15:19.062,-0.19,0.47,0.85,-1,34.3,0.127,0
17:15:19.093,-0.19,0.45,0.85,-1,34.3,0.127,0
17:15:19.125,-0.2,0.45,0.87,-1,34.3,0.127,0
17:15:19.156,-0.2,0.46,0.88,-1,34.3,0.127,0
17:15:19.187,-0.19,0.46,0.86,-1,34.3,0.127,0
17:15:19.218,-0.19,0.46,0.88,-1,34.5,0.127,0
17:15:19.250,-0.19,0.46,0.88,-1,34.3,0.127,0
17:15:19.281,-0.18,0.47,0.85,-1,34.3,0.127,0
17:15:19.312,-0.18,0.44,0.9,-1,34.3,0.127,0
17:15:19.343,-0.18,0.46,0.87,-1,34.3,0.127,0
17:15:19.375,-0.19,0.46,0.82,-1,34.3,0.127,0
17:15:19.406,-0.19,0.44,0.87,-1,34.5,0.127,0
17:15:19.437,-0.19,0.45,0.8,-1,34.3,0.127,0
17:15:19.468,-0.17,0.43,0.82,-1,34.3,0.127,0
17:15:19.500,-0.16,0.41,0.92,-1,34.3,0.127,0
17:15:19.531,-0.2,0.41,0.75,-1,34.3,0.127,0
17:15:19.562,-0.17,0.37,0.84,-1,34.3,0.127,0
17:15:19.593,-0.04,0.48,0.93,-1,34.3,0.127,0
17:15:19.625,-0.14,0.5,0.97,-1,34.5,0.127,0
17:15:19.656,-0.18,0.05,0.59,-1,34.3,0.127,0
17:15:19.687,0.08,0.3,0.01,-1,34.3,0.127,0
17:15:19.718,0.48,2.71,0.97,-1,34.3,0.127,0
17:15:19.750,-0.04,-0.31,0.91,-1,34.3,0.127,0
17:15:19.781,-0.18,-0.03,0.45,-1,34.3,0.127,0
17:15:19.812,0.05,0.56,0.72,-1,34.3,0.129,0
17:15:19.843,-0.05,0.43,1.16,-1,34.3,0.127,0
17:15:19.875,-0.12,0.34,0.99,-1,34.3,0.129,0
17:15:19.906,0.05,0.46,0.88,-1,34.3,0.127,0
17:15:19.937,-0.1,0.26,0.94,-1,34.3,0.129,0
17:15:19.968,0,0.02,0.67,-1,34.3,0.127,0
17:15:20.000,-0.2,1.78,2.25,-1,34.3,0.127,0
17:15:20.031,-0.25,-0.87,1.3,-1,34.3,0.129,0
17:15:20.062,-0.03,0.42,0.43,-1,34.3,0.129,0
17:15:20.093,-0.01,0.6,0.76,-1,34.3,0.131,0
17:15:20.125,-0.06,0.48,1.05,-1,34.3,0.127,0
17:15:20.156,-0.22,0.16,0.91,-1,34.3,0.131,0
17:15:20.187,-0.15,0.24,0.69,-1,34.5,0.129,0
17:15:20.218,0.03,0.26,1.07,-1,34.3,0.127,0
17:15:20.250,-0.2,0.14,0.93,-1,34.3,0.127,0
17:15:20.281,0.15,0,0.36,-1,34.3,0.127,0
17:15:20.312,-0.23,1.67,2.47,-1,34.3,0.129,0
17:15:20.343,-0.4,-1.01,1.27,-1,34.3,0.129,0
17:15:20.375,-0.08,-0.07,0.45,-1,34.3,0.131,0
17:15:20.406,0.1,0.63,0.74,-1,34.3,0.131,0
17:15:20.437,0.05,0.66,1.05,-1,34.3,0.129,0
17:15:20.468,-0.05,0.54,1,-1,34.3,0.131,0
17:15:20.500,-0.11,0.5,0.85,-1,34.3,0.131,0
17:15:20.531,-0.19,0.36,0.85,-1,34.3,0.131,0
17:15:20.562,-0.21,0.39,0.91,-1,34.3,0.131,0
17:15:20.593,-0.21,0.37,0.9,-1,34.3,0.131,0
17:15:20.625,-0.22,0.34,0.89,-1,34.3,0.131,0
17:15:20.656,-0.22,0.37,0.84,-1,34.3,0.131,0
17:15:20.687,-0.21,0.41,0.84,-1,34.3,0.133,0
17:15:20.718,-0.21,0.38,0.84,-1,34.3,0.131,0
17:15:20.750,-0.2,0.39,0.86,-1,34.3,0.133,0
17:15:20.781,-0.19,0.46,0.89,-1,34.3,0.131,0
17:15:20.812,-0.22,0.46,0.84,-1,34.3,0.131,0
17:15:20.843,-0.22,0.43,0.9,-1,34.3,0.131,0
17:15:20.875,-0.23,0.42,0.86,-1,34.5,0.131,0
17:15:20.906,-0.24,0.39,0.81,-1,34.5,0.129,0
17:15:20.937,-0.23,0.43,0.9,-1,34.5,0.129,0
17:15:20.968,-0.24,0.46,0.87,-1,34.5,0.131,0
17:15:21.000,-0.25,0.46,0.86,-1,34.5,0.131,0
17:15:21.031,-0.24,0.44,0.89,-1,34.5,0.131,0
17:15:21.062,-0.24,0.47,0.88,-1,34.5,0.131,0
17:15:21.093,-0.24,0.45,0.84,-1,34.5,0.131,0
17:15:21.125,-0.24,0.44,0.85,-1,34.5,0.131,0
17:15:21.156,-0.23,0.45,0.85,-1,34.5,0.131,0
17:15:21.187,-0.23,0.42,0.85,-1,34.5,0.129,0
17:15:21.218,-0.22,0.47,0.85,-1,34.3,0.137,0
17:15:21.250,-0.24,0.46,0.84,-1,34.5,0.131,0
17:15:21.281,-0.23,0.45,0.86,-1,34.5,0.131,0
17:15:21.312,-0.23,0.46,0.85,-1,34.5,0.131,0
