Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
17:15:28.968,-0.23,0.46,0.86,-1,34.3,0.151,0
17:15:29.000,-0.22,0.46,0.82,-1,34.3,0.151,0
17:15:29.031,-0.23,0.46,0.86,-1,34.3,0.151,0
17:15:29.062,-0.22,0.46,0.86,-1,34.3,0.148,0
17:15:29.093,-0.22,0.48,0.84,-1,34.3,0.151,0
17:15:29.125,-0.23,0.45,0.84,-1,34.3,0.148,0
17:15:29.156,-0.23,0.47,0.84,-1,34.3,0.151,0
17:15:29.187,-0.23,0.46,0.83,-1,34.3,0.151,0
17:15:29.218,-0.22,0.45,0.85,-1,34.3,0.148,0
17:15:29.250,-0.22,0.47,0.85,-1,34.3,0.151,0
17:15:29.281,-0.23,0.47,0.84,-1,34.3,0.151,0
17:15:29.312,-0.23,0.48,0.86,-1,34.3,0.151,0
17:15:29.343,-0.23,0.45,0.84,-1,34.3,0.151,0
17:15:29.375,-0.23,0.46,0.82,-1,34.3,0.151,0
17:15:29.406,-0.22,0.48,0.86,-1,34.3,0.148,0
17:15:29.437,-0.23,0.47,0.82,-1,34.3,0.148,0
17:15:29.468,-0.22,0.45,0.86,-1,34.3,0.148,0
17:15:29.500,-0.22,0.46,0.84,-1,34.3,0.148,0
17:15:29.531,-0.22,0.48,0.82,-1,34.3,0.148,0
17:15:29.562,-0.23,0.45,0.83,-1,34.3,0.148,0
17:15:29.593,-0.23,0.48,0.84,-1,34.3,0.148,0
17:15:29.625,-0.23,0.49,0.82,-1,34.3,0.146,0
17:15:29.656,-0.22,0.5,0.84,-1,34.3,0.148,0
17:15:29.687,-0.23,0.45,0.83,-1,34.3,0.146,0
17:15:29.718,-0.23,0.43,0.76,-1,34.3,0.146,0
17:15:29.750,-0.2,0.43,0.81,-1,34.3,0.148,0
17:15:29.781,-0.17,0.48,0.88,-1,34.3,0.148,0
17:15:29.812,-0.17,0.6,1,-1,34.3,0.148,0
17:15:29.843,-0.12,0.29,0.75,-1,34.3,0.146,0
17:15:29.875,-0.1,0.34,0.69,-1,34.3,0.148,0
17:15:29.906,0,0.57,0.61,-1,34.1,0.146,0
17:15:29.937,-0.33,1.37,0.73,-1,34.3,0.146,0
17:15:29.968,0.02,0.22,1.11,-1,34.3,0.144,0
17:15:30.000,-0.06,0.56,0.64,-1,34.3,0.144,0
17:15:30.031,-0.03,0.54,0.69,-1,34.1,0.144,0
17:15:30.062,0,0.57,0.71,-1,34.3,0.144,0
17:15:30.093,-0.02,0.56,0.79,-1,34.3,0.144,0
17:15:30.125,-0.04,0.51,0.85,-1,34.3,0.144,0
17:15:30.156,-0.1,0.51,0.85,-1,34.3,0.144,0
17:15:30.187,-0.18,0.5,0.85,-1,34.3,0.144,0
17:15:30.218,-0.16,0.65,1.04,-1,34.3,0.146,0
17:15:30.250,-0.18,0.48,0.8,-1,34.3,0.146,0
17:15:30.281,-0.2,0.39,0.87,-1,34.3,0.146,0
17:15:30.312,-0.09,0.39,0.87,-1,34.3,0.144,0
17:15:30.343,-0.08,0.44,0.82,-1,34.3,0.144,0
17:15:30.375,-0.09,0.51,0.86,-1,34.3,0.144,0
17:15:30.406,-0.1,0.52,1.03,-1,34.3,0.144,0
17:15:30.437,0,0.29,0.69,-1,34.3,0.144,0
17:15:30.468,-0.91,0.85,1.22,-1,34.3,0.144,0
17:15:30.500,-0.02,1.05,1.04,-1,34.3,0.144,0
17:15:30.531,-0.13,0.29,0.85,-1,34.1,0.144,0
17:15:30.562,-0.01,0.47,0.53,-1,34.3,0.144,0
17:15:30.593,0,0.57,0.72,-1,34.1,0.144,0
17:15:30.625,0.01,0.65,0.88,-1,34.3,0.142,0
17:15:30.656,-0.02,0.55,0.8,-1,34.3,0.144,0
17:15:30.687,-0.06,0.5,0.79,-1,34.3,0.144,0
17:15:30.718,-0.05,0.57,0.84,-1,34.3,0.144,0
17:15:30.750,-0.05,0.57,0.85,-1,34.1,0.144,0
17:15:30.781,-0.06,0.55,0.82,-1,34.3,0.144,0
17:15:30.812,-0.05,0.52,0.78,-1,34.1,0.144,0
17:15:30.843,-0.03,0.54,0.81,-1,34.3,0.144,0
17:15:30.875,-0.04,0.54,0.83,-1,34.1,0.144,0
17:15:30.906,-0.05,0.54,0.82,-1,34.3,0.144,0
17:15:30.937,-0.06,0.54,0.81,-1,34.1,0.144,0
17:15:30.968,-0.06,0.57,0.84,-1,34.1,0.144,0
