Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
21:39.093,-0.18,0.45,-0.84,-1,33.9,0.408,0
21:39.125,-0.18,0.47,-0.84,-1,33.9,0.405,0
21:39.156,-0.16,0.46,-0.86,-1,34.1,0.405,0
21:39.187,-0.16,0.47,-0.86,-1,33.9,0.405,0
21:39.218,-0.18,0.43,-0.85,-1,34.1,0.405,0
21:39.250,-0.18,0.47,-0.85,-1,34.1,0.403,0
21:39.281,-0.18,0.46,-0.86,-1,33.9,0.403,0
21:39.312,-0.21,0.45,-0.85,-1,33.9,0.4,0
21:39.343,-0.21,0.46,-0.87,-1,34.1,0.4,0
21:39.375,-0.18,0.47,-0.9,-1,34.1,0.397,0
21:39.406,-0.22,0.45,-0.9,-1,33.9,0.397,0
21:39.437,-0.25,0.48,-0.86,-1,34.1,0.397,0
21:39.468,-0.27,0.42,-0.79,-1,34.1,0.397,0
21:39.500,-0.31,0.39,-0.74,-1,34.1,0.392,0
21:39.531,-0.35,0.31,-0.6,-1,33.9,0.392,0
21:39.562,-0.37,0.29,-0.5,-1,33.9,0.392,0
21:39.593,-0.39,0.27,-0.41,-1,34.1,0.392,0
21:39.625,-0.36,0.16,-0.29,-1,33.9,0.392,0
21:39.656,-0.32,0.07,-0.15,-1,34.1,0.392,0
21:39.687,-0.32,0.03,0.15,-1,34.1,0.39,0
21:39.718,-0.19,0.4,0,-1,33.9,0.39,0
21:39.750,0.08,0.48,-1.16,-1,33.9,0.386,0
21:39.781,-0.03,3.59,-4.38,-1,34.1,0.386,0
21:39.812,0.22,0.98,-0.62,-1,33.9,0.383,0
21:39.843,-0.01,0.04,-1.14,-1,33.9,0.381,0
21:39.875,0.22,0.72,-1,-1,33.9,0.383,0
21:39.906,0.01,0.23,-0.83,-1,33.9,0.383,0
21:39.937,-0.01,0.44,-0.73,-1,33.9,0.383,0
21:39.968,-0.05,0.31,-0.68,-1,34.1,0.386,0
21:40.000,-0.11,0.21,-0.58,-1,33.9,0.386,0
21:40.031,-0.19,0.29,-0.57,-1,33.9,0.386,0
21:40.062,-0.26,0.31,-0.41,-1,33.9,0.383,0
21:40.093,-0.34,0.23,-0.13,-1,34.1,0.381,0
21:40.125,-0.45,0.23,0,-1,34.1,0.381,0
21:40.156,-0.36,0.36,0,-1,34.1,0.381,0
21:40.187,-0.15,0.45,-0.64,-1,34.1,0.381,0
21:40.218,-2.58,3.05,-2.63,-1,34.1,0.376,0
21:40.250,0.44,-0.52,-0.75,-1,33.9,0.373,0
21:40.281,0.2,0.91,-1.72,-1,33.9,0.37,0
21:40.312,0.24,0.39,-0.86,-1,34.1,0.367,0
21:40.343,-0.02,0.43,-0.76,-1,34.1,0.367,0
21:40.375,-0.01,0.44,-0.5,-1,34.1,0.37,0
21:40.406,-0.11,0.23,-0.33,-1,34.1,0.37,0
21:40.437,-0.22,0.2,-0.21,-1,33.9,0.37,0
21:40.468,-0.3,0.28,-0.18,-1,34.1,0.37,0
21:40.500,-0.3,0.17,-0.06,-1,34.1,0.376,0
21:40.531,-0.28,0.13,-0.03,-1,33.9,0.37,0
21:40.562,-0.31,0.22,-0.17,-1,33.9,0.373,0
21:40.593,0.12,0.63,-0.98,-1,33.9,0.37,0
21:40.625,-1.22,1.22,-1.32,-1,33.9,0.367,0
21:40.656,0.33,-0.19,-1.18,-1,33.9,0.365,0
21:40.687,0.23,1.15,-1.5,-1,34.1,0.357,0
21:40.718,-0.07,0.28,-0.78,-1,33.9,0.354,0
21:40.750,-0.12,0.45,-0.55,-1,33.9,0.354,0
21:40.781,-0.1,0.48,-0.45,-1,34.1,0.354,0
21:40.812,-0.19,0.26,-0.27,-1,34.1,0.354,0
21:40.843,-0.28,0.26,-0.19,-1,33.9,0.354,0
21:40.875,-0.31,0.2,-0.06,-1,34.1,0.354,0
21:40.906,-0.3,0.17,0.07,-1,33.9,0.357,0
21:40.937,-0.36,0.06,0.2,-1,34.1,0.354,0
21:40.968,-0.28,0.28,0.2,-1,33.9,0.36,0
21:41.000,0.08,0.42,-0.61,-1,33.9,0.36,0
21:41.031,-2.31,1.54,-1.95,-1,33.9,0.36,0
21:41.062,0.49,-0.49,-0.58,-1,33.9,0.36,0
21:41.093,0.16,1.04,-1.32,-1,33.9,0.36,0
21:41.125,0.2,0.34,-0.72,-1,33.9,0.36,0
21:41.156,0.06,0.38,-0.72,-1,34.1,0.36,0
21:41.187,0.04,0.41,-0.53,-1,33.9,0.36,0
21:41.218,-0.05,0.43,-0.56,-1,33.9,0.365,0
21:41.250,-0.11,0.44,-0.57,-1,34.1,0.365,0
21:41.281,-0.13,0.49,-0.63,-1,33.9,0.367,0
21:41.312,-0.15,0.49,-0.63,-1,34.1,0.367,0
21:41.343,-0.14,0.5,-0.67,-1,34.1,0.367,0
21:41.375,-0.18,0.53,-0.71,-1,34.1,0.367,0
21:41.406,-0.21,0.5,-0.68,-1,34.1,0.367,0
21:41.437,-0.2,0.54,-0.7,-1,33.9,0.365,0
21:41.468,-0.18,0.53,-0.76,-1,33.9,0.367,0
21:41.500,-0.18,0.51,-0.78,-1,34.1,0.367,0
21:41.531,-0.17,0.52,-0.79,-1,33.9,0.365,0
21:41.562,-0.17,0.58,-0.82,-1,34.1,0.365,0
21:41.593,-0.14,0.5,-0.82,-1,33.9,0.365,0
21:41.625,-0.13,0.49,-0.81,-1,34.1,0.365,0
21:41.656,-0.13,0.54,-0.79,-1,33.9,0.365,0
21:41.687,-0.12,0.5,-0.78,-1,33.9,0.365,0
21:41.718,-0.11,0.44,-0.78,-1,33.9,0.365,0
21:41.750,-0.1,0.5,-0.77,-1,33.9,0.365,0
21:41.781,-0.11,0.52,-0.79,-1,34.1,0.365,0
21:41.812,-0.11,0.46,-0.75,-1,33.9,0.365,0
21:41.843,-0.11,0.48,-0.77,-1,34.1,0.362,0
21:41.875,-0.09,0.51,-0.79,-1,33.9,0.365,0
21:41.906,-0.12,0.48,-0.77,-1,33.9,0.365,0
21:41.937,-0.14,0.47,-0.75,-1,33.9,0.365,0
21:41.968,-0.14,0.48,-0.74,-1,34.1,0.365,0
21:42.000,-0.11,0.51,-0.78,-1,33.9,0.365,0
21:42.031,-0.11,0.5,-0.8,-1,33.9,0.362,0
21:42.062,-0.13,0.48,-0.76,-1,34.1,0.365,0
21:42.093,-0.14,0.49,-0.76,-1,33.9,0.365,0
21:42.125,-0.15,0.49,-0.75,-1,34.1,0.365,0
21:42.156,-0.14,0.5,-0.76,-1,33.9,0.367,0
21:42.187,-0.12,0.5,-0.78,-1,33.9,0.367,0
21:42.218,-0.13,0.51,-0.79,-1,33.9,0.367,0
21:42.250,-0.14,0.48,-0.76,-1,33.9,0.367,0
21:42.281,-0.14,0.5,-0.76,-1,33.9,0.367,0
21:42.312,-0.13,0.5,-0.77,-1,34.1,0.367,0
21:42.343,-0.14,0.48,-0.75,-1,33.9,0.37,0
21:42.375,-0.14,0.5,-0.77,-1,33.9,0.37,0
21:42.406,-0.14,0.5,-0.78,-1,33.9,0.37,0
21:42.437,-0.14,0.48,-0.77,-1,33.9,0.37,0
21:42.468,-0.14,0.5,-0.76,-1,33.9,0.373,0
21:42.500,-0.14,0.51,-0.79,-1,34.1,0.373,0
21:42.531,-0.14,0.5,-0.79,-1,34.1,0.376,0
21:42.562,-0.14,0.48,-0.77,-1,33.9,0.376,0
21:42.593,-0.16,0.5,-0.77,-1,33.9,0.376,0
21:42.625,-0.14,0.49,-0.75,-1,33.9,0.376,0
21:42.656,-0.14,0.5,-0.77,-1,34.1,0.381,0
21:42.687,-0.14,0.48,-0.75,-1,34.1,0.378,0
21:42.718,-0.14,0.5,-0.78,-1,33.9,0.381,0
21:42.750,-0.15,0.49,-0.78,-1,34.1,0.381,0
21:42.781,-0.14,0.45,-0.76,-1,33.9,0.381,0
21:42.812,-0.16,0.49,-0.77,-1,34.1,0.383,0
21:42.843,-0.15,0.49,-0.76,-1,34.1,0.383,0
21:42.875,-0.14,0.52,-0.81,-1,34.1,0.383,0
21:42.906,-0.14,0.48,-0.83,-1,33.9,0.386,0
21:42.937,-0.15,0.42,-0.78,-1,33.9,0.386,0
21:42.968,-0.17,0.46,-0.75,-1,33.9,0.386,0
21:43.000,-0.15,0.49,-0.76,-1,33.9,0.386,0
21:43.031,-0.13,0.49,-0.8,-1,33.9,0.386,0
21:43.062,-0.14,0.47,-0.79,-1,34.1,0.386,0
21:43.093,-0.17,0.46,-0.75,-1,34.1,0.39,0
21:43.125,-0.16,0.48,-0.75,-1,33.9,0.392,0
21:43.156,-0.15,0.47,-0.78,-1,33.9,0.392,0
21:43.187,-0.14,0.47,-0.77,-1,33.9,0.392,0
21:43.218,-0.16,0.47,-0.77,-1,34.1,0.392,0
21:43.250,-0.16,0.48,-0.76,-1,34.1,0.394,0
21:43.281,-0.16,0.48,-0.78,-1,33.9,0.394,0
21:43.312,-0.16,0.48,-0.8,-1,34.1,0.394,0
21:43.343,-0.17,0.46,-0.77,-1,33.9,0.397,0
21:43.375,-0.18,0.48,-0.76,-1,34.1,0.397,0
21:43.406,-0.18,0.46,-0.74,-1,33.9,0.4,0
21:43.437,-0.17,0.5,-0.76,-1,33.9,0.4,0
21:43.468,-0.15,0.49,-0.79,-1,33.9,0.4,0
21:43.500,-0.17,0.46,-0.78,-1,33.9,0.405,0
21:43.531,-0.18,0.47,-0.76,-1,33.9,0.405,0
21:43.562,-0.16,0.47,-0.77,-1,33.9,0.405,0
21:43.593,-0.15,0.49,-0.79,-1,33.9,0.405,0
21:43.625,-0.17,0.47,-0.78,-1,33.9,0.408,0
21:43.656,-0.18,0.47,-0.77,-1,33.9,0.408,0
21:43.687,-0.17,0.47,-0.78,-1,33.9,0.408,0
21:43.718,-0.17,0.46,-0.78,-1,33.9,0.414,0
21:43.750,-0.17,0.47,-0.77,-1,33.9,0.414,0
