Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
21:50.937,-0.16,0.53,-0.74,-1,33.9,0.365,0
21:50.968,-0.16,0.52,-0.73,-1,33.9,0.362,0
21:51.000,-0.17,0.5,-0.7,-1,33.9,0.362,0
21:51.031,-0.17,0.5,-0.7,-1,33.9,0.362,0
21:51.062,-0.18,0.52,-0.7,-1,33.9,0.365,0
21:51.093,-0.19,0.51,-0.68,-1,33.9,0.362,0
21:51.125,-0.18,0.5,-0.69,-1,33.9,0.36,0
21:51.156,-0.19,0.5,-0.66,-1,33.9,0.362,0
21:51.187,-0.21,0.5,-0.65,-1,33.9,0.362,0
21:51.218,-0.2,0.51,-0.65,-1,33.9,0.36,0
21:51.250,-0.16,0.52,-0.66,-1,33.9,0.36,0
21:51.281,-0.15,0.5,-0.68,-1,33.9,0.36,0
21:51.312,-0.16,0.49,-0.65,-1,33.9,0.36,0
21:51.343,-0.19,0.5,-0.63,-1,33.9,0.36,0
21:51.375,-0.21,0.32,-0.61,-1,33.9,0.36,0
21:51.406,-0.11,0.41,-0.62,-1,33.9,0.36,0
21:51.437,-0.03,0.51,-0.93,-1,33.9,0.357,0
21:51.468,0.36,0.19,-1.5,-1,33.9,0.354,0
21:51.500,-0.04,0.95,-1.19,-1,33.9,0.354,0
21:51.531,-0.11,0.36,-0.87,-1,33.9,0.351,0
21:51.562,0.06,0.34,-0.88,-1,33.9,0.351,0
21:51.593,0.02,0.53,-0.77,-1,33.9,0.349,0
21:51.625,-0.08,0.51,-0.71,-1,33.9,0.346,0
21:51.656,-0.09,0.35,-0.64,-1,33.9,0.349,0
21:51.687,-0.09,0.32,-0.62,-1,33.9,0.349,0
21:51.718,-0.09,0.4,-0.59,-1,33.9,0.351,0
21:51.750,-0.13,0.42,-0.59,-1,33.9,0.351,0
21:51.781,-0.12,0.38,-0.61,-1,33.9,0.351,0
21:51.812,-0.11,0.31,-0.61,-1,33.9,0.351,0
21:51.843,-0.16,0.41,-0.65,-1,33.9,0.351,0
21:51.875,0,0.67,-1.2,-1,33.9,0.349,0
21:51.906,0.26,1.16,-1.54,-1,33.9,0.346,0
21:51.937,-0.05,0.31,-0.89,-1,33.9,0.349,0
21:51.968,0,0.4,-0.88,-1,33.9,0.344,0
21:52.000,-0.03,0.58,-0.83,-1,33.9,0.344,0
21:52.031,-0.09,0.28,-0.67,-1,33.9,0.346,0
21:52.062,-0.07,0.3,-0.51,-1,33.9,0.349,0
21:52.093,-0.12,0.38,-0.44,-1,33.9,0.346,0
21:52.125,-0.2,0.36,-0.45,-1,33.9,0.349,0
21:52.156,-0.19,0.26,-0.35,-1,33.9,0.349,0
21:52.187,-0.15,0.46,-0.51,-1,33.9,0.349,0
21:52.218,0.07,0.6,-1.87,-1,33.9,0.346,0
21:52.250,0.29,0.96,-1.28,-1,33.9,0.344,0
21:52.281,-0.11,0.27,-1.01,-1,33.9,0.344,0
21:52.312,0,0.41,-0.81,-1,33.9,0.344,0
21:52.343,-0.04,0.49,-0.68,-1,33.9,0.344,0
21:52.375,-0.1,0.44,-0.53,-1,33.9,0.344,0
21:52.406,-0.14,0.31,-0.4,-1,33.9,0.346,0
21:52.437,-0.17,0.32,-0.32,-1,33.9,0.349,0
21:52.468,-0.19,0.39,-0.38,-1,33.9,0.349,0
21:52.500,-0.17,0.37,-0.44,-1,33.9,0.349,0
21:52.531,0.39,0.42,-1.54,-1,33.9,0.349,0
21:52.562,0.42,1.04,-1.51,-1,33.9,0.349,0
21:52.593,-0.15,0.38,-0.84,-1,33.9,0.346,0
21:52.625,-0.05,0.47,-0.88,-1,33.9,0.346,0
21:52.656,0,0.5,-0.74,-1,33.9,0.349,0
21:52.687,-0.03,0.44,-0.68,-1,33.9,0.349,0
21:52.718,-0.06,0.45,-0.65,-1,33.9,0.349,0
21:52.750,-0.09,0.47,-0.68,-1,33.9,0.351,0
21:52.781,-0.11,0.43,-0.67,-1,33.9,0.354,0
21:52.812,-0.14,0.45,-0.7,-1,33.9,0.354,0
21:52.843,-0.14,0.47,-0.73,-1,33.9,0.354,0
21:52.875,-0.16,0.44,-0.71,-1,33.9,0.354,0
21:52.906,-0.18,0.5,-0.68,-1,33.9,0.354,0
21:52.937,-0.2,0.51,-0.71,-1,33.9,0.354,0
21:52.968,-0.18,0.48,-0.71,-1,33.9,0.354,0
21:53.000,-0.17,0.47,-0.73,-1,33.9,0.354,0
21:53.031,-0.17,0.49,-0.73,-1,33.9,0.354,0
21:53.062,-0.18,0.53,-0.75,-1,33.9,0.354,0
21:53.093,-0.19,0.56,-0.74,-1,33.9,0.354,0
21:53.125,-0.18,0.52,-0.7,-1,33.9,0.354,0
21:53.156,-0.17,0.54,-0.74,-1,33.9,0.354,0
21:53.187,-0.16,0.57,-0.74,-1,33.9,0.354,0
21:53.218,-0.16,0.56,-0.76,-1,33.9,0.354,0
21:53.250,-0.16,0.54,-0.77,-1,33.9,0.354,0
21:53.281,-0.16,0.53,-0.73,-1,33.9,0.354,0
21:53.312,-0.16,0.54,-0.76,-1,33.9,0.354,0
21:53.343,-0.15,0.55,-0.76,-1,33.9,0.354,0
21:53.375,-0.15,0.55,-0.75,-1,33.9,0.354,0
21:53.406,-0.15,0.53,-0.75,-1,33.9,0.354,0
21:53.437,-0.16,0.52,-0.72,-1,33.9,0.354,0
21:53.468,-0.16,0.53,-0.72,-1,33.9,0.354,0
21:53.500,-0.16,0.51,-0.72,-1,33.9,0.354,0
21:53.531,-0.14,0.53,-0.74,-1,33.9,0.351,0
21:53.562,-0.14,0.53,-0.74,-1,33.9,0.354,0
21:53.593,-0.15,0.51,-0.71,-1,33.9,0.354,0
21:53.625,-0.15,0.52,-0.74,-1,33.9,0.354,0
21:53.656,-0.14,0.51,-0.75,-1,33.9,0.354,0
21:53.687,-0.15,0.52,-0.73,-1,33.9,0.349,0
21:53.718,-0.16,0.53,-0.75,-1,33.9,0.349,0
21:53.750,-0.16,0.51,-0.72,-1,33.9,0.351,0
21:53.781,-0.16,0.52,-0.73,-1,33.9,0.351,0
21:53.812,-0.15,0.53,-0.74,-1,33.9,0.349,0
21:53.843,-0.15,0.52,-0.75,-1,33.9,0.349,0
21:53.875,-0.15,0.52,-0.73,-1,33.9,0.349,0
21:53.906,-0.15,0.53,-0.74,-1,33.9,0.349,0
21:53.937,-0.15,0.52,-0.74,-1,33.9,0.349,0
21:53.968,-0.15,0.53,-0.74,-1,33.9,0.349,0
21:54.000,-0.15,0.52,-0.75,-1,33.9,0.349,0
21:54.031,-0.15,0.52,-0.72,-1,33.9,0.346,0
21:54.062,-0.16,0.53,-0.74,-1,33.9,0.349,0
21:54.093,-0.14,0.53,-0.74,-1,33.9,0.349,0
21:54.125,-0.15,0.52,-0.75,-1,33.9,0.349,0
21:54.156,-0.16,0.51,-0.74,-1,33.9,0.346,0
21:54.187,-0.16,0.52,-0.75,-1,33.9,0.349,0
21:54.218,-0.14,0.53,-0.75,-1,33.9,0.349,0
21:54.250,-0.15,0.51,-0.75,-1,33.9,0.349,0
21:54.281,-0.16,0.52,-0.76,-1,33.9,0.349,0
21:54.312,-0.16,0.5,-0.73,-1,33.9,0.346,0
21:54.343,-0.16,0.51,-0.74,-1,33.9,0.349,0
21:54.375,-0.15,0.53,-0.76,-1,33.9,0.349,0
21:54.406,-0.15,0.52,-0.76,-1,33.9,0.346,0
21:54.437,-0.15,0.51,-0.74,-1,33.9,0.346,0
21:54.468,-0.17,0.52,-0.74,-1,33.9,0.349,0
21:54.500,-0.17,0.5,-0.71,-1,33.9,0.344,0
21:54.531,-0.17,0.54,-0.76,-1,33.9,0.346,0
21:54.562,-0.15,0.53,-0.77,-1,33.9,0.346,0
21:54.593,-0.15,0.5,-0.76,-1,33.9,0.344,0
21:54.625,-0.17,0.51,-0.74,-1,33.9,0.344,0
21:54.656,-0.17,0.51,-0.73,-1,33.9,0.346,0
21:54.687,-0.16,0.51,-0.74,-1,33.9,0.344,0
21:54.718,-0.15,0.51,-0.73,-1,33.9,0.344,0
21:54.750,-0.17,0.5,-0.73,-1,33.9,0.344,0
21:54.781,-0.17,0.53,-0.74,-1,33.9,0.344,0
21:54.812,-0.17,0.51,-0.75,-1,33.9,0.344,0
21:54.843,-0.16,0.51,-0.74,-1,33.9,0.344,0
21:54.875,-0.17,0.52,-0.74,-1,33.9,0.344,0
21:54.906,-0.16,0.52,-0.74,-1,33.9,0.344,0
21:54.937,-0.15,0.53,-0.76,-1,33.9,0.344,0
21:54.968,-0.16,0.52,-0.75,-1,33.9,0.344,0
21:55.000,-0.17,0.52,-0.74,-1,33.9,0.344,0
21:55.031,-0.16,0.52,-0.73,-1,33.9,0.344,0
21:55.062,-0.15,0.53,-0.75,-1,33.9,0.344,0
21:55.093,-0.15,0.52,-0.76,-1,33.9,0.344,0
21:55.125,-0.16,0.52,-0.74,-1,33.9,0.344,0
21:55.156,-0.17,0.52,-0.76,-1,33.9,0.344,0
21:55.187,-0.17,0.5,-0.75,-1,33.9,0.344,0
21:55.218,-0.17,0.5,-0.73,-1,33.9,0.344,0
21:55.250,-0.17,0.52,-0.75,-1,33.9,0.342,0
21:55.281,-0.17,0.51,-0.75,-1,33.9,0.344,0
21:55.312,-0.16,0.5,-0.74,-1,33.9,0.344,0
21:55.343,-0.17,0.5,-0.74,-1,33.9,0.344,0
21:55.375,-0.17,0.52,-0.74,-1,33.9,0.339,0
21:55.406,-0.17,0.5,-0.75,-1,33.9,0.339,0
21:55.437,-0.16,0.51,-0.75,-1,33.9,0.339,0
21:55.468,-0.17,0.5,-0.74,-1,33.9,0.339,0
21:55.500,-0.17,0.53,-0.74,-1,33.9,0.339,0
21:55.531,-0.17,0.51,-0.74,-1,33.9,0.342,0
21:55.562,-0.17,0.51,-0.76,-1,33.9,0.339,0
21:55.593,-0.18,0.5,-0.75,-1,33.9,0.341,0
