Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
19:58.250,-0.21,0.39,-0.82,-1,35.2,0.295,0
19:58.281,-0.21,0.39,-0.82,-1,35.2,0.298,0
19:58.312,-0.2,0.39,-0.82,-1,35.2,0.298,0
19:58.343,-0.21,0.37,-0.79,-1,35.2,0.298,0
19:58.375,-0.21,0.38,-0.77,-1,35.2,0.298,0
19:58.406,-0.21,0.41,-0.79,-1,35.2,0.3,0
19:58.437,-0.21,0.36,-0.77,-1,35.2,0.3,0
19:58.468,-0.2,0.32,-0.75,-1,35.2,0.3,0
19:58.500,-0.2,0.39,-0.78,-1,35.2,0.303,0
19:58.531,-0.18,0.36,-0.77,-1,34.9,0.3,0
19:58.562,-0.18,0.33,-0.74,-1,35.2,0.303,0
19:58.593,-0.19,0.33,-0.66,-1,35.2,0.303,0
19:58.625,-0.16,0.41,-0.87,-1,35.2,0.303,0
19:58.656,-0.08,0.33,-0.78,-1,34.9,0.303,0
19:58.687,-0.1,0.29,-0.7,-1,34.9,0.303,0
19:58.718,-0.18,0.3,-0.62,-1,35.2,0.303,0
19:58.750,-0.22,0.31,-0.71,-1,35.2,0.303,0
19:58.781,0.41,0.07,-1.28,-1,35.2,0.306,0
19:58.812,-0.23,0.55,-1.15,-1,34.9,0.303,0
19:58.843,-0.11,0.35,-0.63,-1,35.2,0.303,0
19:58.875,0.06,0.31,-0.83,-1,35.2,0.303,0
19:58.906,0.11,0.45,-0.94,-1,35.2,0.303,0
19:58.937,0.13,0.46,-1.01,-1,35.2,0.303,0
19:58.968,0.05,0.38,-1.03,-1,35.2,0.303,0
19:59.000,-0.02,0.35,-0.95,-1,35.2,0.303,0
19:59.031,-0.09,0.36,-0.87,-1,35.2,0.303,0
19:59.062,-0.13,0.34,-0.75,-1,35.2,0.303,0
19:59.093,-0.15,0.3,-0.65,-1,35.2,0.303,0
19:59.125,-0.17,0.3,-0.56,-1,35.2,0.303,0
19:59.156,-0.21,0.3,-0.52,-1,35.2,0.303,0
19:59.187,-0.22,0.3,-0.47,-1,35.2,0.308,0
19:59.218,-0.22,0.29,-0.5,-1,35.2,0.308,0
19:59.250,-0.22,0.22,-0.5,-1,34.9,0.308,0
19:59.281,-0.24,0.31,-0.48,-1,34.9,0.308,0
19:59.312,-0.1,0.53,-0.87,-1,34.9,0.308,0
19:59.343,0.86,1.95,-3.02,-1,35.2,0.303,0
19:59.375,-0.28,0.02,-0.62,-1,35.2,0.303,0
19:59.406,-0.03,0.35,-0.97,-1,35.2,0.303,0
19:59.437,0.02,0.44,-0.93,-1,35.2,0.303,0
19:59.468,0.01,0.46,-0.91,-1,34.9,0.303,0
19:59.500,-0.03,0.41,-0.83,-1,35.2,0.303,0
19:59.531,-0.05,0.39,-0.77,-1,34.9,0.303,0
19:59.562,-0.09,0.35,-0.69,-1,34.9,0.303,0
19:59.593,-0.12,0.35,-0.67,-1,34.9,0.303,0
19:59.625,-0.14,0.33,-0.62,-1,35.2,0.303,0
19:59.656,-0.16,0.27,-0.55,-1,34.9,0.303,0
19:59.687,-0.19,0.32,-0.52,-1,35.2,0.303,0
19:59.718,-0.19,0.4,-0.64,-1,34.9,0.303,0
19:59.750,-0.13,0.25,-0.56,-1,35.2,0.303,0
19:59.781,-0.14,0.19,-0.48,-1,35.2,0.303,0
19:59.812,-0.11,0.47,-0.98,-1,35.2,0.303,0
19:59.843,0.3,0.55,-1.28,-1,34.9,0.303,0
19:59.875,-0.36,0.55,-1.08,-1,35.2,0.3,0
19:59.906,-0.14,0.39,-0.79,-1,35.2,0.3,0
19:59.937,0,0.35,-0.91,-1,35.2,0.3,0
19:59.968,0.06,0.53,-0.99,-1,35.2,0.3,0
20:00.000,0.03,0.43,-0.9,-1,35.2,0.298,0
20:00.031,0,0.41,-0.82,-1,35.2,0.298,0
20:00.062,-0.03,0.38,-0.76,-1,34.9,0.298,0
20:00.093,-0.09,0.38,-0.68,-1,34.9,0.295,0
20:00.125,-0.14,0.38,-0.65,-1,34.9,0.298,0
20:00.156,-0.16,0.35,-0.62,-1,35.2,0.299,0
20:00.187,-0.17,0.33,-0.59,-1,35.4,0.298,0
20:00.218,-0.17,0.31,-0.52,-1,35.4,0.295,0
20:00.250,-0.19,0.35,-0.61,-1,35.4,0.295,0
20:00.281,-0.21,0.28,-0.58,-1,35.4,0.298,0
20:00.312,-0.21,0.3,-0.55,-1,35.4,0.295,0
20:00.343,-0.13,0.48,-0.95,-1,35.4,0.295,0
20:00.375,0.16,2.2,-2.65,-1,35.4,0.293,0
20:00.406,-0.15,0.22,-0.68,-1,35.4,0.293,0
20:00.437,0.02,0.35,-0.79,-1,35.4,0.29,0
20:00.468,0.05,0.36,-0.82,-1,35.4,0.29,0
20:00.500,0.04,0.46,-0.9,-1,35.2,0.29,0
20:00.531,0,0.38,-0.86,-1,35.4,0.288,0
20:00.562,-0.02,0.4,-0.81,-1,35.4,0.288,0
20:00.593,-0.05,0.4,-0.8,-1,35.2,0.288,0
20:00.625,-0.07,0.39,-0.77,-1,35.2,0.285,0
20:00.656,-0.08,0.42,-0.81,-1,35.4,0.288,0
20:00.687,-0.1,0.41,-0.79,-1,35.4,0.288,0
20:00.718,-0.09,0.39,-0.8,-1,35.2,0.288,0
20:00.750,-0.12,0.38,-0.75,-1,35.2,0.285,0
20:00.781,-0.1,0.45,-0.84,-1,35.4,0.285,0
20:00.812,-0.14,0.39,-0.78,-1,34.9,0.287,0
20:00.843,-0.15,0.39,-0.77,-1,34.9,0.285,0
20:00.875,-0.15,0.4,-0.78,-1,34.9,0.285,0
20:00.906,-0.14,0.37,-0.79,-1,35.2,0.285,0
20:00.937,-0.12,0.44,-0.85,-1,35.2,0.285,0
20:00.968,-0.11,0.41,-0.82,-1,34.9,0.283,0
20:01.000,-0.13,0.4,-0.82,-1,34.9,0.285,0
20:01.031,-0.14,0.42,-0.81,-1,34.9,0.285,0
20:01.062,-0.14,0.42,-0.81,-1,34.9,0.283,0
20:01.093,-0.13,0.41,-0.82,-1,34.9,0.285,0
20:01.125,-0.11,0.44,-0.84,-1,34.9,0.283,0
20:01.156,-0.1,0.4,-0.84,-1,35.2,0.283,0
20:01.187,-0.11,0.42,-0.82,-1,34.9,0.286,0
20:01.218,-0.12,0.4,-0.79,-1,34.9,0.283,0
20:01.250,-0.12,0.44,-0.82,-1,34.9,0.283,0
20:01.281,-0.1,0.43,-0.85,-1,34.9,0.285,0
20:01.312,-0.09,0.41,-0.81,-1,34.9,0.285,0
20:01.343,-0.1,0.44,-0.86,-1,34.9,0.286,0
20:01.375,-0.1,0.43,-0.83,-1,34.9,0.285,0
20:01.406,-0.09,0.43,-0.85,-1,34.9,0.288,0
20:01.437,-0.09,0.42,-0.85,-1,34.9,0.285,0
20:01.468,-0.1,0.42,-0.85,-1,34.9,0.288,0
20:01.500,-0.08,0.43,-0.83,-1,34.9,0.286,0
20:01.531,-0.08,0.41,-0.82,-1,35.2,0.288,0
20:01.562,-0.1,0.41,-0.8,-1,34.9,0.288,0
20:01.593,-0.1,0.43,-0.8,-1,34.9,0.285,0
20:01.625,-0.11,0.4,-0.8,-1,34.9,0.288,0
20:01.656,-0.1,0.43,-0.79,-1,34.9,0.288,0
