Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
20:15.718,-0.16,0.48,-0.81,-1,34.7,0.283,0
20:15.750,-0.15,0.47,-0.8,-1,34.7,0.283,0
20:15.781,-0.16,0.46,-0.78,-1,34.7,0.283,0
20:15.812,-0.16,0.44,-0.75,-1,34.7,0.283,0
20:15.843,-0.16,0.45,-0.76,-1,34.7,0.283,0
20:15.875,-0.16,0.43,-0.72,-1,34.7,0.283,0
20:15.906,-0.16,0.42,-0.7,-1,34.7,0.283,0
20:15.937,-0.15,0.45,-0.78,-1,34.7,0.283,0
20:15.968,-0.08,0.46,-0.81,-1,34.9,0.283,0
20:16.000,-0.07,0.42,-0.79,-1,34.7,0.283,0
20:16.031,-0.09,0.51,-0.91,-1,34.9,0.283,0
20:16.062,-0.05,0.5,-0.89,-1,34.7,0.283,0
20:16.093,-0.05,0.46,-0.89,-1,34.7,0.283,0
20:16.125,-0.09,0.5,-0.85,-1,34.7,0.283,0
20:16.156,-0.1,0.5,-0.84,-1,34.7,0.283,0
20:16.187,-0.1,0.46,-0.81,-1,34.7,0.283,0
20:16.218,-0.09,0.46,-0.8,-1,34.7,0.283,0
20:16.250,-0.09,0.46,-0.79,-1,34.9,0.283,0
20:16.281,-0.09,0.46,-0.8,-1,34.7,0.283,0
20:16.312,-0.09,0.45,-0.79,-1,34.9,0.283,0
20:16.343,-0.09,0.45,-0.81,-1,34.7,0.283,0
20:16.375,-0.08,0.46,-0.81,-1,34.7,0.283,0
20:16.406,-0.1,0.45,-0.8,-1,34.7,0.283,0
20:16.437,-0.1,0.45,-0.8,-1,34.7,0.283,0
20:16.468,-0.1,0.45,-0.8,-1,34.7,0.283,0
20:16.500,-0.1,0.45,-0.8,-1,34.7,0.283,0
20:16.531,-0.11,0.45,-0.79,-1,34.7,0.283,0
20:16.562,-0.1,0.46,-0.79,-1,34.7,0.283,0
20:16.593,-0.1,0.46,-0.8,-1,34.7,0.283,0
20:16.625,-0.11,0.45,-0.79,-1,34.7,0.283,0
20:16.656,-0.12,0.45,-0.79,-1,34.9,0.283,0
20:16.687,-0.12,0.44,-0.77,-1,34.7,0.283,0
20:16.718,-0.12,0.45,-0.8,-1,34.9,0.283,0
20:16.750,-0.12,0.46,-0.78,-1,34.7,0.283,0
20:16.781,-0.12,0.42,-0.77,-1,34.7,0.283,0
20:16.812,-0.12,0.44,-0.75,-1,34.7,0.283,0
20:16.843,-0.12,0.44,-0.77,-1,34.7,0.283,0
20:16.875,-0.1,0.43,-0.79,-1,34.7,0.283,0
20:16.906,-0.1,0.43,-0.78,-1,34.7,0.283,0
20:16.937,-0.11,0.45,-0.75,-1,34.7,0.283,0
20:16.968,-0.12,0.39,-0.66,-1,34.7,0.283,0
20:17.000,-0.12,0.38,-0.61,-1,34.7,0.283,0
20:17.031,-0.16,0.35,-0.72,-1,34.7,0.283,0
20:17.062,-0.06,0.33,-0.57,-1,34.7,0.283,0
20:17.093,0.41,0.54,-1.01,-1,34.7,0.283,0
20:17.125,-0.12,0.72,-1.28,-1,34.7,0.283,0
20:17.156,-0.12,0.45,-0.74,-1,34.7,0.283,0
20:17.187,0.05,0.31,-0.73,-1,34.7,0.283,0
20:17.218,0.11,0.51,-0.88,-1,34.7,0.283,0
20:17.250,0.11,0.42,-0.81,-1,34.7,0.283,0
20:17.281,0.07,0.49,-0.9,-1,34.7,0.278,0
20:17.312,0,0.45,-0.95,-1,34.7,0.28,0
20:17.343,-0.03,0.43,-0.87,-1,34.7,0.278,0
20:17.375,-0.04,0.5,-0.88,-1,34.7,0.28,0
20:17.406,-0.03,0.44,-0.85,-1,34.7,0.278,0
20:17.437,-0.08,0.41,-0.8,-1,34.7,0.278,0
20:17.468,-0.13,0.41,-0.81,-1,34.7,0.278,0
20:17.500,-0.15,0.39,-0.77,-1,34.7,0.28,0
20:17.531,-0.16,0.39,-0.74,-1,34.7,0.278,0
20:17.562,-0.17,0.37,-0.72,-1,34.7,0.28,0
20:17.593,-0.19,0.31,-0.66,-1,34.7,0.283,0
