Time,Z-axis,Y-axis,X-axis,Celsius,EDA(uS)
01:33.8,-0.09,0.34,0.82,33.5,0.556
01:33.8,-0.06,0.36,0.85,33.7,0.556
01:33.9,-0.01,0.65,0.96,33.5,0.552
01:33.9,-0.12,0.57,1.33,33.5,0.556
01:33.9,0.57,2.7,3.5,33.7,0.559
01:34.0,-0.46,-1.24,0.73,33.7,0.556
01:34.0,-0.01,0.22,1.18,33.7,0.559
01:34.0,0.04,0.44,0.95,33.5,0.558
01:34.1,0.01,0.14,0.75,33.5,0.556
01:34.1,-0.02,0.08,0.57,33.5,0.556
01:34.1,0.02,0.23,0.82,33.7,0.558
01:34.2,0.04,0.5,0.96,33.5,0.552
01:34.2,-0.15,0.28,1.08,33.7,0.537
01:34.2,-0.01,-0.32,0.51,33.5,0.546
01:34.3,0.55,0.45,1.95,33.7,0.552
01:34.3,0.09,0.5,0.87,33.7,0.56
01:34.3,0.1,0.41,1.04,33.5,0.563
01:34.3,0.04,0.42,0.89,33.5,0.565
01:34.4,-0.02,0.33,0.93,33.5,0.567
01:34.4,-0.06,0.15,0.79,33.5,0.563
01:34.4,-0.05,0.17,0.76,33.5,0.559
01:34.5,-0.04,0.23,0.87,33.7,0.556
01:34.5,-0.08,0.68,1.36,33.5,0.552
01:34.5,-0.48,-0.92,3.77,33.5,0.552
01:34.6,-0.98,-1.5,1.53,33.7,0.542
01:34.6,-0.17,-0.05,0.82,33.7,0.53
01:34.6,0.19,0.56,1.23,33.5,0.537
01:34.7,0.12,0.6,1.11,33.5,0.537
01:34.7,-0.02,0.18,0.88,33.5,0.533
01:34.7,-0.03,0.12,0.63,33.5,0.531
01:34.8,-0.02,0.22,0.57,33.5,0.526
01:34.8,0,0.29,0.63,33.5,0.524
01:34.8,-0.06,0.65,1.25,33.5,0.517
01:34.8,-0.76,-1.28,3.8,33.5,0.52
01:34.9,-0.97,-2.17,1.62,33.5,0.492
01:34.9,-0.19,-0.02,0.61,33.5,0.488
01:34.9,0.15,0.41,0.95,33.5,0.488
01:35.0,0.1,0.48,1.14,33.5,0.489
01:35.0,0.03,0.48,1,33.5,0.492
01:35.0,0.02,0.58,0.91,33.5,0.501
