Time,Z-axis,Y-axis,X-axis,Celsius,EDA(uS)
01:03.2,-0.07,0.39,0.9,33.9,0.459
01:03.2,-0.06,0.41,0.83,33.9,0.457
01:03.3,-0.06,0.46,0.83,33.9,0.451
01:03.3,0,0.71,1.23,34.1,0.449
01:03.3,-0.1,0.52,1.22,33.9,0.451
01:03.3,0.33,0.1,2.36,33.9,0.457
01:03.4,0,0.29,1.3,33.9,0.457
01:03.4,-0.09,0.55,1.1,33.9,0.457
01:03.4,-0.1,-0.03,0.59,34.1,0.457
01:03.5,-0.17,-0.06,0.46,33.9,0.455
01:03.5,0.37,0.46,1.08,33.9,0.428
01:03.5,0.11,0.56,0.9,34.1,0.404
01:03.6,-0.02,1.25,3.83,33.9,0.404
01:03.6,-0.62,-0.8,1.74,33.9,0.416
01:03.6,-0.04,0.26,0.68,34.1,0.433
01:03.7,0.04,0.26,0.5,34.1,0.445
01:03.7,0,0.08,0.64,33.9,0.449
01:03.7,0.11,0.13,0.75,33.9,0.425
01:03.8,-0.72,-0.14,4.34,33.9,0.411
01:03.8,-1.11,-1.76,2.02,33.9,0.396
01:03.8,-0.07,-0.42,0.44,33.9,0.398
01:03.8,0.11,0.51,0.73,33.9,0.392
01:03.9,0,0.24,0.91,34.1,0.396
01:03.9,0.03,0.16,0.92,34.1,0.39
01:03.9,0.15,0.2,0.77,33.9,0.387
01:04.0,0.68,1.36,1.69,34.1,0.37
01:04.0,-0.01,0.92,0.95,34.1,0.342
01:04.0,0,0.37,1.22,33.9,0.326
01:04.1,0.04,0.58,1.23,33.9,0.318
01:04.1,-0.05,0.23,1,33.9,0.315
01:04.1,-0.05,0.28,0.95,33.9,0.322
01:04.2,-0.04,0.33,0.96,33.9,0.339
01:04.2,-0.07,0.29,0.99,33.9,0.353
01:04.2,-0.08,0.31,1,34.1,0.367
