Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
01:11.6,-0.08,0.49,1,33.9,0.52
01:11.6,-0.05,0.45,0.96,33.9,0.517
01:11.7,-0.08,0.44,0.78,33.9,0.52
01:11.7,-0.09,0.36,0.75,33.9,0.52
01:11.7,-0.06,0.28,0.76,33.7,0.52
01:11.7,0,0.37,0.66,33.9,0.517
01:11.8,0.03,0.57,0.86,33.9,0.498
01:11.8,-0.16,0.25,0.77,33.9,0.494
01:11.8,1.37,3.15,2.1,33.9,0.483
01:11.9,0.47,0.02,0.06,33.9,0.455
01:11.9,0.04,0.89,1.02,33.9,0.457
01:11.9,-0.04,0.25,1.04,33.9,0.464
01:12.0,-0.12,-0.04,0.88,33.9,0.467
01:12.0,-0.02,0.18,0.96,33.9,0.467
01:12.0,0.1,0.14,0.68,33.9,0.465
01:12.1,0.03,0.19,0.47,33.9,0.456
01:12.1,0.1,0.5,0.65,33.7,0.449
01:12.1,0,0.27,0.71,33.7,0.449
01:12.2,0.91,0.24,2.27,33.9,0.414
01:12.2,0.09,0.81,1.18,33.7,0.391
01:12.2,0.04,0.7,1.39,33.9,0.381
01:12.3,0.01,0.57,1.14,33.9,0.387
01:12.3,0.06,0.35,0.86,33.9,0.392
01:12.3,0.01,0.19,0.49,33.7,0.399
01:12.4,-0.12,-0.07,0.23,33.9,0.404
01:12.4,-0.05,0.06,0.4,33.9,0.407
01:12.4,-0.02,0.3,0.77,33.7,0.405
01:12.5,0.12,0.27,1,33.9,0.42
01:12.5,1.33,0.47,1.37,33.9,0.405
01:12.5,-0.26,0,0.02,33.9,0.396
01:12.6,0.16,0.69,1.18,33.9,0.392
01:12.6,0.14,0.67,1.16,33.9,0.387
01:12.6,0,0.58,1.01,33.9,0.373
01:12.7,-0.08,0.21,0.8,33.9,0.369
01:12.7,-0.08,0,0.53,33.9,0.369
01:12.7,-0.02,0.06,0.43,33.9,0.377
01:12.8,0,0.38,0.62,33.9,0.381
01:12.8,-1.24,-1.69,2.64,33.7,0.353
01:12.8,-0.52,-0.37,0.55,33.9,0.32
01:12.9,0.27,0.76,1.09,33.9,0.296
01:12.9,0.12,0.43,1.06,33.7,0.281
01:12.9,0.02,0.37,1,33.9,0.27
