Time,Z-axis,Y-axis,X-axis,Celsius,EDA(uS)
00:49.3,-0.08,0.37,0.94,34.1,0.285
00:49.3,-0.09,0.35,0.94,34.3,0.281
00:49.3,-0.09,0.35,0.92,34.1,0.277
00:49.4,-0.04,0.38,0.92,34.3,0.268
00:49.4,-0.01,0.37,0.85,34.1,0.254
00:49.4,0,0.57,0.98,34.1,0.247
00:49.5,-0.12,0.36,1.22,34.3,0.249
00:49.5,0.04,-0.61,0.36,34.1,0.259
00:49.5,0.25,0.29,1.71,34.1,0.262
00:49.6,0,0.49,1.04,34.1,0.267
00:49.6,0,0.3,0.95,34.1,0.267
00:49.6,-0.03,0.29,0.97,34.1,0.267
00:49.7,-0.01,0.27,0.97,34.3,0.267
00:49.7,0,0.25,0.89,34.3,0.267
00:49.7,0.02,0.31,0.89,34.3,0.267
00:49.8,0.04,0.29,0.89,34.3,0.267
00:49.8,0.1,0.62,1.04,34.3,0.264
00:49.8,-0.1,0.15,1.02,34.1,0.262
00:49.8,0.54,1.21,2.94,34.1,0.261
00:49.9,-0.33,-0.43,1.35,34.1,0.256
00:49.9,0.05,0.37,0.7,34.3,0.257
00:49.9,0.1,0.45,1.01,34.3,0.256
00:50.0,0,0.3,1.14,34.1,0.254
00:50.0,-0.02,0.06,0.84,34.1,0.252
00:50.0,-0.01,0.13,0.67,34.1,0.244
00:50.1,0.13,0.45,0.89,34.3,0.217
00:50.1,-0.04,0.45,1,34.1,0.199
00:50.1,-0.88,-1.08,2.08,34.1,0.2
00:50.2,-0.02,-0.64,1.67,34.3,0.197
00:50.2,0.21,0.6,0.65,34.1,0.202
00:50.2,0.06,0.29,1.01,34.1,0.206
00:50.3,0.02,0.32,1.18,34.1,0.204
00:50.3,0,0.21,1.04,34.1,0.201
00:50.3,-0.02,0.16,0.78,34.1,0.204
00:50.3,0.08,0.25,0.72,34.1,0.201
00:50.4,0.15,0.53,0.97,34.1,0.197
00:50.4,-0.1,-0.03,0.81,34.1,0.196
00:50.4,0.79,4.43,3.24,34.1,0.202
00:50.5,-0.03,0.13,0.63,34.1,0.194
00:50.5,0.05,-0.07,0.78,34.1,0.195
00:50.5,0.16,0.42,1.16,34.1,0.195
00:50.6,0.1,0.37,1.31,34.1,0.195
00:50.6,0.07,0.37,1.15,34.1,0.197
00:50.6,0.07,0.34,1.01,34.1,0.202
00:50.7,0.06,0.41,1.02,34.1,0.207
00:50.7,0,0.42,1,34.1,0.211
00:50.7,-0.05,0.3,0.98,34.1,0.219
