Time,Z-axis,Y-axis,X-axis,Celsius,EDA(uS)
00:54.8,-0.08,0.44,1.01,34.1,0.413
00:54.8,-0.11,0.43,0.95,34.1,0.413
00:54.9,-0.12,0.38,0.93,34.1,0.414
00:54.9,-0.09,0.42,0.96,34.1,0.413
00:54.9,-0.07,0.39,0.96,34.1,0.413
00:55.0,-0.07,0.37,0.93,34.1,0.413
00:55.0,-0.08,0.36,0.92,34.1,0.413
00:55.0,-0.06,0.63,1.25,34.1,0.411
00:55.1,-0.1,0.4,1.14,34.1,0.413
00:55.1,-0.19,-0.19,1.11,34.1,0.416
00:55.1,0.18,0.27,1.62,34.1,0.427
00:55.2,-0.06,0.48,1,34.1,0.439
00:55.2,-0.07,0.19,1.02,34.1,0.442
00:55.2,-0.06,0.37,1.09,34.1,0.445
00:55.3,-0.04,0.4,1.18,34.1,0.449
00:55.3,-0.03,0.35,0.99,34.1,0.451
00:55.3,-0.05,0.43,1.04,34.1,0.452
00:55.3,-0.01,0.5,1.2,34.1,0.451
00:55.4,-0.05,0.38,1.01,34.1,0.452
00:55.4,-0.06,0.24,0.91,34.1,0.451
00:55.4,-0.05,0.29,0.93,34.1,0.449
00:55.5,-0.01,0.34,0.9,34.1,0.438
00:55.5,-0.01,0.3,0.85,34.1,0.427
00:55.5,0,0.48,1.1,34.1,0.421
00:55.6,-0.06,0.5,1.15,34.1,0.421
00:55.6,-0.06,-0.18,0.63,34.1,0.436
00:55.6,0.32,0.8,1.89,34.1,0.448
00:55.7,0.01,0.46,1,34.1,0.457
00:55.7,0.02,0.23,1,34.1,0.464
00:55.7,0,0.4,1.2,34.1,0.468
00:55.8,-0.01,0.4,1.11,34.1,0.473
00:55.8,-0.01,0.36,0.95,34.1,0.467
00:55.8,-0.02,0.41,0.93,34.1,0.464
00:55.8,-0.09,0.43,0.92,34.1,0.445
00:55.9,-0.09,0.33,0.98,34.1,0.425
00:55.9,-0.1,0.26,0.93,34.1,0.401
