Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
33:54.6,-0.14,0.26,-0.7,-1,32.2,0.075,0
33:54.6,-0.14,0.26,-0.72,-1,32.2,0.073,0
33:54.6,-0.13,0.25,-0.71,-1,32.4,0.075,0
33:54.7,-0.13,0.26,-0.71,-1,32.4,0.077,0
33:54.7,-0.13,0.25,-0.7,-1,32.2,0.075,0
33:54.7,-0.14,0.26,-0.71,-1,32.4,0.077,0
33:54.8,-0.14,0.25,-0.7,-1,32.2,0.075,0
33:54.8,-0.14,0.26,-0.71,-1,32.2,0.077,0
33:54.8,-0.14,0.26,-0.71,-1,32.4,0.075,0
33:54.8,-0.14,0.25,-0.71,-1,32.2,0.075,0
33:54.9,-0.14,0.25,-0.72,-1,32.2,0.075,0
33:54.9,-0.14,0.25,-0.71,-1,32.2,0.075,0
33:54.9,-0.14,0.25,-0.71,-1,32.2,0.075,0
33:55.0,-0.14,0.25,-0.71,-1,32.2,0.075,0
33:55.0,-0.13,0.25,-0.71,-1,32.4,0.075,0
33:55.0,-0.13,0.26,-0.71,-1,32.2,0.075,0
33:55.1,-0.14,0.25,-0.72,-1,32.2,0.075,0
33:55.1,-0.14,0.25,-0.71,-1,32.2,0.075,0
33:55.1,-0.14,0.25,-0.72,-1,32.2,0.075,0
33:55.2,-0.14,0.25,-0.71,-1,32.2,0.075,0
33:55.2,-0.13,0.26,-0.71,-1,32.4,0.075,0
33:55.2,-0.14,0.26,-0.71,-1,32.2,0.075,0
33:55.2,-0.13,0.25,-0.71,-1,32.2,0.075,0
33:55.3,-0.13,0.25,-0.71,-1,32.2,0.077,0
33:55.3,-0.13,0.24,-0.7,-1,32.2,0.075,0
33:55.3,-0.14,0.25,-0.7,-1,32.2,0.075,0
33:55.4,-0.14,0.25,-0.71,-1,32.2,0.075,0
33:55.4,-0.13,0.25,-0.72,-1,32.4,0.075,0
33:55.4,-0.14,0.26,-0.71,-1,32.2,0.075,0
33:55.5,-0.15,0.25,-0.7,-1,32.2,0.075,0
33:55.5,-0.14,0.26,-0.72,-1,32.2,0.077,0
33:55.5,-0.13,0.25,-0.71,-1,32.2,0.075,0
33:55.6,-0.14,0.25,-0.71,-1,32.2,0.075,0
33:55.6,-0.15,0.28,-0.71,-1,32.4,0.075,0
33:55.6,-0.14,0.25,-0.71,-1,32.2,0.077,0
33:55.7,-0.14,0.25,-0.71,-1,32.2,0.075,0
33:55.7,-0.14,0.25,-0.72,-1,32.2,0.077,0
33:55.7,-0.14,0.26,-0.72,-1,32.4,0.075,0
33:55.8,-0.15,0.24,-0.72,-1,32.2,0.075,0
33:55.8,-0.14,0.25,-0.71,-1,32.2,0.075,0
33:55.8,-0.14,0.24,-0.7,-1,32.2,0.075,0
33:55.8,-0.14,0.24,-0.71,-1,32.2,0.075,0
33:55.9,-0.14,0.26,-0.72,-1,32.2,0.075,0
33:55.9,-0.14,0.24,-0.69,-1,32.2,0.075,0
33:55.9,-0.14,0.25,-0.7,-1,32.2,0.075,0
33:56.0,-0.15,0.24,-0.71,-1,32.2,0.075,0
33:56.0,-0.16,0.24,-0.71,-1,32.2,0.077,0
33:56.0,-0.17,0.25,-0.71,-1,32.2,0.075,0
33:56.1,-0.2,0.24,-0.72,-1,32.2,0.075,0
33:56.1,-0.22,0.24,-0.71,-1,32.2,0.077,0
33:56.1,-0.24,0.24,-0.69,-1,32.2,0.075,0
33:56.2,-0.28,0.24,-0.74,-1,32.2,0.075,0
33:56.2,-0.28,0.22,-0.67,-1,32.2,0.075,0
33:56.2,-0.28,0.21,-0.56,-1,32.2,0.075,0
33:56.3,-0.27,0.22,-0.52,-1,32.2,0.075,0
33:56.3,-0.19,0.22,-0.62,-1,32.2,0.075,0
33:56.3,-0.17,0.18,-0.51,-1,32.2,0.077,0
33:56.3,-0.15,0.23,-0.41,-1,32.2,0.075,0
33:56.4,-0.07,0.33,-0.61,-1,32.2,0.077,0
33:56.4,0.14,0.65,-1.99,-1,32.2,0.075,0
33:56.4,0,0.25,-1.2,-1,32.4,0.075,0
33:56.5,0.1,0.29,-0.67,-1,32.2,0.077,0
33:56.5,0.09,0.13,-0.39,-1,32.2,0.077,0
33:56.5,-0.03,0.18,-0.64,-1,32.2,0.075,0
