Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
34:08.0,-0.1,0.29,-0.67,-1,32,0.073,0
34:08.0,-0.09,0.28,-0.65,-1,32.2,0.073,0
34:08.1,-0.08,0.24,-0.63,-1,32.2,0.073,0
34:08.1,-0.08,0.24,-0.65,-1,32.2,0.073,0
34:08.1,-0.09,0.24,-0.64,-1,32,0.073,0
34:08.2,-0.1,0.25,-0.64,-1,32.2,0.073,0
34:08.2,-0.09,0.27,-0.66,-1,32.2,0.073,0
34:08.2,-0.1,0.27,-0.69,-1,32.2,0.073,0
34:08.3,-0.1,0.28,-0.69,-1,32.2,0.073,0
34:08.3,-0.09,0.3,-0.69,-1,32.2,0.073,0
34:08.3,-0.1,0.32,-0.71,-1,32.2,0.073,0
34:08.3,-0.1,0.35,-0.71,-1,32,0.073,0
34:08.4,-0.11,0.33,-0.69,-1,32.2,0.073,0
34:08.4,-0.12,0.34,-0.71,-1,32,0.073,0
34:08.4,-0.11,0.33,-0.72,-1,32.2,0.073,0
34:08.5,-0.11,0.3,-0.71,-1,32,0.073,0
34:08.5,-0.11,0.32,-0.71,-1,32.2,0.073,0
34:08.5,-0.11,0.32,-0.69,-1,32.2,0.073,0
34:08.6,-0.12,0.31,-0.66,-1,32.2,0.073,0
34:08.6,-0.15,0.34,-0.68,-1,32,0.073,0
34:08.6,-0.15,0.33,-0.69,-1,32.2,0.073,0
34:08.7,-0.15,0.3,-0.66,-1,32.2,0.073,0
34:08.7,-0.14,0.28,-0.7,-1,32.2,0.073,0
34:08.7,-0.13,0.28,-0.71,-1,32.2,0.073,0
34:08.8,-0.12,0.29,-0.72,-1,32.2,0.073,0
34:08.8,-0.11,0.32,-0.74,-1,32.2,0.073,0
34:08.8,-0.09,0.29,-0.71,-1,32.2,0.073,0
34:08.8,-0.1,0.28,-0.68,-1,32.2,0.073,0
34:08.9,-0.12,0.3,-0.68,-1,32.2,0.073,0
34:08.9,-0.11,0.3,-0.66,-1,32.2,0.073,0
34:08.9,-0.12,0.28,-0.64,-1,32.2,0.073,0
34:09.0,-0.12,0.3,-0.67,-1,32,0.073,0
34:09.0,-0.1,0.3,-0.66,-1,32.2,0.073,0
34:09.0,-0.1,0.29,-0.7,-1,32,0.073,0
34:09.1,-0.09,0.32,-0.71,-1,32,0.075,0
34:09.1,-0.07,0.33,-0.71,-1,32,0.073,0
34:09.1,-0.06,0.33,-0.71,-1,32.2,0.073,0
34:09.2,-0.06,0.36,-0.71,-1,32.2,0.073,0
34:09.2,-0.06,0.35,-0.7,-1,32.2,0.075,0
34:09.2,-0.06,0.34,-0.67,-1,32,0.073,0
34:09.2,-0.06,0.33,-0.68,-1,32.2,0.073,0
34:09.3,-0.06,0.32,-0.7,-1,32.2,0.073,0
34:09.3,-0.06,0.32,-0.68,-1,32.2,0.073,0
34:09.3,-0.07,0.3,-0.67,-1,32.2,0.073,0
34:09.4,-0.07,0.32,-0.69,-1,32.2,0.073,0
34:09.4,-0.06,0.3,-0.68,-1,32,0.075,0
34:09.4,-0.08,0.3,-0.69,-1,32.4,0.075,0
34:09.5,-0.1,0.32,-0.69,-1,32.4,0.073,0
34:09.5,-0.08,0.3,-0.69,-1,32.4,0.075,0
34:09.5,-0.08,0.3,-0.72,-1,32.4,0.073,0
34:09.6,-0.07,0.3,-0.7,-1,32.4,0.075,0
34:09.6,-0.08,0.31,-0.69,-1,32.4,0.075,0
34:09.6,-0.08,0.32,-0.75,-1,32.4,0.075,0
34:09.7,-0.1,0.34,-0.72,-1,32.4,0.075,0
34:09.7,-0.12,0.34,-0.67,-1,32.4,0.075,0
34:09.7,-0.14,0.37,-0.73,-1,32.4,0.073,0
34:09.7,-0.18,0.38,-0.74,-1,32.4,0.075,0
34:09.8,-0.23,0.43,-0.76,-1,32.4,0.075,0
34:09.8,-0.21,0.48,-0.72,-1,32.4,0.075,0
34:09.8,-0.23,0.39,-0.82,-1,32.2,0.075,0
34:09.9,-0.25,0.37,-0.81,-1,32.4,0.075,0
34:09.9,-0.22,0.35,-0.81,-1,32.2,0.075,0
34:09.9,-0.26,0.24,-0.73,-1,32.2,0.075,0
34:10.0,-0.3,0.38,-0.7,-1,32.4,0.075,0
34:10.0,-0.33,0.28,-0.73,-1,32.4,0.075,0
34:10.0,-0.33,0.28,-0.65,-1,32.2,0.075,0
34:10.1,-0.37,0.18,-0.54,-1,32.2,0.073,0
34:10.1,-0.39,0.16,-0.36,-1,32,0.075,0
34:10.1,-0.43,0.03,0.03,-1,32,0.07,0
34:10.2,-0.43,-0.1,0.25,-1,32.2,0.073,0
34:10.2,-0.21,-0.25,0.41,-1,32,0.075,0
34:10.2,0.08,0.17,0.18,-1,32,0.073,0
34:10.3,0.42,0.11,-0.57,-1,32,0.073,0
34:10.3,1.98,1.93,-4.65,-1,32,0.073,0
34:10.3,0.24,1,0.01,-1,32,0.073,0
34:10.3,-0.27,0.48,-0.77,-1,32,0.075,0
34:10.4,-0.18,0.51,-0.65,-1,32.2,0.073,0
34:10.4,-0.23,-0.05,-0.02,-1,32.2,0.073,0
34:10.4,-0.44,-0.07,0.28,-1,32.2,0.073,0
