Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
34:36.3,-0.19,0.35,-0.66,-1,31.8,0.075,0
34:36.3,-0.19,0.36,-0.66,-1,31.8,0.075,0
34:36.3,-0.2,0.35,-0.65,-1,32,0.075,0
34:36.4,-0.2,0.37,-0.66,-1,31.8,0.077,0
34:36.4,-0.19,0.36,-0.66,-1,31.8,0.075,0
34:36.4,-0.19,0.36,-0.67,-1,31.8,0.077,0
34:36.5,-0.18,0.35,-0.67,-1,31.8,0.075,0
34:36.5,-0.18,0.36,-0.67,-1,32,0.075,0
34:36.5,-0.18,0.35,-0.66,-1,31.8,0.075,0
34:36.6,-0.19,0.35,-0.66,-1,31.8,0.075,0
34:36.6,-0.18,0.36,-0.66,-1,31.8,0.077,0
34:36.6,-0.17,0.35,-0.66,-1,31.8,0.077,0
34:36.7,-0.18,0.35,-0.66,-1,31.8,0.075,0
34:36.7,-0.19,0.37,-0.65,-1,32,0.077,0
34:36.7,-0.19,0.35,-0.66,-1,31.8,0.075,0
34:36.8,-0.18,0.35,-0.66,-1,32,0.075,0
34:36.8,-0.18,0.36,-0.67,-1,31.8,0.077,0
34:36.8,-0.19,0.35,-0.66,-1,31.8,0.075,0
34:36.8,-0.2,0.36,-0.66,-1,32,0.075,0
34:36.9,-0.2,0.35,-0.66,-1,32,0.075,0
34:36.9,-0.19,0.36,-0.67,-1,31.8,0.075,0
34:36.9,-0.18,0.34,-0.66,-1,31.8,0.077,0
34:37.0,-0.18,0.36,-0.67,-1,31.8,0.075,0
34:37.0,-0.19,0.36,-0.65,-1,31.8,0.075,0
34:37.0,-0.19,0.36,-0.67,-1,31.8,0.075,0
34:37.1,-0.19,0.36,-0.65,-1,31.8,0.075,0
34:37.1,-0.18,0.36,-0.68,-1,31.8,0.075,0
34:37.1,-0.18,0.36,-0.66,-1,31.8,0.075,0
34:37.2,-0.18,0.35,-0.65,-1,32,0.075,0
34:37.2,-0.19,0.36,-0.66,-1,31.8,0.075,0
34:37.2,-0.19,0.35,-0.65,-1,31.8,0.077,0
34:37.3,-0.18,0.36,-0.65,-1,31.8,0.075,0
34:37.3,-0.18,0.35,-0.67,-1,31.8,0.075,0
34:37.3,-0.18,0.36,-0.66,-1,32,0.077,0
34:37.3,-0.19,0.35,-0.66,-1,31.8,0.075,0
34:37.4,-0.19,0.37,-0.67,-1,31.8,0.077,0
34:37.4,-0.18,0.35,-0.65,-1,31.8,0.075,0
34:37.4,-0.19,0.36,-0.66,-1,32,0.075,0
34:37.5,-0.2,0.37,-0.67,-1,31.8,0.075,0
34:37.5,-0.19,0.35,-0.66,-1,31.8,0.077,0
34:37.5,-0.18,0.35,-0.67,-1,31.8,0.075,0
34:37.6,-0.19,0.36,-0.66,-1,32,0.075,0
34:37.6,-0.19,0.36,-0.65,-1,31.8,0.075,0
34:37.6,-0.19,0.34,-0.66,-1,31.8,0.075,0
34:37.7,-0.19,0.36,-0.67,-1,32,0.075,0
34:37.7,-0.2,0.35,-0.66,-1,32,0.075,0
34:37.7,-0.2,0.36,-0.66,-1,31.8,0.075,0
34:37.7,-0.2,0.36,-0.66,-1,31.8,0.077,0
34:37.8,-0.27,0.37,-0.69,-1,31.8,0.075,0
34:37.8,-0.36,0.41,-0.71,-1,31.8,0.077,0
34:37.8,-0.38,0.43,-0.71,-1,31.8,0.077,0
34:37.9,-0.4,0.44,-0.66,-1,31.8,0.077,0
34:37.9,-0.4,0.35,-0.57,-1,32,0.075,0
34:37.9,-0.37,0.21,-0.3,-1,31.8,0.077,0
34:38.0,-0.33,0.26,-0.21,-1,31.8,0.075,0
34:38.0,-0.14,0.37,-0.59,-1,31.8,0.075,0
34:38.0,-0.05,0.39,-0.86,-1,31.8,0.077,0
34:38.1,0.3,0.47,-1.08,-1,31.8,0.077,0
34:38.1,0,0.14,-1.34,-1,31.8,0.077,0
34:38.1,0.02,0.05,-0.54,-1,31.8,0.077,0
34:38.2,0,0.3,-0.42,-1,31.8,0.075,0
34:38.2,-0.27,0.26,-0.03,-1,31.8,0.075,0
34:38.2,-0.67,0.08,-0.48,-1,31.8,0.077,0
34:38.2,-0.05,0.71,-0.37,-1,31.8,0.075,0
34:38.3,0.05,0.05,-1.5,-1,31.8,0.077,0
34:38.3,0.09,0.23,-0.7,-1,31.8,0.077,0
34:38.3,-0.09,0.44,-0.58,-1,31.8,0.077,0
34:38.4,-0.43,0.05,-0.52,-1,31.8,0.077,0
34:38.4,-0.59,0.14,-0.15,-1,32,0.077,0
34:38.4,-0.31,0.48,-0.17,-1,31.8,0.075,0
34:38.5,0.21,0.68,-1.38,-1,31.8,0.077,0
34:38.5,0.01,0.01,-0.72,-1,31.8,0.077,0
34:38.5,0.01,0.4,-0.75,-1,32,0.077,0
34:38.6,0,0.42,-0.74,-1,31.8,0.077,0
34:38.6,-0.03,0.16,-0.62,-1,31.8,0.075,0
34:38.6,-0.05,0.2,-0.59,-1,32,0.075,0
34:38.7,-0.04,0.34,-0.66,-1,31.8,0.077,0
34:38.7,0,0.18,-0.6,-1,31.8,0.077,0
34:38.7,0.02,0.24,-0.5,-1,31.8,0.077,0
34:38.8,-0.01,0.48,-0.63,-1,31.8,0.075,0
34:38.8,-0.15,0.39,-0.59,-1,31.8,0.075,0
34:38.8,-0.25,0.5,-0.64,-1,31.8,0.077,0
34:38.8,-0.31,0.69,-0.61,-1,31.8,0.075,0
34:38.9,-0.33,0.6,-0.64,-1,32,0.075,0
34:38.9,-0.29,0.64,-0.76,-1,32,0.075,0
34:38.9,-0.24,0.71,-0.76,-1,31.8,0.077,0
34:39.0,-0.21,0.59,-0.68,-1,31.8,0.075,0
34:39.0,-0.15,0.43,-0.72,-1,31.8,0.075,0
34:39.0,-0.11,0.36,-0.69,-1,31.8,0.077,0
34:39.1,-0.08,0.35,-0.66,-1,31.8,0.077,0
34:39.1,-0.06,0.27,-0.68,-1,31.8,0.075,0
34:39.1,-0.06,0.27,-0.72,-1,31.8,0.077,0
34:39.2,-0.05,0.25,-0.69,-1,31.8,0.075,0
