Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
33:03.3,-0.19,0.18,-0.74,-1,33.3,0.075,0
33:03.3,-0.17,0.18,-0.73,-1,33.1,0.075,0
33:03.4,-0.15,0.17,-0.74,-1,33.1,0.075,0
33:03.4,-0.14,0.19,-0.76,-1,33.3,0.075,0
33:03.4,-0.14,0.19,-0.75,-1,33.1,0.075,0
33:03.5,-0.15,0.19,-0.73,-1,33.1,0.075,0
33:03.5,-0.18,0.2,-0.72,-1,33.1,0.075,0
33:03.5,-0.18,0.19,-0.71,-1,33.3,0.075,0
33:03.6,-0.17,0.19,-0.73,-1,33.3,0.075,0
33:03.6,-0.16,0.18,-0.73,-1,33.3,0.075,0
33:03.6,-0.15,0.18,-0.72,-1,33.1,0.075,0
33:03.7,-0.16,0.19,-0.74,-1,33.3,0.075,0
33:03.7,-0.17,0.18,-0.71,-1,33.1,0.075,0
33:03.7,-0.17,0.17,-0.71,-1,33.3,0.075,0
33:03.8,-0.17,0.18,-0.73,-1,33.1,0.075,0
33:03.8,-0.16,0.18,-0.72,-1,33.3,0.075,0
33:03.8,-0.16,0.17,-0.72,-1,33.3,0.075,0
33:03.8,-0.16,0.17,-0.72,-1,33.1,0.075,0
33:03.9,-0.16,0.17,-0.73,-1,33.3,0.075,0
33:03.9,-0.17,0.17,-0.74,-1,33.3,0.075,0
33:03.9,-0.17,0.16,-0.73,-1,33.1,0.075,0
33:04.0,-0.18,0.17,-0.75,-1,33.3,0.075,0
33:04.0,-0.17,0.16,-0.72,-1,33.1,0.075,0
33:04.0,-0.17,0.18,-0.74,-1,33.1,0.075,0
33:04.1,-0.16,0.19,-0.72,-1,33.3,0.075,0
33:04.1,-0.17,0.18,-0.72,-1,33.1,0.075,0
33:04.1,-0.17,0.2,-0.73,-1,33.3,0.075,0
33:04.2,-0.16,0.19,-0.74,-1,33.1,0.075,0
33:04.2,-0.16,0.17,-0.73,-1,33.3,0.075,0
33:04.2,-0.15,0.19,-0.73,-1,33.1,0.075,0
33:04.3,-0.15,0.19,-0.74,-1,33.1,0.075,0
33:04.3,-0.14,0.18,-0.72,-1,33.1,0.075,0
33:04.3,-0.15,0.16,-0.72,-1,33.1,0.075,0
33:04.3,-0.14,0.19,-0.73,-1,33.1,0.075,0
33:04.4,-0.14,0.18,-0.73,-1,33.3,0.075,0
33:04.4,-0.15,0.16,-0.73,-1,33.1,0.075,0
33:04.4,-0.16,0.2,-0.74,-1,33.1,0.075,0
33:04.5,-0.15,0.17,-0.73,-1,33.3,0.075,0
33:04.5,-0.15,0.17,-0.74,-1,33.3,0.075,0
33:04.5,-0.15,0.18,-0.74,-1,33.1,0.075,0
33:04.6,-0.16,0.18,-0.73,-1,33.1,0.075,0
33:04.6,-0.16,0.16,-0.72,-1,33.1,0.075,0
33:04.6,-0.16,0.18,-0.74,-1,33.1,0.075,0
33:04.7,-0.16,0.16,-0.71,-1,33.1,0.075,0
33:04.7,-0.16,0.15,-0.73,-1,33.1,0.075,0
33:04.7,-0.15,0.19,-0.73,-1,33.3,0.075,0
33:04.8,-0.15,0.15,-0.73,-1,33.1,0.075,0
33:04.8,-0.13,0.14,-0.72,-1,33.3,0.075,0
33:04.8,-0.13,0.15,-0.75,-1,33.1,0.075,0
33:04.8,-0.14,0.15,-0.73,-1,33.1,0.075,0
33:04.9,-0.14,0.16,-0.73,-1,33.1,0.075,0
33:04.9,-0.13,0.17,-0.74,-1,33.1,0.075,0
33:04.9,-0.13,0.17,-0.74,-1,33.1,0.075,0
33:05.0,-0.14,0.15,-0.72,-1,33.1,0.075,0
33:05.0,-0.14,0.17,-0.75,-1,33.1,0.075,0
33:05.0,-0.14,0.16,-0.73,-1,33.1,0.075,0
33:05.1,-0.13,0.15,-0.73,-1,33.3,0.075,0
33:05.1,-0.14,0.17,-0.74,-1,33.1,0.075,0
33:05.1,-0.15,0.16,-0.74,-1,33.1,0.075,0
33:05.2,-0.14,0.15,-0.73,-1,33.1,0.075,0
33:05.2,-0.14,0.15,-0.74,-1,33.1,0.075,0
33:05.2,-0.15,0.16,-0.74,-1,33.1,0.075,0
33:05.3,-0.14,0.16,-0.73,-1,33.1,0.075,0
33:05.3,-0.15,0.16,-0.74,-1,33.3,0.075,0
33:05.3,-0.14,0.16,-0.75,-1,33.1,0.075,0
33:05.3,-0.13,0.17,-0.76,-1,33.1,0.075,0
33:05.4,-0.14,0.17,-0.76,-1,33.1,0.075,0
33:05.4,-0.16,0.19,-0.79,-1,33.1,0.075,0
33:05.4,-0.16,0.16,-0.8,-1,33.1,0.075,0
33:05.5,-0.18,0.16,-0.78,-1,33.1,0.075,0
33:05.5,-0.21,0.17,-0.77,-1,33.1,0.075,0
33:05.5,-0.22,0.19,-0.71,-1,33.1,0.075,0
33:05.6,-0.2,0.19,-0.66,-1,33.1,0.075,0
33:05.6,-0.21,0.18,-0.6,-1,33.1,0.075,0
33:05.6,-0.2,0.11,-0.57,-1,33.3,0.075,0
33:05.7,-0.17,0.09,-0.51,-1,33.1,0.075,0
33:05.7,-0.19,0.13,-0.34,-1,33.1,0.075,0
33:05.7,-0.16,0.15,-0.43,-1,33.1,0.075,0
33:05.8,-0.13,0.22,-0.74,-1,33.1,0.075,0
33:05.8,-0.02,0.22,-0.97,-1,33.1,0.075,0
33:05.8,1,0.51,-1.42,-1,33.1,0.075,0
33:05.8,-0.04,0.51,-1.23,-1,33.1,0.077,0
33:05.9,0,0.35,-0.89,-1,33.1,0.075,0
33:05.9,0.04,0.18,-0.58,-1,33.3,0.077,0
33:05.9,-0.08,0.03,-0.41,-1,33.1,0.075,0
33:06.0,-0.31,0.16,-0.35,-1,33.1,0.077,0
33:06.0,-0.27,0.38,-0.55,-1,33.1,0.075,0
33:06.0,0.18,0.49,-1.14,-1,33.1,0.079,0
33:06.1,0.31,0.12,-1.14,-1,33.1,0.075,0
33:06.1,0.04,0.31,-0.79,-1,33.1,0.075,0
33:06.1,-0.12,0.12,-0.8,-1,33.3,0.079,0
