Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
33:31.8,-0.16,0.2,-0.72,-1,32.6,0.075,0
33:31.8,-0.17,0.2,-0.71,-1,32.6,0.075,0
33:31.8,-0.17,0.22,-0.73,-1,32.6,0.075,0
33:31.9,-0.17,0.21,-0.72,-1,32.6,0.075,0
33:31.9,-0.16,0.22,-0.73,-1,32.6,0.075,0
33:31.9,-0.16,0.22,-0.71,-1,32.6,0.075,0
33:32.0,-0.17,0.22,-0.72,-1,32.6,0.075,0
33:32.0,-0.16,0.21,-0.71,-1,32.6,0.073,0
33:32.0,-0.17,0.21,-0.72,-1,32.6,0.073,0
33:32.1,-0.17,0.21,-0.72,-1,32.6,0.075,0
33:32.1,-0.17,0.2,-0.71,-1,32.6,0.073,0
33:32.1,-0.17,0.2,-0.72,-1,32.6,0.073,0
33:32.2,-0.17,0.2,-0.72,-1,32.6,0.075,0
33:32.2,-0.17,0.21,-0.72,-1,32.6,0.075,0
33:32.2,-0.17,0.2,-0.71,-1,32.6,0.075,0
33:32.3,-0.17,0.2,-0.71,-1,32.6,0.075,0
33:32.3,-0.17,0.2,-0.72,-1,32.6,0.075,0
33:32.3,-0.16,0.2,-0.72,-1,32.6,0.075,0
33:32.3,-0.18,0.2,-0.72,-1,32.6,0.075,0
33:32.4,-0.18,0.21,-0.72,-1,32.6,0.075,0
33:32.4,-0.17,0.2,-0.72,-1,32.6,0.075,0
33:32.4,-0.17,0.2,-0.72,-1,32.6,0.075,0
33:32.5,-0.17,0.22,-0.73,-1,32.6,0.075,0
33:32.5,-0.17,0.19,-0.72,-1,32.6,0.073,0
33:32.5,-0.17,0.21,-0.73,-1,32.6,0.073,0
33:32.6,-0.17,0.2,-0.72,-1,32.6,0.075,0
33:32.6,-0.17,0.2,-0.71,-1,32.6,0.075,0
33:32.6,-0.17,0.2,-0.72,-1,32.6,0.075,0
33:32.7,-0.16,0.2,-0.72,-1,32.6,0.075,0
33:32.7,-0.16,0.2,-0.72,-1,32.6,0.075,0
33:32.7,-0.17,0.22,-0.72,-1,32.6,0.075,0
33:32.8,-0.17,0.21,-0.71,-1,32.6,0.073,0
33:32.8,-0.17,0.21,-0.72,-1,32.6,0.075,0
33:32.8,-0.17,0.21,-0.73,-1,32.6,0.075,0
33:32.8,-0.17,0.19,-0.72,-1,32.6,0.073,0
33:32.9,-0.18,0.18,-0.71,-1,32.9,0.075,0
33:32.9,-0.2,0.19,-0.71,-1,32.9,0.073,0
33:32.9,-0.22,0.2,-0.73,-1,32.9,0.075,0
33:33.0,-0.24,0.18,-0.74,-1,32.9,0.075,0
33:33.0,-0.23,0.18,-0.74,-1,32.9,0.075,0
33:33.0,-0.22,0.21,-0.77,-1,32.9,0.075,0
33:33.1,-0.23,0.21,-0.77,-1,32.9,0.075,0
33:33.1,-0.25,0.21,-0.77,-1,32.9,0.075,0
33:33.1,-0.27,0.22,-0.77,-1,32.9,0.075,0
33:33.2,-0.28,0.22,-0.75,-1,32.9,0.075,0
33:33.2,-0.3,0.22,-0.75,-1,32.9,0.075,0
33:33.2,-0.28,0.2,-0.73,-1,32.9,0.075,0
33:33.3,-0.27,0.18,-0.71,-1,32.9,0.075,0
33:33.3,-0.26,0.18,-0.68,-1,32.9,0.075,0
33:33.3,-0.25,0.16,-0.64,-1,32.9,0.075,0
33:33.3,-0.25,0.16,-0.59,-1,32.9,0.073,0
33:33.4,-0.26,0.1,-0.51,-1,32.9,0.075,0
33:33.4,-0.25,0.08,-0.38,-1,32.9,0.075,0
33:33.4,-0.28,0.05,-0.18,-1,32.9,0.075,0
33:33.5,-0.25,0.12,-0.22,-1,32.6,0.075,0
33:33.5,-0.12,0.05,-0.58,-1,32.6,0.075,0
33:33.5,-0.13,0.1,-1.1,-1,32.6,0.075,0
33:33.6,0.01,0.54,-0.9,-1,32.6,0.075,0
33:33.6,-0.26,0.08,-1.77,-1,32.6,0.075,0
33:33.6,-0.02,0.13,-0.54,-1,32.6,0.075,0
33:33.7,0,0.42,-0.76,-1,32.6,0.075,0
33:33.7,-0.15,0.11,-0.56,-1,32.6,0.075,0
