Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
17:07:28,-0.18,0.24,1.04,-1,32,0.124,0
17:07:28,-0.21,0.09,0.9,-1,32,0.128,0
17:07:28,-0.2,0.12,0.81,-1,31.8,0.126,0
17:07:28,-0.15,0.11,0.81,-1,32,0.124,0
17:07:28,-0.14,0.41,1.54,-1,32,0.124,0
17:07:28,-0.28,0.02,0.77,-1,32,0.123,0
17:07:28,-0.19,2.18,1.58,-1,32,0.123,0
17:07:28,-0.15,0.13,0.65,-1,32,0.126,0
17:07:28,-0.26,0.13,1.05,-1,32,0.128,0
17:07:28,-0.22,0.27,1.05,-1,32,0.126,0
17:07:28,-0.25,0.13,0.84,-1,32,0.128,0
17:07:28,-0.29,0,0.71,-1,32,0.124,0
17:07:28,-0.17,0.05,0.83,-1,31.8,0.123,0
17:07:28,-0.07,0.56,1.67,-1,31.8,0.123,0
17:07:28,-0.22,0.2,0.97,-1,31.8,0.126,0
17:07:28,-0.48,2.22,1.39,-1,32,0.126,0
17:07:28,-0.32,-0.21,0.78,-1,32,0.128,0
17:07:28,-0.26,0.27,1,-1,32,0.128,0
17:07:28,-0.2,0.32,1.04,-1,32,0.128,0
17:07:28,-0.21,0.19,0.97,-1,31.8,0.128,0
17:07:28,-0.29,0.04,0.86,-1,32,0.128,0
17:07:28,-0.25,0.02,0.78,-1,32.2,0.126,0
17:07:28,-0.11,0.17,0.93,-1,32.2,0.124,0
17:07:28,-0.07,0.5,1.57,-1,32.2,0.124,0
17:07:28,-0.4,0.58,-0.67,-1,32.2,0.126,0
17:07:28,0.26,2.04,1.76,-1,32.2,0.124,0
17:07:28,0.1,0.64,0.33,-1,32.2,0.124,0
17:07:28,-0.18,0.15,0.97,-1,32.2,0.124,0
17:07:28,-0.04,0.43,1.13,-1,32.2,0.126,0
17:07:28,-0.08,0.38,1.02,-1,32.2,0.126,0
17:07:28,-0.15,0.22,0.95,-1,32.2,0.128,0
17:07:28,-0.15,0.35,0.88,-1,32.2,0.128,0
17:07:29,-0.16,0.43,0.97,-1,32.2,0.128,0
17:07:29,-0.23,0.39,0.96,-1,32.2,0.128,0
17:07:29,-0.34,0.38,0.91,-1,32.2,0.126,0
17:07:29,-0.36,0.5,0.89,-1,32.2,0.13,0
17:07:29,-0.36,0.55,0.93,-1,32.2,0.128,0
17:07:29,-0.36,0.59,0.95,-1,32.2,0.128,0
17:07:29,-0.36,0.55,0.91,-1,32.2,0.131,0
17:07:29,-0.33,0.62,0.91,-1,32.2,0.13,0
17:07:29,-0.29,0.64,0.95,-1,32.2,0.13,0
17:07:29,-0.27,0.62,0.89,-1,32.2,0.128,0
17:07:29,-0.25,0.69,0.93,-1,32,0.129,0
17:07:29,-0.24,0.69,0.9,-1,32,0.128,0
17:07:29,-0.23,0.69,0.89,-1,32,0.13,0
17:07:29,-0.22,0.68,0.91,-1,32,0.13,0
17:07:29,-0.2,0.65,0.89,-1,32,0.13,0
17:07:29,-0.17,0.53,0.84,-1,32,0.13,0
17:07:29,-0.09,0.57,0.87,-1,32,0.13,0
17:07:29,-0.04,0.63,0.86,-1,32,0.13,0
17:07:29,0,0.58,0.8,-1,31.8,0.128,0
17:07:29,0.08,0.63,0.83,-1,32,0.13,0
17:07:29,0.15,0.73,0.88,-1,31.8,0.128,0
17:07:29,0.13,0.76,0.93,-1,32,0.128,0
17:07:29,0.11,0.84,1.32,-1,32,0.128,0
17:07:29,0.08,0.74,1.28,-1,32,0.13,0
17:07:29,0.02,0.5,1,-1,32,0.13,0
17:07:29,0.06,0.54,0.87,-1,31.8,0.13,0
17:07:29,0.09,0.64,0.84,-1,31.8,0.13,0
17:07:29,0.08,0.74,0.82,-1,32,0.13,0
17:07:29,0.05,0.72,0.82,-1,32,0.13,0
17:07:29,0.07,0.71,0.84,-1,31.8,0.13,0
17:07:29,0.06,0.71,0.86,-1,31.8,0.13,0
17:07:29,0.06,0.67,0.87,-1,32,0.13,0
17:07:30,0.07,0.65,0.9,-1,32,0.13,0
17:07:30,0.07,0.66,0.91,-1,32,0.13,0
17:07:30,0.07,0.67,0.91,-1,32,0.13,0
17:07:30,0.07,0.67,0.9,-1,32,0.13,0
17:07:30,0.07,0.67,0.89,-1,32,0.13,0
