Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
17:07:08,-0.22,0.27,1.09,-1,32,0.117,0
17:07:08,-0.23,0.19,0.96,-1,32,0.115,0
17:07:08,-0.22,0.2,0.87,-1,32,0.117,0
17:07:08,-0.2,0.21,0.89,-1,32,0.117,0
17:07:08,-0.18,0.25,0.93,-1,32,0.115,0
17:07:08,-0.09,0.29,0.94,-1,32,0.117,0
17:07:08,-0.09,0.52,1.45,-1,32,0.117,0
17:07:08,-0.21,0.57,0.96,-1,32,0.117,0
17:07:08,-0.46,1.23,1.75,-1,32,0.117,0
17:07:08,-0.31,-0.08,1.05,-1,32,0.117,0
17:07:08,-0.2,0.25,0.86,-1,32,0.117,0
17:07:08,-0.25,0.36,1.07,-1,32,0.117,0
17:07:08,-0.25,0.34,1.15,-1,32,0.117,0
17:07:08,-0.26,0.24,0.95,-1,32,0.117,0
17:07:08,-0.28,0.23,0.83,-1,31.8,0.117,0
17:07:08,-0.27,0.17,0.84,-1,32,0.117,0
17:07:08,-0.25,0.14,0.86,-1,32,0.117,0
17:07:08,-0.2,0.18,0.9,-1,32,0.115,0
17:07:08,-0.13,0.28,0.94,-1,32,0.117,0
17:07:08,-0.16,0.53,1.64,-1,32,0.117,0
17:07:08,-0.25,0.42,1,-1,31.8,0.117,0
17:07:08,-0.44,1.54,1.32,-1,32,0.117,0
17:07:08,-0.28,0,0.86,-1,32,0.117,0
17:07:08,-0.27,0.35,0.93,-1,32,0.117,0
17:07:08,-0.27,0.31,1.1,-1,31.8,0.117,0
17:07:08,-0.24,0.33,1.13,-1,31.8,0.119,0
17:07:08,-0.26,0.24,0.92,-1,32,0.117,0
17:07:08,-0.25,0.25,0.89,-1,32,0.117,0
17:07:08,-0.22,0.24,0.94,-1,32,0.117,0
17:07:08,-0.2,0.23,0.95,-1,32,0.114,0
17:07:08,-0.17,0.25,0.95,-1,32,0.115,0
17:07:08,-0.11,0.38,1.04,-1,32,0.115,0
17:07:09,-0.12,0.48,1.51,-1,32,0.114,0
17:07:09,-0.35,0.91,0.94,-1,32,0.115,0
17:07:09,-0.11,1.1,1.81,-1,32,0.115,0
17:07:09,-0.2,0.13,0.76,-1,32,0.117,0
17:07:09,-0.23,0.28,0.78,-1,32,0.114,0
17:07:09,-0.27,0.37,1.13,-1,32,0.117,0
17:07:09,-0.29,0.37,1.25,-1,32,0.117,0
17:07:09,-0.32,0.33,1.09,-1,32,0.117,0
17:07:09,-0.33,0.35,1,-1,32,0.117,0
17:07:09,-0.37,0.34,1.01,-1,32,0.117,0
17:07:09,-0.39,0.35,1,-1,32,0.117,0
17:07:09,-0.41,0.34,0.98,-1,32,0.117,0
17:07:09,-0.43,0.31,0.95,-1,32,0.114,0
17:07:09,-0.44,0.31,0.93,-1,32,0.117,0
17:07:09,-0.46,0.31,0.92,-1,32,0.117,0
17:07:09,-0.47,0.29,0.88,-1,32,0.117,0
17:07:09,-0.47,0.28,0.86,-1,32,0.117,0
17:07:09,-0.48,0.29,0.88,-1,32,0.117,0
17:07:09,-0.49,0.32,0.91,-1,31.8,0.117,0
17:07:09,-0.5,0.32,0.92,-1,32,0.117,0
17:07:09,-0.5,0.35,0.96,-1,32,0.117,0
17:07:09,-0.5,0.33,0.98,-1,32,0.117,0
17:07:09,-0.5,0.34,1,-1,31.8,0.117,0
17:07:09,-0.5,0.34,1.01,-1,32,0.117,0
17:07:09,-0.5,0.34,1.01,-1,32,0.117,0
17:07:09,-0.49,0.35,1.02,-1,32,0.115,0
17:07:09,-0.48,0.33,1,-1,32,0.117,0
17:07:09,-0.48,0.34,1,-1,31.8,0.117,0
17:07:09,-0.47,0.34,1.01,-1,31.8,0.117,0
17:07:09,-0.46,0.34,1,-1,32,0.117,0
17:07:09,-0.47,0.34,1,-1,32,0.117,0
17:07:09,-0.47,0.34,1,-1,32,0.117,0
17:07:10,-0.47,0.34,1,-1,32,0.117,0
17:07:10,-0.47,0.35,1,-1,32,0.117,0
17:07:10,-0.47,0.35,1,-1,32,0.117,0
17:07:10,-0.47,0.35,1,-1,32,0.117,0
17:07:10,-0.47,0.36,1,-1,32,0.117,0
17:07:10,-0.47,0.37,1,-1,32,0.117,0
17:07:10,-0.47,0.36,1,-1,32,0.115,0
17:07:10,-0.47,0.37,1,-1,32,0.117,0
17:07:10,-0.47,0.36,1,-1,32,0.117,0
17:07:10,-0.47,0.36,1,-1,32,0.115,0
17:07:10,-0.47,0.36,1,-1,32,0.117,0
17:07:10,-0.47,0.37,1,-1,32,0.117,0
17:07:10,-0.47,0.36,1,-1,32.2,0.117,0
17:07:10,-0.47,0.36,1,-1,32.2,0.117,0
17:07:10,-0.47,0.36,1,-1,32.2,0.117,0
17:07:10,-0.47,0.36,1,-1,32.2,0.117,0
17:07:10,-0.47,0.36,1,-1,32.2,0.117,0
17:07:10,-0.47,0.36,0.99,-1,32.2,0.117,0
17:07:10,-0.47,0.36,0.99,-1,32.2,0.117,0
17:07:10,-0.47,0.35,1,-1,32.2,0.117,0
17:07:10,-0.48,0.35,0.98,-1,32.2,0.117,0
17:07:10,-0.47,0.36,0.99,-1,32.2,0.117,0
17:07:10,-0.47,0.36,1,-1,32.2,0.117,0
17:07:10,-0.47,0.36,1,-1,32.2,0.117,0
17:07:10,-0.47,0.37,1,-1,32.2,0.117,0
17:07:10,-0.48,0.37,1,-1,32.2,0.117,0
