Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
16:56:09.156,-0.260,0.020,0.810,-1,35.200,0.057,0
16:56:09.187,-0.120,0.090,0.520,-1,35.200,0.058,0
16:56:09.218,0.340,1.610,3.820,-1,35.200,0.057,0
16:56:09.250,-0.120,-0.240,0.950,-1,35.200,0.058,0
16:56:09.281,-0.200,0.020,0.840,-1,35.200,0.057,0
16:56:09.312,0.140,0.250,0.660,-1,35.200,0.057,0
16:56:09.343,0.000,0.020,-0.210,-1,35.200,0.057,0
16:56:09.375,-1.500,-0.570,1.340,-1,35.200,0.058,0
16:56:09.406,0.130,0.240,0.540,-1,35.200,0.058,0
16:56:09.437,-0.110,0.520,1.060,-1,35.200,0.060,0
16:56:09.468,-0.250,0.540,1.250,-1,35.200,0.058,0
16:56:09.500,-0.230,0.210,0.960,-1,35.200,0.058,0
16:56:09.531,-0.160,0.040,0.660,-1,35.200,0.057,0
16:56:09.562,-0.220,0.040,0.760,-1,35.200,0.058,0
16:56:09.593,-0.150,0.320,1.060,-1,35.200,0.062,0
16:56:09.625,-0.180,0.430,1.020,-1,35.200,0.058,0
16:56:09.656,0.040,1.350,2.080,-1,35.200,0.060,0
16:56:09.687,-0.180,0.340,1.050,-1,35.200,0.062,0
