Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
16:56:16.000,-0.140,0.100,0.720,-1,34.900,0.090,0
16:56:16.031,0.840,1.030,2.640,-1,34.900,0.092,0
16:56:16.062,0.150,0.600,0.320,-1,34.900,0.092,0
16:56:16.093,-0.100,0.170,0.150,-1,35.200,0.092,0
16:56:16.125,0.200,-0.310,0.280,-1,34.900,0.092,0
16:56:16.156,-1.370,1.840,4.300,-1,34.900,0.092,0
16:56:16.187,-0.690,-0.490,1.220,-1,34.900,0.092,0
16:56:16.218,-0.250,0.330,0.260,-1,34.900,0.092,0
16:56:16.250,0.720,-0.650,-0.420,-1,35.200,0.092,0
16:56:16.281,2.920,4.500,4.620,-1,35.200,0.092,0
16:56:16.312,0.410,-0.080,0.470,-1,35.200,0.097,0
16:56:16.343,-0.020,-0.050,-0.060,-1,34.900,0.097,0
16:56:16.375,0.000,0.760,2.820,-1,34.900,0.097,0
16:56:16.406,-0.060,0.180,0.990,-1,34.900,0.099,0
16:56:16.437,0.000,0.450,1.230,-1,34.900,0.099,0
16:56:16.468,-0.100,0.320,1.400,-1,34.900,0.099,0
16:56:16.500,-0.080,0.400,1.150,-1,34.900,0.099,0
16:56:16.531,-0.080,0.230,0.850,-1,34.900,0.101,0
