Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
16:56:29.375,-0.110,0.270,0.930,-1,34.700,0.110,0
16:56:29.406,-0.040,0.610,2.150,-1,34.700,0.112,0
16:56:29.437,-0.080,0.130,0.840,-1,34.700,0.110,0
16:56:29.468,-0.200,-0.090,0.790,-1,34.700,0.110,0
16:56:29.500,0.050,0.580,1.440,-1,34.700,0.110,0
16:56:29.531,-0.070,0.270,0.730,-1,34.700,0.110,0
16:56:29.562,0.530,1.200,2.390,-1,34.700,0.110,0
16:56:29.593,-0.040,0.380,0.730,-1,34.700,0.110,0
16:56:29.625,-0.120,0.240,0.950,-1,34.700,0.110,0
16:56:29.656,-0.100,0.330,0.990,-1,34.700,0.110,0
16:56:29.687,-0.040,-0.150,0.400,-1,34.700,0.110,0
16:56:29.718,0.000,1.920,3.820,-1,34.700,0.108,0
16:56:29.750,-0.180,0.530,0.960,-1,34.700,0.110,0
16:56:29.781,-0.050,0.370,0.970,-1,34.700,0.105,0
16:56:29.812,-0.070,0.380,1.400,-1,34.700,0.105,0
16:56:29.843,-0.100,0.340,1.240,-1,34.700,0.105,0
16:56:29.875,-0.180,0.260,0.940,-1,34.700,0.108,0
