Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
16:55:32.781,-0.060,0.070,0.860,-1,36.200,0.047,0
16:55:32.812,-0.110,0.110,0.490,-1,36.200,0.049,0
16:55:32.843,-0.860,0.870,3.380,-1,36.200,0.047,0
16:55:32.875,-0.370,-0.640,1.530,-1,36.200,0.049,0
16:55:32.906,-0.110,0.460,1.050,-1,36.200,0.047,0
16:55:32.937,-0.250,0.330,1.380,-1,36.200,0.049,0
16:55:32.968,-0.290,0.240,1.000,-1,36.200,0.047,0
16:55:33.000,-0.130,0.460,0.970,-1,36.200,0.047,0
16:55:33.031,-0.120,0.040,1.000,-1,36.200,0.047,0
16:55:33.062,-0.130,0.010,0.470,-1,36.200,0.047,0
16:55:33.093,-0.040,0.010,0.670,-1,36.200,0.047,0
16:55:33.125,1.270,1.550,3.130,-1,36.200,0.047,0
16:55:33.156,-0.170,0.690,0.810,-1,36.200,0.049,0
16:55:33.187,-0.140,0.390,0.850,-1,36.200,0.049,0
16:55:33.218,-0.260,0.240,1.070,-1,36.200,0.047,0
16:55:33.250,-0.210,0.360,0.770,-1,36.200,0.049,0
16:55:33.281,-0.150,0.210,0.720,-1,36.200,0.047,0
16:55:33.312,0.030,-0.240,2.960,-1,36.200,0.047,0
16:55:33.343,-0.450,0.270,1.080,-1,36.200,0.047,0
