Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
16:55:56.937,-0.190,0.270,1.150,-1,35.600,0.049,0
16:55:56.968,-0.570,0.570,1.500,-1,35.400,0.049,0
16:55:57.000,-0.130,-0.350,1.130,-1,35.400,0.047,0
16:55:57.031,-0.020,-0.130,1.380,-1,35.400,0.049,0
16:55:57.062,0.060,0.380,1.050,-1,35.400,0.049,0
16:55:57.093,0.000,0.370,1.000,-1,35.600,0.049,0
16:55:57.125,0.000,0.300,1.090,-1,35.600,0.049,0
16:55:57.156,-0.010,0.510,1.270,-1,35.400,0.049,0
16:55:57.187,-0.160,0.210,1.220,-1,35.400,0.049,0
16:55:57.218,-0.320,0.370,1.080,-1,35.600,0.049,0
16:55:57.250,-0.750,0.400,1.660,-1,35.600,0.049,0
16:55:57.281,-0.100,-0.310,0.720,-1,35.600,0.049,0
16:55:57.312,0.150,0.520,1.560,-1,35.400,0.049,0
16:55:57.343,0.040,0.430,1.000,-1,35.400,0.049,0
