Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
16:53:44.781,-0.02,0.52,0.84,-1,34.9,0.048,0
16:53:44.812,-0.01,0.5,0.88,-1,34.9,0.048,0
16:53:44.843,-0.02,0.64,1.01,-1,34.9,0.048,0
16:53:44.875,-0.06,0.67,1.2,-1,34.7,0.048,0
16:53:44.906,0,0.53,0.57,-1,34.7,0.048,0
16:53:44.937,-0.17,0.17,0.81,-1,34.9,0.048,0
16:53:44.968,-0.32,-0.03,0.55,-1,34.7,0.048,0
16:53:45.000,-0.03,0.69,1.4,-1,34.9,0.048,0
16:53:45.031,-0.48,0.57,0.83,-1,34.9,0.048,0
16:53:45.062,-0.06,0.68,1.51,-1,34.9,0.048,0
16:53:45.093,0.11,0.64,1,-1,34.9,0.048,0
16:53:45.125,-0.11,-0.08,0.45,-1,34.9,0.048,0
16:53:45.156,-0.19,-0.03,0.29,-1,34.7,0.048,0
16:53:45.187,0.04,0.23,1,-1,34.9,0.048,0
16:53:45.218,0.21,0.64,1.02,-1,34.7,0.048,0
16:53:45.250,-0.16,0.21,2.009,-1,34.7,0.048,0
16:53:45.281,0.05,0.5,0.5,-1,34.7,0.048,0
16:53:45.312,0.04,0.08,0.65,-1,34.7,0.048,0
16:53:45.343,0.03,0.33,1.21,-1,34.9,0.048,0
16:53:45.375,0.18,0.06,0.64,-1,34.9,0.048,0
16:53:45.406,0.18,1.62,1.14,-1,34.9,0.048,0
16:53:45.437,0.04,-0.09,0.6,-1,34.9,0.048,0
16:53:45.468,0.1,0.2,0.67,-1,34.7,0.048,0
16:53:45.500,0.12,0.61,1.09,-1,34.7,0.048,0
16:53:45.531,-0.01,0.33,1.09,-1,34.7,0.048,0
16:53:45.562,-0.02,0.26,0.8,-1,34.9,0.048,0
16:53:45.593,0,0.23,0.91,-1,34.7,0.048,0
16:53:45.625,0.01,0.43,1.08,-1,34.9,0.048,0
16:53:45.656,0,0.34,0.99,-1,34.9,0.048,0
16:53:45.687,0,0.33,0.96,-1,34.7,0.048,0
16:53:45.718,0,0.4,0.92,-1,34.7,0.048,0
