Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
16:54:17.656,0.57,-0.12,0.95,-1,34.5,0.052,0
16:54:17.687,0.64,-0.06,1.06,-1,34.5,0.05,0
16:54:17.718,0.7,0.05,1.44,-1,34.5,0.052,0
16:54:17.750,0.6,0.02,1.28,-1,34.5,0.052,0
16:54:17.781,0.32,0.44,1.05,-1,34.5,0.05,0
16:54:17.812,0.44,-0.32,1.11,-1,34.5,0.052,0
16:54:17.843,0.15,-0.35,-0.14,-1,34.5,0.05,0
16:54:17.875,0.63,-0.11,-0.53,-1,34.5,0.052,0
16:54:17.906,0.54,0.05,-0.65,-1,34.5,0.052,0
16:54:17.937,-0.01,-1.21,3.46,-1,34.5,0.052,0
16:54:17.968,-0.05,0.08,1.12,-1,34.5,0.048,0
16:54:18.000,1.21,0.06,1.72,-1,34.5,0.052,0
16:54:18.031,0.27,0.29,-0.14,-1,34.5,0.052,0
16:54:18.062,0.43,-1.05,-1.19,-1,34.5,0.052,0
16:54:18.093,0.67,-0.2,-1.37,-1,34.5,0.052,0
16:54:18.125,1.63,0.48,1.11,-1,34.5,0.052,0
16:54:18.156,-0.05,-2.33,3.17,-1,34.5,0.05,0
16:54:18.187,0.74,1.05,1.28,-1,34.5,0.052,0
16:54:18.218,0.38,-0.02,-0.56,-1,34.5,0.052,0
16:54:18.250,0.65,-0.85,-1.64,-1,34.5,0.052,0
16:54:18.281,0.93,0,-1.01,-1,34.5,0.052,0
16:54:18.312,2.67,2.65,4.91,-1,34.5,0.052,0
16:54:18.343,-0.84,2.97,-0.53,-1,34.5,0.052,0
16:54:18.375,1.26,-2.69,2,-1,34.5,0.052,0
16:54:18.406,0.24,0.6,-1.29,-1,34.5,0.05,0
16:54:18.437,0.73,-0.45,-1.63,-1,34.5,0.052,0
16:54:18.468,0.57,-0.32,1.5,-1,34.5,0.052,0
16:54:18.500,0.48,-0.57,1,-1,34.5,0.052,0
16:54:18.531,0.86,-0.41,0.32,-1,34.5,0.052,0
16:54:18.562,0.53,0.14,0.92,-1,34.5,0.052,0
16:54:18.593,0.51,-0.03,0.77,-1,34.5,0.052,0
16:54:18.625,0.64,-0.33,1.16,-1,34.5,0.048,0
16:54:18.656,0.55,-0.01,0.97,-1,34.3,0.052,0
16:54:18.687,0.54,-0.1,1,-1,34.5,0.052,0
