Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
16:54:35.312,-0.26,0.16,-0.69,-1,34.3,0.052,0
16:54:35.343,-0.3,0.12,-0.63,-1,34.3,0.052,0
16:54:35.375,-0.39,0.14,-0.47,-1,34.3,0.052,0
16:54:35.406,-0.49,0.22,-0.65,-1,34.3,0.052,0
16:54:35.437,-0.31,0.79,-1.1,-1,34.3,0.052,0
16:54:35.468,0.27,-0.14,-1.97,-1,34.3,0.052,0
16:54:35.500,0,0.28,-0.71,-1,34.3,0.052,0
16:54:35.531,-0.32,0.29,0,-1,34.3,0.052,0
16:54:35.562,-0.8,0.06,-0.35,-1,34.3,0.052,0
16:54:35.593,-0.44,0.33,-0.26,-1,34.3,0.052,0
16:54:35.625,0.2,0.5,-1.65,-1,34.3,0.052,0
16:54:35.656,0.68,-0.21,-1.89,-1,34.3,0.052,0
16:54:35.687,-0.07,0.74,-0.78,-1,34.3,0.052,0
16:54:35.718,-0.48,0.05,-0.13,-1,34.3,0.052,0
16:54:35.750,-0.6,0.13,-0.28,-1,34.3,0.052,0
16:54:35.781,-0.51,0.33,-0.21,-1,34.3,0.052,0
16:54:35.812,0.11,0.23,-1.7,-1,34.3,0.052,0
16:54:35.843,0.5,-0.14,-2.21,-1,34.3,0.052,0
16:54:35.875,-0.31,0.66,-0.78,-1,34.3,0.052,0
16:54:35.906,-0.6,-0.12,-0.03,-1,34.3,0.052,0
16:54:35.937,-0.67,0.06,0.01,-1,34.3,0.052,0
16:54:35.968,-0.55,0.33,-0.42,-1,34.3,0.052,0
16:54:36.000,-0.23,0.22,-1.5,-1,34.3,0.052,0
16:54:36.031,0.66,-0.34,-2.25,-1,34.3,0.052,0
16:54:36.062,-0.2,0.59,-1.01,-1,34.3,0.052,0
16:54:36.093,-0.59,0.04,-0.3,-1,34.3,0.052,0
16:54:36.125,-0.55,0.09,-0.18,-1,34.3,0.052,0
16:54:36.156,-0.54,0.4,-0.37,-1,34.3,0.052,0
16:54:36.187,-0.64,0.55,-0.87,-1,34.3,0.052,0
16:54:36.218,0.12,0.32,-1.96,-1,34.3,0.052,0
16:54:36.250,0.4,-0.07,-1.68,-1,34.3,0.052,0
16:54:36.281,-0.32,0.84,-1.04,-1,34.3,0.052,0
16:54:36.312,-0.4,0.27,-0.75,-1,34.3,0.052,0
16:54:36.343,-0.37,0.17,-0.68,-1,34.3,0.052,0
16:54:36.375,-0.3,0.27,-0.58,-1,34.3,0.052,0
16:54:36.406,-0.27,0.27,-0.52,-1,34.3,0.052,0
16:54:36.437,-0.28,0.18,-0.48,-1,34.3,0.052,0
