Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
16:53:11.125,-0.02,0.3,0.81,-1,35.2,0.046,0
16:53:11.156,0,0.41,0.95,-1,35.4,0.048,0
16:53:11.187,-0.01,0.5,1.17,-1,35.2,0.046,0
16:53:11.218,0.01,0.32,1.02,-1,35.4,0.046,0
16:53:11.250,0.15,0.47,0.45,-1,35.4,0.044,0
16:53:11.281,-0.05,0.73,1.32,-1,35.2,0.044,0
16:53:11.312,0.06,0.21,0.94,-1,35.4,0.044,0
16:53:11.343,0.01,0.34,0.77,-1,35.2,0.046,0
16:53:11.375,0.01,0.29,0.87,-1,35.2,0.046,0
16:53:11.406,0,0.34,0.92,-1,35.4,0.046,0
16:53:11.437,0.02,0.32,0.86,-1,35.4,0.048,0
16:53:11.468,0.01,0.29,0.79,-1,35.4,0.048,0
16:53:11.500,0.05,0.4,0.94,-1,35.4,0.046,0
16:53:11.531,0.03,0.5,1.16,-1,35.4,0.046,0
16:53:11.562,0,0.49,0.84,-1,35.4,0.046,0
16:53:11.593,0.35,0.18,1.29,-1,35.4,0.046,0
16:53:11.625,0.08,0.5,0.96,-1,35.4,0.046,0
16:53:11.656,0,0.34,0.76,-1,35.2,0.044,0
16:53:11.687,0,0.35,0.79,-1,35.4,0.046,0
16:53:11.718,-0.03,0.29,0.86,-1,35.2,0.048,0
16:53:11.750,-0.01,0.35,0.8,-1,35.4,0.046,0
16:53:11.781,0,0.34,0.75,-1,35.4,0.046,0
16:53:11.812,0.08,0.48,0.86,-1,35.4,0.048,0
16:53:11.843,0.05,0.54,1.18,-1,35.4,0.046,0
16:53:11.875,0,0.42,0.94,-1,35.4,0.046,0
16:53:11.906,0,0.48,1.35,-1,35.4,0.048,0
16:53:11.937,0.16,0.57,1.18,-1,35.4,0.046,0
16:53:11.968,0.04,0.38,0.78,-1,35.4,0.046,0
16:53:12.000,0.02,0.39,0.72,-1,35.2,0.046,0
16:53:12.031,0,0.4,0.83,-1,35.4,0.046,0
16:53:12.062,0,0.43,0.98,-1,35.4,0.048,0
